o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
1,24001000100,7,24001000100,1020,5,4,1,0,1,2,-1,-1,-1,2.118,2017.0,"(Jeep, Compass, 3.0, 1.0)",2.0,24001000100,1,1,1,0,1,0,0,2,0,0,4,94,1,82,1,1,2,1,2,1,1,0,-1,0,1,138.115796886603
7,24001000100,1,24001000100,1065,5,4,1,0,1,1,-1,-1,-1,2.118,2017.0,"(Jeep, Compass, 3.0, 1.0)",2.0,24001000100,1,1,1,0,1,0,0,2,0,0,4,94,1,82,1,1,2,1,2,1,1,0,-1,0,1,138.115796886603
1,24001000200,10,24001001401,480,25,4,1,0,1,2,-1,-1,-1,16.61,2014.0,"(Hyundai, Sonata, 1.0, 4.0)",2.0,24001000200,1,1,2,0,2,2,0,3,0,3,7,73,5,53,1,1,2,1,2,1,0,1,24001000500,1,1,133.612035607087
10,24001001401,5,24001001401,515,5,4,1,0,1,2,-1,-1,-1,0.851,2014.0,"(Hyundai, Sonata, 1.0, 4.0)",2.0,24001000200,1,1,2,0,2,2,0,3,0,3,7,73,5,53,1,1,2,1,2,1,0,1,24001000500,1,1,133.612035607087
5,24001001401,1,24001000200,555,45,4,1,0,1,2,-1,-1,-1,16.109,2014.0,"(Hyundai, Sonata, 1.0, 4.0)",2.0,24001000200,1,1,2,0,2,2,0,3,0,3,7,73,5,53,1,1,2,1,2,1,0,1,24001000500,1,1,133.612035607087
1,24001000200,5,24001000600,660,15,4,2,0,2,2,-1,-1,-1,11.032,2014.0,"(Hyundai, Sonata, 1.0, 4.0)",2.0,24001000200,1,1,2,0,2,2,0,3,0,3,7,73,5,53,1,1,2,1,2,1,0,1,24001000500,1,1,133.612035607087
5,24001000600,14,54057010700,750,210,5,2,0,2,-1,-1,-1,-1,40.858,2004.0,"(Honda, Pilot, 3.0, 1.0)",2.0,24001000200,1,1,2,0,2,2,0,3,0,3,7,73,5,53,1,1,2,1,2,1,0,1,24001000500,1,1,133.612035607087
1,24001000200,5,24001000600,660,15,5,2,0,2,-1,-1,-1,-1,11.054,2014.0,"(Hyundai, Sonata, 1.0, 4.0)",2.0,24001000200,1,1,2,0,2,2,0,3,0,3,7,73,5,57,2,1,2,1,2,1,0,1,-1,0,1,133.612035607087
5,24001000600,14,54057010700,750,210,5,2,0,2,-1,-1,-1,-1,41.931,2004.0,"(Honda, Pilot, 3.0, 1.0)",2.0,24001000200,1,1,2,0,2,2,0,3,0,3,7,73,5,57,2,1,2,1,2,1,0,1,-1,0,1,133.612035607087
1,24001000200,2,24043010700,490,20,4,1,0,1,3,-1,-1,-1,25.469,-1,"(-1, -1, -1, -1)",-1,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,34,2,1,2,1,2,1,0,3,-1,0,1,205.558943399256
2,24043010700,2,24043010600,520,15,4,1,0,1,2,-1,-1,-1,17.717,-1,"(-1, -1, -1, -1)",-1,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,34,2,1,2,1,2,1,0,3,-1,0,1,205.558943399256
2,24043010600,2,24013508200,550,95,4,1,0,1,2,-1,-1,-1,84.228,-1,"(-1, -1, -1, -1)",-1,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,34,2,1,2,1,2,1,0,3,-1,0,1,205.558943399256
2,24013508200,7,24043011100,780,100,4,1,0,1,4,-1,-1,-1,61.783,-1,"(-1, -1, -1, -1)",-1,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,34,2,1,2,1,2,1,0,3,-1,0,1,205.558943399256
7,24043011100,2,24043010500,885,15,4,1,0,1,2,-1,-1,-1,9.12,-1,"(-1, -1, -1, -1)",-1,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,34,2,1,2,1,2,1,0,3,-1,0,1,205.558943399256
2,24043010500,1,24001000200,925,75,4,1,0,1,1,-1,-1,-1,56.091,-1,"(-1, -1, -1, -1)",-1,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,34,2,1,2,1,2,1,0,3,-1,0,1,205.558943399256
1,24001000200,2,24001001401,690,20,4,1,0,1,2,-1,-1,-1,9.194,2008.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,33,2,1,2,1,2,2,0,1,-1,0,1,205.558943399256
2,24001001401,9,24001001401,1035,5,4,1,0,1,2,-1,-1,-1,0.318,2008.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,33,2,1,2,1,2,2,0,1,-1,0,1,205.558943399256
9,24001001401,5,24001001401,1050,5,4,1,0,1,2,-1,-1,-1,1.056,2008.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,33,2,1,2,1,2,2,0,1,-1,0,1,205.558943399256
5,24001001401,1,24001000200,1215,15,4,1,0,1,1,-1,-1,-1,9.314,2008.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,3,0,3,2,1,8,0,2,4,82,2,33,2,1,2,1,2,2,0,1,-1,0,1,205.558943399256
1,24001000200,2,24001000800,453,12,4,1,0,1,3,-1,-1,-1,6.369,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
2,24001000800,1,24001000200,960,18,4,1,0,1,1,-1,-1,-1,5.806,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
