o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
1,24005411303,2,24510270902,335,28,4,1,0,1,2,-1,-1,-1,10.359,2015.0,"(Toyota, Corolla, 1.0, 1.0)",2.0,24005411303,1,1,2,0,2,2,0,2,1,0,6,108,2,69,1,1,2,1,2,1,0,1,24510270902,0,1,114.024101330938
10,24043011600,1,24043011600,920,15,4,1,0,1,1,-1,-1,-1,2.725,2008.0,"(Nissan, Altima, 1.0, 1.0)",2.0,24043011600,1,1,2,0,2,1,0,4,0,2,7,99,4,56,1,1,2,1,2,1,1,0,-1,0,1,104.014572329425
7,24033801409,2,11001000300,520,295,4,1,0,1,2,-1,-1,-1,11.700267393,1997.0,"(Ford, Escort, 1.0, 1.0)",2.0,24033801409,1,1,2,0,2,2,0,2,0,0,7,59,2,59,2,4,2,1,2,2,0,1,11001000300,0,1,127.0
1,51153901234,11,51153901234,715,5,4,1,0,1,4,-1,-1,-1,0.5701638769,2013.0,"(Toyota, RAV4, 3.0, 1.0)",2.0,51153901234,1,1,1,0,1,0,0,1,0,0,5,50,1,73,1,4,2,1,2,2,1,0,-1,0,1,131.0
2,24033801907,1,24017850905,870,55,4,1,0,1,1,-1,-1,-1,20.313961872,2005.0,"(Acura, TL, 1.0, 1.0)",2.0,24017850905,2,2,1,1,1,1,0,1,0,0,5,64,4,37,1,2,2,1,2,1,0,1,24033801907,1,2,138.0
1,51107611805,5,51059490103,690,15,4,2,0,2,-1,-1,-1,-1,3.530754486,-1,"(-1, -1, -1, -1)",-1,51107611805,1,1,2,0,2,0,0,2,2,1,5,67,5,69,1,4,2,1,2,1,1,0,-1,0,2,139.0
1,51013103402,2,11001007200,390,30,4,1,0,1,2,1,-1,-1,4.018581744,2012.0,"(Ford, Focus, 1.0, 1.0)",1.0,51013103402,3,2,3,0,3,3,0,3,3,1,7,90,1,22,1,4,2,1,2,1,0,1,11001007200,0,1,59.0
5,24043010400,1,24043000301,510,10,4,1,0,1,2,-1,-1,-1,1.528,2007.0,"(Toyota, Prius, 1.0, 4.0)",2.0,24043000301,1,1,2,0,2,1,0,3,0,0,5,80,3,68,2,1,2,1,2,1,0,1,24043010300,0,1,149.4577680479
1,24009860600,2,24009860701,480,25,4,1,0,1,2,-1,-1,-1,12.794931812,2007.0,"(Toyota, Camry, 1.0, 1.0)",1.0,24009860600,1,1,1,0,1,1,0,1,1,0,6,78,1,48,1,4,2,1,2,1,0,1,24009860701,0,1,156.0
16,24021750200,1,24021750801,960,15,4,1,0,1,1,-1,-1,-1,1.5885167594,1997.0,"(Ford, Escort, 1.0, 1.0)",2.0,24021750801,1,1,2,0,2,1,0,2,0,0,6,42,2,64,1,4,2,1,2,2,1,0,-1,0,2,132.0
