o_activity,o_tract_fips,o_tpb_taz,o_bmc_taz,d_activity,d_tract_fips,d_tpb_taz,d_bmc_taz,departure_time_hhmm,arrival_time_hhmm,travel_mode,transit_access_mode,transit_egress_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,subway_used,subway_pay,subway_station_board,subway_access_mode,subway_station_exit,subway_egress_mode,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_tpb_taz,home_bmc_taz,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,hhtrips,package_delivered,food_delivered,service_delivered,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,j1_workplace_loc,work_tract_fips,work_tpb_taz,work_bmc_taz,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_benefits_free_parking,j1_benefits_parking,j1_benefits_transit,j1_benefits_carpool,j1_benefits_walking_biking,j1_benefits_ev_charging,j1_benefits_bicycle_parking,j1_benefits_none,student_status,school_type,school_tract_fips,school_tpb_taz,school_bmc_taz,school_freq,school_mode,volunteer_status,td_paidpark,td_hov,td_toll,td_telecommute_time,td_shop_time,person_tripcount,walk_bike_loop_trips
6,24031700208,443,1843,1,24031700207,497,1897,00:55,01:00,4,,,1,0,1,1,,,,,,,,,,2.319466732,5,2016.0,1.0,Mazda,Mazda3,1.0,2.0,24031700207,497,1897,1,1,5,1,4,5,1,4,2,0,8,2018-07-12,4,12,1,0,0,501.0,22,2,4,2,1,2,1,0,1,1,24031701002,711,2111,3,2,,1,0,0,0,0,0,0,0,0,,,,,,,1,2,1,2,0,0,4,0
10,51153901415,2572,,1,51061930403,3638,,18:05,18:30,5,,,2,0,,1,,,,,,,,,,9.2190684666,25,2013.0,1.0,Honda,Civic,1.0,1.0,51061930403,3638,,1,1,3,2,2,1,0,2,2,0,6,2018-11-05,1,8,0,0,0,170.0,4,2,1,1,2,,,,,,,,,9,,,,,,,,,,,1,1,51153901415,2572,,1,4,,,,,0,0,2,
4,51510200802,1590,,1,51510200302,1555,,15:25,15:35,5,,,4,0,,1,,,,,,,,,,2.2621149598,10,2013.0,2.0,Honda,Odyssey,1.0,1.0,51510200302,1555,,1,1,6,4,2,2,0,2,2,0,8,2018-02-27,2,33,1,0,0,400.0,15,2,4,2,2,2,,,,,,,,9,,,,,,,,,,,1,3,51510200802,1590,,1,5,,,,,0,0,2,
1,24005404101,,619,6,24005402509,,684,06:30,06:40,5,,,2,0,2,,,0,,,,,,,,1.909,10,2014.0,3.0,Land Rover,LR2,1.0,1.0,24005404101,,619,2,1,4,2,2,2,0,2,2,0,8,2018-11-30,5,21,0,0,0,289.347282333691,11,1,2,2,,2,,,,,,,,,,,,,,,,,,,1,2,24005408302,,641,,4,,2,,,,,6,
1,24003702204,3019,494,9,24003702402,3094,506,10:35,10:55,4,,,2,0,2,2,,0,,,,,,,,9.814,20,2006.0,1.0,Toyota,Camry,4.0,2.0,24003702204,3019,494,2,1,4,2,2,2,0,2,1,1,7,2018-01-08,1,11,0,0,0,375.738297485255,44,2,1,2,1,2,1,0,1,1,24033807102,995,2395,3,1,1,0,0,0,0,0,0,0,0,0,,,,,,,1,2,2,2,7,0,2,0
1,51059460600,1816,,5,51059461602,1817,,12:35,12:45,4,,,1,0,1,2,,,,,,,,,,0.390787375,10,2013.0,1.0,Lexus,ES 350,1.0,1.0,51059460600,1816,,1,1,2,0,2,0,0,2,2,0,7,2018-09-20,4,12,1,0,0,164.0,68,2,4,2,1,2,1,1,,,,,,9,,,,,,,,,,,0,,,,,,,1,2,2,2,0,0,10,1
1,24510170200,,189,9,24510080200,,245,10:00,10:55,7,1,1,1,0,,,,1,5,110,1,114,1,,,2.343,55,,,,,,,24510170200,,189,3,2,1,0,0,0,1,0,0,0,1,2018-05-08,2,4,0,0,0,85.6622679943417,48,1,2,2,2,1,2,7,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,0,4,
2,24003702701,3091,519,1,24033800203,860,2260,16:10,17:00,4,,,1,0,1,,,,,,,,,,,25.26162599,50,,,,,,,24033800203,860,2260,1,1,2,0,2,2,0,3,0,0,6,2017-11-28,2,5,0,0,1,136.0,53,2,4,2,1,2,1,0,1,1,24003702701,3091,519,3,2,,1,0,0,0,0,0,0,0,0,,,,,,,1,2,2,2,8,0,2,0
1,24021767500,2863,2848,2,24031700817,729,2129,06:50,08:10,4,,,1,0,1,2,,,,,,,,,,43.919080544,80,2014.0,4.0,Chevrolet,Silverado,1.0,2.0,24021767500,2863,2848,1,1,3,1,2,2,1,2,0,3,8,2018-03-20,2,9,0,0,0,194.0,89,2,4,2,1,2,1,0,2,1,24031700817,729,2129,3,1,5,0,0,0,0,0,1,0,0,0,,,,,,,2,2,2,2,3,0,2,0
16,24031700500,440,1840,1,24021752302,2943,2928,14:50,15:15,4,,,3,0,3,1,,,,,,,,,,17.368921293,25,2004.0,1.0,Toyota,Camry Solara,1.0,1.0,24021752302,2943,2928,1,1,4,2,2,2,0,2,2,0,8,2018-02-22,4,13,0,0,0,188.0,34,1,4,2,1,2,1,0,1,1,24031701007,722,2122,3,2,,1,0,0,0,0,0,0,0,0,,,,,,,1,2,2,2,0,0,4,0
