o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_hhmm,arrival_time_hhmm,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status
1,11001008200,3,11001008200,14:15,14:25,1,1,0,,,,,,0.2842811987,10,,,,,,,11001008200,2,1,2,0,2,1,0,2,2,0,7,2018-03-08,4,95.0,71,2,4,2,1,2,1,0,1,,0,2
16,24033801217,5,24033801217,16:15,16:20,4,1,0,1,2,,,,0.1685502356,5,2008.0,2.0,Honda,Odyssey,1.0,1.0,24033801217,1,1,3,0,2,1,1,2,2,0,7,2018-02-26,1,321.0,70,2,4,2,1,2,1,1,,,0,1
7,51179010103,2,51179010201,13:15,13:35,4,1,1,2,2,,,,5.1896190262,20,2009.0,4.0,Ford,F-150,1.0,2.0,51177020105,1,1,2,0,2,1,1,8,0,0,8,2018-05-03,4,181.0,51,2,4,2,1,2,1,0,1,51179010201,0,1
1,24021750600,2,24021750801,07:00,07:10,4,1,0,1,2,,,,1.6414125043,10,2017.0,3.0,Chevrolet,Equinox,1.0,1.0,24021750600,1,1,3,0,3,2,0,3,1,1,8,2018-04-16,1,139.0,60,1,4,2,1,2,1,0,1,24021750801,0,1
2,24013508102,1,24013507802,15:25,15:52,4,1,0,1,1,,,,11.082,27,2005.0,3.0,Honda,CR-V,1.0,2.0,24013507802,1,1,3,0,2,2,0,3,0,2,7,2019-04-25,4,138.057396360716,57,1,1,2,1,2,1,0,1,24013508102,0,
2,51013101603,7,51013101603,11:45,11:55,1,1,1,,,,,,0.0738527008,10,,,,,,,51510200103,3,2,2,1,2,2,0,1,0,1,7,2018-06-04,1,161.0,32,2,1,1,1,2,1,0,1,51013101603,0,1
7,24033801312,1,24033801307,10:00,10:15,4,1,0,1,1,,,,2.331176492,15,1992.0,1.0,BMW,5 series,1.0,2.0,24033801307,1,1,4,0,3,0,2,3,1,1,7,2018-04-05,4,394.0,71,2,2,2,1,2,1,1,,,0,2
6,24003730203,1,24003730100,13:38,14:01,4,1,0,1,1,,,,4.307,23,2014.0,4.0,Dodge,Ram Pickup,2.0,2.0,24003730100,1,1,4,1,2,1,0,5,0,2,8,2018-11-19,1,185.987877829525,46,2,1,2,1,2,2,0,1,,0,
1,24033803512,16,24033802805,20:30,20:50,4,2,0,2,3,,,,4.6045799527,20,2009.0,1.0,Hyundai,Sonata,1.0,2.0,24033803512,1,1,2,0,2,0,0,2,0,0,6,2018-03-12,1,156.0,75,1,2,2,1,2,1,1,,,0,1
10,11001002002,1,11001002900,18:00,18:15,5,2,0,,,,,,1.6976799504,15,2014.0,3.0,Mazda,CX-9,1.0,1.0,11001002900,2,1,3,1,2,2,0,1,1,2,8,2017-10-25,3,192.0,2,1,4,2,2,,,,,,1,
4,24005408302,1,24005408800,16:30,16:40,5,3,0,3,,,,,4.854,10,2018.0,1.0,Tesla,Tesla,5.0,2.0,24005408800,1,1,3,2,1,1,0,1,0,0,7,2018-12-04,2,560.316181363819,9,2,1,2,,2,,,,,1,
16,51013101500,1,51013101500,08:35,08:40,1,1,0,,,,,,0.0810103296,5,,,,,,,51013101500,1,1,4,2,2,2,0,2,1,1,8,2017-11-30,4,134.0,37,1,4,2,1,2,1,0,1,51013103402,0,1
1,51013102302,10,24031701206,14:20,15:00,4,1,0,1,3,,,,16.666461704,40,2007.0,1.0,Toyota,Prius,4.0,2.0,51013102302,1,1,2,0,2,0,0,2,0,1,6,2017-11-09,4,36.0,62,2,4,2,1,2,1,1,,,0,2
2,51059421002,1,51510200107,17:00,18:40,4,1,0,1,2,,,,7.235429565,100,2011.0,1.0,Ford,Focus,1.0,2.0,51510200107,3,2,2,0,1,2,0,1,0,0,4,2018-05-02,3,161.0,62,1,2,2,1,2,1,0,1,51059421002,0,1
2,24033806602,1,24003702206,15:40,16:10,4,1,0,1,2,,,,20.654,30,2001.0,1.0,Honda,Accord,1.0,1.0,24003702206,3,1,3,1,2,2,0,3,3,3,7,2018-12-26,3,124.816641204048,45,2,1,2,1,2,1,0,1,24033806602,0,
7,24031705000,5,51177020106,18:35,20:25,4,1,0,1,2,,,,68.662012653,110,2017.0,3.0,Subaru,Outback,1.0,1.0,51099040300,1,1,1,0,1,1,0,2,2,0,8,2018-05-09,3,117.0,58,2,4,2,1,2,1,0,1,24033800411,0,1
5,24027602302,1,24027606607,21:03,21:10,15,2,1,,,,,,0.852,7,,,,,,,24027606607,1,1,2,0,2,2,0,2,0,2,8,2018-08-15,3,48.4638805828061,60,2,1,2,1,2,1,0,1,24031701205,0,
5,24033801104,8,24033801104,14:15,14:20,5,3,0,,4,,,,0.0335651448,5,2005.0,3.0,Honda,Pilot,1.0,2.0,24033801207,1,1,3,1,2,0,0,2,0,0,5,2017-12-07,4,322.0,57,1,1,1,1,2,1,1,,,0,1
2,24021752302,1,24021752302,17:00,17:25,4,1,0,1,,,,,0.0448509211,25,,,,,,,24021752302,3,2,2,0,2,2,0,2,0,0,4,2018-04-20,5,101.0,55,1,4,2,1,2,1,0,1,24021752302,0,1
11,51177020310,1,51177020109,15:00,15:20,4,1,0,1,1,,,,5.2534705018,20,2004.0,1.0,Nissan,350Z,1.0,2.0,51177020109,1,1,5,1,4,4,0,4,0,3,6,2017-11-01,3,454.0,27,2,4,2,1,2,1,0,1,51630000500,0,1
1,24013513002,14,24021751003,17:00,17:25,4,5,0,5,,,,,18.483,25,2016.0,3.0,Toyota,Highlander,1.0,1.0,24013513002,2,1,5,1,2,2,0,2,2,2,7,2018-01-01,1,517.518165714548,35,2,1,2,1,2,1,0,1,24027605102,0,1
1,24031703207,2,24031705000,05:45,06:00,4,1,0,1,2,,,,5.3586969823,15,2015.0,1.0,Toyota,Camry,1.0,1.0,24031703207,2,2,4,2,2,2,0,2,1,0,7,2018-03-30,5,314.0,32,1,4,2,1,2,1,0,1,24031705000,0,1
14,24510240400,1,24510240400,20:30,20:40,1,2,2,,,,,,0.307,10,,,,,,,24510240400,2,2,3,0,1,1,1,1,0,0,2,2019-04-12,5,371.475326389052,43,1,1,2,1,2,1,0,1,,0,
1,51013101802,10,51059461700,20:10,20:25,4,1,0,1,2,,,,10.602591042,15,2003.0,3.0,Jeep,Grand Cherokee,1.0,1.0,51013101802,3,2,1,0,1,1,0,1,1,0,7,2018-01-02,2,78.0,41,1,4,2,1,2,1,0,1,11001005800,0,2
5,24005430400,1,24005402303,12:50,13:00,4,1,0,1,2,,,,10.588,10,2015.0,1.0,Infiniti,QX60,1.0,1.0,24005402303,1,1,4,3,1,1,0,1,1,1,6,2018-06-27,3,415.760965409317,41,1,2,2,1,2,1,0,3,24005490701,1,
16,11001001100,1,11001001001,19:15,19:20,5,3,0,,,,,,0.6631408568,5,2016.0,3.0,Honda,CR-V,1.0,2.0,11001001001,1,2,3,1,2,1,0,1,0,0,7,2018-02-06,2,208.0,12,2,4,2,2,2,,,,,1,
1,11001002900,13,11001002802,06:45,07:00,1,1,0,,,,,,0.6673726728,15,,,,,,,11001002900,3,2,1,0,0,1,0,0,0,0,4,2018-03-01,4,139.0,28,1,4,2,2,2,1,0,1,11001005800,0,2
1,24027602201,5,24027606707,10:43,11:01,5,3,1,4,,,,,10.519,18,2016.0,1.0,Nissan,Rogue,1.0,1.0,24027602201,2,2,3,0,2,1,0,3,2,1,8,2018-12-19,3,240.406953795374,45,2,1,2,1,2,1,4,,,0,1
2,24033803516,7,24033803516,12:00,12:05,5,1,3,,,,,,0.5358152791,5,,,,,,,24033800208,3,2,1,0,1,1,0,1,0,0,6,2017-11-17,5,202.0,23,2,4,2,1,2,1,0,1,24033803516,0,1
4,24031701004,18,24031701007,15:50,16:00,5,1,1,,,,,,1.3925311081,10,,,,,,,24031701004,1,1,6,5,2,0,0,2,1,1,5,2017-12-07,4,134.0,7,1,4,2,2,2,,,,,1,
4,24031704804,1,24031702700,19:20,19:50,5,2,0,,2,,,,3.4924967541,30,2005.0,1.0,Honda,Accord,1.0,2.0,24031702700,3,2,2,1,1,1,0,1,0,1,5,2017-11-06,1,564.0,10,1,4,2,2,2,,,,,1,
16,51013101300,1,51013102302,19:25,19:30,5,2,0,,3,,,,1.5947502373,5,2016.0,3.0,Honda,Pilot,1.0,1.0,51013102302,1,1,5,2,3,1,2,3,3,3,8,2018-12-13,4,117.0,53,1,4,2,1,1,1,1,,,0,2
9,51153900501,16,51153900501,11:10,11:20,4,1,1,2,2,,,,0.6320585114,10,2015.0,1.0,Honda,Accord,1.0,2.0,51059422402,2,1,1,0,1,0,0,1,0,0,6,2018-03-01,4,150.0,66,1,4,2,1,2,1,1,,,0,1
5,24037875902,1,24037875902,13:10,13:15,4,2,0,2,1,,,,1.1242187342,5,2016.0,1.0,Ford,Fusion,1.0,1.0,24037875902,3,2,3,0,2,1,0,1,1,2,5,2018-02-21,3,318.0,27,1,1,1,1,2,1,2,,,0,1
2,24031703212,7,24031703302,11:25,11:45,4,1,0,1,2,0,,,3.4621750283,20,2012.0,1.0,Ford,Fusion,4.0,1.0,24031701704,1,1,1,0,1,1,0,1,1,0,7,2017-11-20,1,53.0,66,1,4,2,1,2,1,0,1,24031704804,0,2
7,24047950000,10,24047951100,11:35,11:50,4,1,0,1,4,,,,9.715,15,2016.0,1.0,Cadillac ,SRX,1.0,2.0,24047951100,1,1,1,0,1,0,0,1,0,0,,2019-02-06,3,152.411431105157,76,1,1,1,1,2,1,1,,,0,1
17,24003980000,17,30111000704,13:15,17:30,13,3,0,,,,,,1863.601,255,,,,,,,24510271400,2,1,3,1,3,3,0,3,1,4,,2018-07-26,4,106.246378131862,50,1,1,2,1,2,1,0,1,,0,
16,11001009204,2,11001005500,09:05,09:45,7,1,0,,,,,,3.0572929807,40,,,,,,,11001009302,1,1,4,2,2,2,0,1,0,2,8,2018-01-03,3,196.0,38,1,4,2,1,2,1,0,1,11001005500,0,1
5,24005420100,1,24005420600,18:40,18:45,4,1,0,1,3,,,,1.551,5,2009.0,6.0,Dodge,Challenger (2008 on),1.0,2.0,24005420600,1,1,2,0,1,0,0,3,0,2,3,2019-04-15,1,100.607362931947,110,2,1,2,1,2,2,1,,,0,1
4,24017850600,18,24017850902,15:30,15:50,4,1,0,1,2,,,,6.9643379325,20,2009.0,1.0,Ford,Focus,1.0,2.0,24017851301,1,1,5,2,5,4,0,6,2,0,8,2018-01-03,3,348.0,21,1,3,2,1,2,1,6,,,1,1
1,51107610603,7,51107610505,08:00,08:05,4,1,0,1,2,,,,0.2874210637,5,2016.0,3.0,Chevrolet,Traverse,1.0,1.0,51107610603,2,1,3,1,2,1,0,2,2,1,5,2018-07-11,3,38.0,50,1,4,2,1,2,1,0,1,51013101000,0,1
8,24037876002,5,24037876002,14:50,14:55,4,1,0,1,2,,,,0.2357574374,5,2007.0,1.0,Toyota,Matrix,1.0,1.0,24009860401,1,1,1,0,1,0,0,2,2,1,4,2017-12-21,4,156.0,71,1,4,2,1,2,1,1,,,0,1
16,24033800401,1,24033800504,15:00,15:10,4,3,0,3,,,,,1.1017659317,10,2012.0,3.0,Honda,Pilot,1.0,2.0,24033800504,1,1,5,2,3,2,0,4,0,0,7,2018-02-15,4,344.0,38,1,4,2,1,2,1,2,,,0,2
7,24045010702,5,24045010702,15:05,15:09,4,1,0,1,2,,,,0.174,4,2014.0,4.0,Ford,F-Series pickup,1.0,1.0,24039930600,1,1,2,0,2,2,0,2,1,2,6,2019-02-15,5,70.7066928884425,62,1,1,2,1,2,1,0,1,,0,
4,51059490103,1,51059490101,17:00,17:15,5,3,0,,1,,,,1.9570047056,15,2012.0,2.0,Toyota,Sienna,1.0,1.0,51059490101,1,1,4,3,2,2,0,2,1,2,5,2018-01-10,3,142.0,6,1,5,2,2,2,,,,,1,
7,24019999999,1,51510200106,13:50,16:00,5,2,0,,1,,1,1,76.180131217,130,2015.0,2.0,Dodge,Grand Caravan,1.0,1.0,51510200106,2,1,4,2,2,2,0,2,2,1,7,2018-03-30,5,144.0,14,1,4,2,2,2,,,,,1,
16,24013507602,1,24013507601,07:30,07:45,4,1,0,1,1,,,,3.094,15,2002.0,1.0,Volvo,V70 XC,1.0,2.0,24013507601,1,1,3,1,2,2,,6,0,5,6,2018-01-09,2,378.730482983442,49,1,1,2,1,2,1,0,2,24031701304,0,1
5,11001006900,1,11001007605,12:55,13:15,8,1,0,,,,,,2.0910768883,20,,,,,,,11001007605,3,2,1,0,0,0,1,0,0,0,4,2018-05-11,5,111.0,66,1,2,2,2,1,1,1,,,0,1
2,11001010600,1,24031701701,16:35,17:05,7,1,0,,,,,,6.4220090808,30,,,,,,,24031701701,1,1,4,1,2,1,0,1,1,2,6,2017-10-13,5,86.0,42,2,4,2,1,2,1,0,1,11001010600,0,1
16,51059461601,1,51153901212,19:15,20:10,4,1,1,2,1,,,,19.578331539,55,2012.0,2.0,Toyota,Sienna,1.0,2.0,51153901212,1,1,3,1,2,3,0,3,0,0,4,2017-10-12,4,237.0,52,2,3,2,1,2,1,0,1,24033806501,0,1
1,11001002202,10,11001002002,08:00,08:05,5,2,0,,3,,,,0.9542488885,5,2003.0,1.0,Honda,Accord,1.0,1.0,11001002202,2,1,3,1,2,2,0,1,1,0,8,2018-07-27,5,141.0,0,1,4,2,2,,,,,,1,
8,24043000601,6,24043000601,09:35,09:45,5,2,0,2,,,,,1.557,10,2001.0,4.0,Ford,F-Series pickup,1.0,1.0,24043000500,1,1,2,0,2,0,2,5,4,5,2,2018-11-16,5,104.014572329425,60,2,1,1,1,1,1,7,,,0,1
1,24023000100,5,24001001401,11:45,12:35,5,2,0,2,,,,,38.907,50,2011.0,1.0,Toyota,Corolla,1.0,2.0,24023000100,1,1,2,0,1,0,1,1,0,0,3,2018-11-19,1,193.61283815411,93,1,1,2,1,1,2,1,,,0,1
