o_activity,o_tpb_taz,d_activity,d_tpb_taz,departure_time_min,travel_mode,transit_access_mode,transit_egress_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,subway_used,subway_pay,subway_station_board,subway_access_mode,subway_station_exit,subway_egress_mode,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tpb_taz,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_days,tdate_dow,hhtrips,package_delivered,food_delivered,service_delivered,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,j1_workplace_loc,work_tpb_taz,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_benefits_free_parking,j1_benefits_parking,j1_benefits_transit,j1_benefits_carpool,j1_benefits_walking_biking,j1_benefits_ev_charging,j1_benefits_bicycle_parking,j1_benefits_none,student_status,school_type,school_tpb_taz,school_freq,school_mode,volunteer_status,td_telecommute_time,td_shop_time,person_tripcount,walk_bike_loop_trips
1,3111,2,3100,555,4,,,1,0,1,2,,0,,,,,,,,5.098,10,2010.0,3.0,Ford,Escape,1.0,1.0,3111,1,1,3,1,3,3,0,4,1,2,8,547,1,7,0,0,0,136.460113149391,59,1,1,2,1,2,1,0,1,1,3100,3,1,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,5,
2,3100,5,3096,686,4,,,1,0,1,2,,0,,,,,,,,1.443,4,2010.0,3.0,Ford,Escape,1.0,1.0,3111,1,1,3,1,3,3,0,4,1,2,8,547,1,7,0,0,0,136.460113149391,59,1,1,2,1,2,1,0,1,1,3100,3,1,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,5,
5,3096,5,3100,740,4,,,1,0,1,2,,0,,,,,,,,0.627,8,2010.0,3.0,Ford,Escape,1.0,1.0,3111,1,1,3,1,3,3,0,4,1,2,8,547,1,7,0,0,0,136.460113149391,59,1,1,2,1,2,1,0,1,1,3100,3,1,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,5,
5,3100,2,3100,752,4,,,1,0,1,2,,0,,,,,,,,0.856,8,2010.0,3.0,Ford,Escape,1.0,1.0,3111,1,1,3,1,3,3,0,4,1,2,8,547,1,7,0,0,0,136.460113149391,59,1,1,2,1,2,1,0,1,1,3100,3,1,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,5,
2,3100,1,3111,1014,4,,,1,0,1,1,,0,,,,,,,,5.097,21,2010.0,3.0,Ford,Escape,1.0,1.0,3111,1,1,3,1,3,3,0,4,1,2,8,547,1,7,0,0,0,136.460113149391,59,1,1,2,1,2,1,0,1,1,3100,3,1,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,5,
1,3113,2,1102,345,4,,,1,0,1,2,,0,,,,,,,,9.326,20,2016.0,3.0,Ford,Escape,1.0,1.0,3113,1,1,1,0,1,1,0,2,2,1,7,533,1,5,0,0,0,131.74586962165,67,2,1,2,1,2,1,0,1,1,,3,2,,0,0,0,0,0,0,0,1,0,,,,,,0,0,5,
2,1102,1,3113,810,4,,,1,0,1,1,,0,,,,,,,,9.39,15,2016.0,3.0,Ford,Escape,1.0,1.0,3113,1,1,1,0,1,1,0,2,2,1,7,533,1,5,0,0,0,131.74586962165,67,2,1,2,1,2,1,0,1,1,,3,2,,0,0,0,0,0,0,0,1,0,,,,,,0,0,5,
1,3113,5,3111,1065,4,,,1,0,1,2,,0,,,,,,,,7.448,15,2016.0,3.0,Ford,Escape,1.0,1.0,3113,1,1,1,0,1,1,0,2,2,1,7,533,1,5,0,0,0,131.74586962165,67,2,1,2,1,2,1,0,1,1,,3,2,,0,0,0,0,0,0,0,1,0,,,,,,0,0,5,
5,3111,13,3085,1100,4,,,1,0,1,1,,0,,,,,,,,11.172,27,2016.0,3.0,Ford,Escape,1.0,1.0,3113,1,1,1,0,1,1,0,2,2,1,7,533,1,5,0,0,0,131.74586962165,67,2,1,2,1,2,1,0,1,1,,3,2,,0,0,0,0,0,0,0,1,0,,,,,,0,0,5,
13,3085,1,3113,1195,4,,,1,0,1,1,,0,,,,,,,,19.314,35,2016.0,3.0,Ford,Escape,1.0,1.0,3113,1,1,1,0,1,1,0,2,2,1,7,533,1,5,0,0,0,131.74586962165,67,2,1,2,1,2,1,0,1,1,,3,2,,0,0,0,0,0,0,0,1,0,,,,,,0,0,5,
13,3114,13,3097,585,4,,,1,0,1,2,,0,,,,,,,,7.245,20,2011.0,3.0,Nissan,Murano,1.0,1.0,3114,1,1,1,0,1,0,0,1,1,0,4,565,5,5,0,0,0,91.6880431432125,70,1,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,5,
13,3097,5,3090,685,4,,,1,0,1,2,,0,,,,,,,,4.525,31,2011.0,3.0,Nissan,Murano,1.0,1.0,3114,1,1,1,0,1,0,0,1,1,0,4,565,5,5,0,0,0,91.6880431432125,70,1,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,5,
5,3090,10,3102,787,4,,,1,0,1,2,,0,,,,,,,,4.966,20,2011.0,3.0,Nissan,Murano,1.0,1.0,3114,1,1,1,0,1,0,0,1,1,0,4,565,5,5,0,0,0,91.6880431432125,70,1,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,5,
10,3102,5,3111,815,4,,,1,0,1,2,,0,,,,,,,,8.424,19,2011.0,3.0,Nissan,Murano,1.0,1.0,3114,1,1,1,0,1,0,0,1,1,0,4,565,5,5,0,0,0,91.6880431432125,70,1,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,5,
5,3111,1,3114,871,4,,,1,0,1,1,,0,,,,,,,,7.419,15,2011.0,3.0,Nissan,Murano,1.0,1.0,3114,1,1,1,0,1,0,0,1,1,0,4,565,5,5,0,0,0,91.6880431432125,70,1,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,5,
1,3114,2,3091,335,4,,,1,0,1,2,,0,,,,,,,,8.794,20,2010.0,3.0,Buick,Enclave,1.0,1.0,3114,1,1,2,0,2,1,0,2,2,2,7,506,2,5,1,0,0,88.6982254119212,63,1,1,2,1,2,1,0,1,1,3091,3,1,0,1,0,0,0,0,1,1,0,0,,,,,,0,0,3,
2,3091,9,3091,885,4,,,1,0,1,2,,0,,,,,,,,1.179,10,2010.0,3.0,Buick,Enclave,1.0,1.0,3114,1,1,2,0,2,1,0,2,2,2,7,506,2,5,1,0,0,88.6982254119212,63,1,1,2,1,2,1,0,1,1,3091,3,1,0,1,0,0,0,0,1,1,0,0,,,,,,0,0,3,
9,3091,1,3114,950,4,,,1,0,1,1,,0,,,,,,,,9.631,25,2010.0,3.0,Buick,Enclave,1.0,1.0,3114,1,1,2,0,2,1,0,2,2,2,7,506,2,5,1,0,0,88.6982254119212,63,1,1,2,1,2,1,0,1,1,3091,3,1,0,1,0,0,0,0,1,1,0,0,,,,,,0,0,3,
1,3114,5,3111,805,4,,,1,0,1,2,,0,,,,,,,,4.309,15,2008.0,1.0,Volvo,260 series/GLE,1.0,1.0,3114,1,1,2,0,2,1,0,2,2,2,7,506,2,5,1,0,0,88.6982254119212,69,2,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,2,
5,3111,1,3114,840,4,,,1,0,1,1,,0,,,,,,,,4.786,15,2008.0,1.0,Volvo,260 series/GLE,1.0,1.0,3114,1,1,2,0,2,1,0,2,2,2,7,506,2,5,1,0,0,88.6982254119212,69,2,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,2,
1,3108,13,3108,465,1,,,1,0,,,,0,,,,,,,,0.525,6,,,,,,,3108,1,1,1,0,1,0,0,1,0,1,4,500,3,12,0,0,0,46.4357747016161,69,1,1,2,1,2,1,1,,,,,,,,,,,,,,,0,,,,,1,,0,12,2
