column,value,count,percentage
o_activity,1,38453,34.391993%
o_activity,2,19725,17.641850%
o_activity,5,12882,11.521537%
o_activity,16,7469,6.680202%
o_activity,7,5669,5.070299%
o_activity,4,3932,3.516743%
o_activity,10,3541,3.167036%
o_activity,6,3320,2.969376%
o_activity,13,2756,2.464940%
o_activity,9,2568,2.296795%
o_activity,11,2479,2.217194%
o_activity,18,2350,2.101817%
o_activity,8,1796,1.606325%
o_activity,14,1558,1.393460%
o_activity,12,1377,1.231576%
o_activity,3,1254,1.121566%
o_activity,15,607,0.542895%
o_activity,17,72,0.064396%
o_tpb_taz,2984,464,0.414997%
o_tpb_taz,1492,376,0.336291%
o_tpb_taz,662,357,0.319297%
o_tpb_taz,1501,349,0.312142%
o_tpb_taz,2986,333,0.297832%
o_tpb_taz,1478,320,0.286205%
o_tpb_taz,3071,301,0.269212%
o_tpb_taz,624,297,0.265634%
o_tpb_taz,38,297,0.265634%
o_tpb_taz,283,295,0.263845%
o_tpb_taz,3050,292,0.261162%
o_tpb_taz,3021,290,0.259373%
o_tpb_taz,3091,283,0.253112%
o_tpb_taz,3027,280,0.250429%
o_tpb_taz,3089,279,0.249535%
o_tpb_taz,3254,278,0.248641%
o_tpb_taz,37,277,0.247746%
o_tpb_taz,637,275,0.245957%
o_tpb_taz,2977,274,0.245063%
o_tpb_taz,1525,267,0.238802%
o_tpb_taz,750,265,0.237013%
o_tpb_taz,2754,260,0.232541%
o_tpb_taz,3633,255,0.228070%
o_tpb_taz,3096,239,0.213759%
o_tpb_taz,2637,239,0.213759%
o_tpb_taz,2269,239,0.213759%
o_tpb_taz,1517,237,0.211971%
o_tpb_taz,3037,235,0.210182%
o_tpb_taz,3024,235,0.210182%
o_tpb_taz,1493,227,0.203027%
o_tpb_taz,717,224,0.200343%
o_tpb_taz,40,221,0.197660%
o_tpb_taz,56,219,0.195871%
o_tpb_taz,2935,218,0.194977%
o_tpb_taz,3269,215,0.192294%
o_tpb_taz,36,210,0.187822%
o_tpb_taz,3102,205,0.183350%
o_tpb_taz,20,204,0.182456%
o_tpb_taz,1475,203,0.181561%
o_tpb_taz,3244,203,0.181561%
o_tpb_taz,1415,200,0.178878%
o_tpb_taz,687,200,0.178878%
o_tpb_taz,1480,200,0.178878%
o_tpb_taz,1496,197,0.176195%
o_tpb_taz,3019,195,0.174406%
o_tpb_taz,1490,195,0.174406%
o_tpb_taz,702,194,0.173512%
o_tpb_taz,690,190,0.169934%
o_tpb_taz,2630,189,0.169040%
o_tpb_taz,28,188,0.168145%
o_tpb_taz,664,186,0.166357%
o_tpb_taz,1800,186,0.166357%
o_tpb_taz,2982,185,0.165462%
o_tpb_taz,2969,184,0.164568%
o_tpb_taz,1472,183,0.163673%
o_tpb_taz,3271,183,0.163673%
o_tpb_taz,3184,182,0.162779%
o_tpb_taz,3034,181,0.161885%
