o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_hhmm,arrival_time_hhmm,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status
1,24033802301,2,24510999999,22:15,23:05,4,1,0,1,2,,,,42.39880502,50,2007.0,1.0,Honda,Accord,1.0,1.0,24033802301,1,1,5,1,2,1,0,2,1,1,7,2018-03-05,1,386.0,45,2,2,2,1,2,1,0,1,24510999999,0,2
1,51013101601,16,51013101601,15:45,15:50,4,1,0,1,4,,,,0.0800087627,5,2017.0,1.0,Tesla,Model S,5.0,1.0,51013101601,2,1,1,0,1,1,0,1,1,1,8,2017-11-20,1,206.0,57,2,4,2,1,2,1,0,1,,0,2
16,24031701407,16,24031701407,16:15,16:20,4,1,2,3,1,,,,0.8438304522,5,2013.0,1.0,Toyota,Corolla,1.0,2.0,24031701800,1,1,1,0,1,0,0,1,0,0,3,2017-10-17,2,54.0,74,1,4,2,1,2,1,1,,,0,2
5,24031702500,7,24033806000,21:00,21:20,4,1,0,1,3,,,,5.6074201813,20,2016.0,1.0,Volkswagen,Passat,1.0,1.0,24033806000,1,1,2,0,2,2,0,1,1,0,8,2017-11-14,2,34.0,48,2,4,2,1,2,1,0,1,11001010700,0,1
7,24510271501,1,24510272003,21:20,21:35,4,1,1,2,2,,,,1.647,15,2015.0,3.0,Jeep,Renegade,1.0,2.0,24510272003,3,2,1,0,1,1,0,1,0,1,4,2019-05-30,4,300.589349384325,38,1,2,2,1,2,1,0,1,24510040100,0,
16,51107610701,1,51107610701,16:25,16:35,4,3,0,3,1,,,,3.1009921988,10,2013.0,1.0,Kia,Optima,1.0,1.0,51107610701,1,1,4,2,2,2,0,2,2,1,7,2018-02-23,5,124.0,34,1,2,2,1,2,1,0,1,51059490103,0,1
1,24033805908,2,24003740603,11:00,12:00,4,1,0,1,2,,,,18.94316117,60,2015.0,1.0,Hyundai,Genesis,1.0,1.0,24033805908,3,2,1,0,1,1,0,1,1,0,6,2018-07-25,3,66.0,32,2,2,2,1,2,1,0,2,24003740603,0,1
2,24003751102,5,24510260501,17:00,17:30,4,1,0,1,2,,,,11.168,30,2018.0,3.0,Ford,Escape,1.0,1.0,24005452500,1,1,4,1,4,4,1,3,3,0,7,2019-03-22,5,447.588274299679,51,1,1,2,1,2,1,0,1,24003751102,1,
15,51059490103,1,51107611805,15:05,15:25,4,1,0,1,1,,,,3.6765837584,20,2018.0,1.0,Unknown,Unknown,1.0,2.0,51107611805,1,1,2,0,2,2,0,2,1,2,8,2018-03-14,3,138.0,26,2,2,2,1,2,1,0,1,51059490103,0,1
2,24003751200,7,24003740102,11:20,11:27,4,1,0,1,3,,,,2.35,7,2016.0,1.0,Volkswagen,Golf/Cabriolet/Cabrio/GTI/GLI,1.0,1.0,24510010500,2,1,2,0,2,2,0,1,1,0,8,2018-07-27,5,63.1957718042061,36,1,1,2,1,2,1,0,1,24003751200,0,
1,24027605505,2,24003750202,07:00,07:45,4,1,0,1,2,,,,21.77,45,2017.0,3.0,Acura,RDX,1.0,1.0,24027605505,1,1,3,1,3,2,0,4,3,1,7,2018-10-19,5,153.805376790692,49,1,1,2,1,2,1,0,1,24003750202,0,
7,24003702209,1,24003751700,14:20,14:25,5,3,0,3,,,,,2.738,5,2014.0,3.0,Toyota,Highlander,1.0,1.0,24003751700,1,1,4,1,2,2,1,2,2,4,7,2019-01-31,4,150.721169622798,4,1,1,2,,,,,,,1,
5,24027605402,5,24027602800,11:30,11:50,4,1,0,1,2,,,,6.096,20,1992.0,1.0,Chrysler,Lebaron,1.0,1.0,24027603004,1,1,1,0,1,0,,3,1,1,6,2017-11-20,1,283.497398380173,72,2,2,2,1,2,2,1,,,0,1
5,51107611501,1,51107610701,19:00,19:40,4,1,0,1,1,,,,20.766519176,40,2015.0,3.0,GMC,Acadia,1.0,1.0,51107610701,1,1,3,1,2,2,0,2,2,2,5,2018-10-01,1,184.0,45,1,4,2,1,2,1,0,1,,0,1
1,24027606803,8,24031700901,08:18,08:58,4,1,0,1,2,,,,25.667,40,2014.0,1.0,Honda,Accord,1.0,1.0,24027606803,2,1,2,0,2,2,0,2,2,1,6,2018-09-26,3,48.4638805828061,27,1,1,2,1,2,1,0,1,24031700817,0,
1,11001003500,2,11001000201,07:00,07:20,4,1,0,1,2,,,,3.4431844772,20,2003.0,3.0,Honda,CR-V,1.0,2.0,11001003500,2,1,1,0,1,1,0,1,0,0,4,2018-05-16,3,146.0,68,1,2,2,1,2,2,0,1,11001000201,0,1
10,24003740102,10,24003740102,15:33,15:39,4,1,0,1,2,,,,0.983,6,2005.0,3.0,Honda,Pilot,1.0,1.0,24003740102,2,1,5,0,5,3,1,7,2,4,7,2018-05-29,2,131.733049844091,43,2,3,2,1,2,1,0,1,24027605102,0,
14,51059491802,5,51059491803,15:20,15:35,4,2,0,2,2,,,,1.2622290343,15,2012.0,1.0,Toyota,Prius,4.0,1.0,51059491803,3,2,3,1,2,2,0,2,1,1,8,2018-03-29,4,371.0,37,1,3,2,1,2,1,0,1,51059491803,0,1
9,24510271200,1,24510271200,17:45,17:59,4,2,0,2,1,,,,0.602,14,2014.0,1.0,Volkswagen,Jetta,1.0,2.0,24510271200,5,1,4,1,3,1,0,2,0,2,8,2018-05-07,1,128.29682184799,62,2,1,2,1,2,1,0,1,24510040100,0,
3,24005402604,10,24005403702,09:50,10:05,4,1,0,1,2,,,,4.227,15,2012.0,1.0,Lincoln,Zephyr/MKZ,1.0,2.0,24005402604,1,1,2,0,1,1,0,1,0,0,5,2019-03-22,5,63.0346998023202,77,1,2,2,1,2,1,1,,,0,1
1,51107611024,16,51107611022,17:00,17:20,4,2,0,2,3,,,,2.5312223246,20,2014.0,3.0,Lincoln,Navigator L,1.0,1.0,51107611024,1,1,5,4,4,2,0,4,4,4,8,2018-10-03,3,369.0,49,1,4,2,1,2,1,0,1,51107611012,0,1
