o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_hhmm,arrival_time_hhmm,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status
1,51177020306,14,51177020306,09:00,09:10,4,1,0,1,2,-1,-1,-1,2.0845040116,10,2010.0,1.0,Volvo,C70,1.0,1.0,51177020306,1,1,2,0,2,1,1,2,2,0,8,2017-12-08,5,181.0,55,1,4,2,1,2,1,0,1,51059480202,0,1
16,24003740201,11,24003731204,18:50,19:15,4,2,0,2,-1,-1,-1,-1,6.11,25,2005.0,3.0,Toyota,Highlander,1.0,1.0,24003731307,3,1,3,1,2,3,1,2,2,1,7,2018-05-11,5,139.105339131536,47,1,1,2,1,2,1,0,1,24003740603,0,1
10,24510130600,8,24510120700,13:10,13:15,4,1,0,1,2,-1,-1,-1,1.623,5,2010.0,1.0,Honda,"Civic/CRX, del Sol",1.0,2.0,24510130700,2,1,2,0,2,0,0,2,0,1,6,2019-04-03,3,168.167782593223,70,2,1,2,1,2,1,1,0,-1,0,1
2,51059482400,16,51107611019,17:35,18:10,4,1,0,1,2,-1,-1,-1,11.228176613,35,2013.0,3.0,Ford,Edge,1.0,1.0,51107611023,3,2,3,1,2,2,0,2,2,0,6,2018-02-27,2,204.0,28,1,4,2,1,2,1,0,2,51059482400,0,2
6,24019970400,1,24019970900,19:05,19:14,5,2,0,2,-1,-1,-1,-1,4.263,9,2006.0,1.0,Honda,Accord,1.0,2.0,24019970900,1,3,2,0,2,0,2,2,0,1,5,2019-03-15,5,114.3198973411,85,1,1,2,1,1,2,1,0,-1,0,1
4,51510200202,1,51059492202,16:10,16:55,4,1,0,1,1,-1,-1,-1,13.150955825,45,2005.0,1.0,Honda,Civic,1.0,2.0,51059492202,1,1,3,1,3,0,0,3,1,3,7,2018-08-31,5,280.0,29,2,4,2,1,2,1,6,0,-1,1,1
1,24005411303,4,24005411303,13:45,13:50,4,1,0,1,2,-1,-1,-1,1.119,5,2009.0,1.0,Toyota,Corolla,1.0,2.0,24005411303,1,1,2,0,2,1,0,3,1,0,6,2018-05-30,3,230.290022527449,73,1,3,2,1,2,1,0,1,24005411303,0,1
11,51107610300,17,24027604002,11:00,11:50,5,3,1,4,-1,-1,-1,-1,51.718,50,2018.0,3.0,Toyota,Highlander,1.0,1.0,24027604002,1,1,4,1,4,3,0,6,6,3,8,2018-12-27,4,60.1786781289394,25,1,1,2,1,2,1,0,1,24027602303,1,1
16,24031703221,18,11001002501,09:05,09:15,4,1,0,1,4,-1,-1,-1,13.062329792,10,2018.0,3.0,Hyundai,Santa Fe,1.0,1.0,24031703214,3,2,4,3,2,2,0,2,2,0,7,2018-08-07,2,399.0,48,2,2,2,1,2,1,0,1,11001002501,0,1
2,51061930401,1,51061930401,15:05,15:15,4,1,0,1,1,-1,-1,-1,2.1798624198,10,2004.0,4.0,Chevrolet,Silverado,2.0,2.0,51061930401,1,1,2,0,2,2,0,4,0,0,6,2017-10-20,5,98.0,30,2,4,2,1,2,2,0,1,51061930401,0,1
