,o_activity,o_tpb_taz,d_activity,d_tpb_taz,departure_time_min,travel_mode,transit_access_mode,transit_egress_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,subway_used,subway_pay,subway_station_board,subway_access_mode,subway_station_exit,subway_egress_mode,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tpb_taz,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_days,tdate_dow,hhtrips,package_delivered,food_delivered,service_delivered,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,j1_workplace_loc,work_tpb_taz,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_benefits_free_parking,j1_benefits_parking,j1_benefits_transit,j1_benefits_carpool,j1_benefits_walking_biking,j1_benefits_ev_charging,j1_benefits_bicycle_parking,j1_benefits_none,student_status,school_type,school_tpb_taz,school_freq,school_mode,volunteer_status,td_telecommute_time,td_shop_time,person_tripcount,walk_bike_loop_trips
o_activity,1.0,0.6517533407094083,0.8469281652488578,0.6572476337502096,0.7472091148214502,0.8662080160506034,0.8745241946408232,0.8745713869622713,0.8848355684574918,0.8852895341715462,0.895992681950753,0.8839417123851153,0.8957587672456018,0.8803646799997688,0.879774754041354,0.8738872647895258,0.8797049993350795,0.8742825182274954,0.8790233551270329,0.8988083674259977,0.8956197405199265,0.8441315239648096,0.8553572125499,0.8176795373185614,0.88739655271746,0.8625395829048519,0.7909011717469073,0.8775017918782229,0.8940970905803476,0.6654722980066426,0.8506620244063003,0.8594548317627166,0.7663037687365106,0.7850987231460901,0.8517389994887133,0.8523033972483028,0.897424710656322,0.8507013311213368,0.8768001974731368,0.8540664588067278,0.8550562301814448,0.5824970692905009,0.894272884107243,0.796219929382136,0.8935534070569131,0.8916148591359667,0.8902113270244352,0.7662621569980614,0.8915693058849183,0.8848206567886734,0.8959597017893384,0.9006139828657002,0.8925215980435642,0.8913273713502677,0.8708694780621655,0.8903932870697324,0.8920856001547902,0.7314950139220316,0.867647499299975,0.8929142083191883,0.8872760952397472,0.8923099746958505,0.8847049203499547,0.880566257265599,0.8858590788703125,0.8892610920927321,0.8841754618926199,0.8828800619656373,0.893382664964305,0.8966592260614156,0.894493508145483,0.8544651065400922,0.8920218545129106,0.8926795657119069,0.8970380061965637,0.8355757055384989,0.8949769771267339,0.8094588481304995,0.8818968339664534
o_tpb_taz,0.6517533407094083,1.0,0.6688583928870849,0.15055018301834272,0.4239305388292938,0.7430522516026237,0.7827365594162246,0.784514713328394,0.7571830698637367,0.7727563191197279,0.7595790242559705,0.7369700717618577,0.7934158180670058,0.7902752585136672,0.7887831959508405,0.7714488107214925,0.7871466138405893,0.7738322281610777,0.7884429559104001,0.796396012004913,0.7934237914346672,0.6477720309646469,0.7210823687855743,0.580574780431678,0.7463102305457057,0.6175486982012455,0.4399105640591044,0.760215866346018,0.7687764367858816,0.18608321077732926,0.7357963682949372,0.7642947433695859,0.6648497480942387,0.6881261584484968,0.7432142975878666,0.7307725658952763,0.787886270815936,0.7265011897328011,0.7470296404844916,0.7176951020343264,0.6942273953865253,0.11549422541301477,0.729056500486094,0.49760513746096174,0.7791930698967763,0.7898010509254785,0.7845659091115588,0.38587800432570035,0.7814075159560276,0.7166953439456302,0.7870442790609505,0.7879257298225529,0.7901835402640354,0.7837428015125496,0.7406865335421432,0.7704648393328989,0.7614324618331487,0.4499711033179121,0.7360429051327735,0.7700820118554091,0.7684057977972546,0.7660684085519518,0.7708800016684962,0.766594712766722,0.7741740917846385,0.7778631436616554,0.7717423178964392,0.7693849474795382,0.7710708643182169,0.7865937153859306,0.7585572174438803,0.7228871401685512,0.7671575566359482,0.7622100755490138,0.7808488872080028,0.7098373494946191,0.7815252786471304,0.6477970713141721,0.7648628116143857
d_activity,0.8469281652488578,0.6688583928870849,1.0,0.6512838593226401,0.7913958973990457,0.8884124459700448,0.9031251368043011,0.9031894658003702,0.8837186852373601,0.9041279820240181,0.9001013874743841,0.8913555117368798,0.9156019704155794,0.909190722025224,0.9087019125138043,0.904575138497577,0.9088309086448755,0.9036097208696665,0.9079343087428376,0.9158943341130662,0.9148095431169988,0.8599137069443309,0.880484938724063,0.8294818095708909,0.9082511604102188,0.8751129254975134,0.8011303648968217,0.9002289484509004,0.9144734149492306,0.6683580479337491,0.8757779312050921,0.885691537482107,0.767721642068737,0.7872574717863069,0.8643017668507794,0.8654991219745083,0.9115494992033344,0.8714752526698005,0.8907324662315361,0.8597512634522508,0.856404418500154,0.5793903778359274,0.906273068302619,0.8129587074027543,0.906322816025163,0.9097656124165855,0.9058304599267678,0.7670666566309097,0.9004948856873585,0.9011995130179875,0.914164322408813,0.9138189870534604,0.9085935867382633,0.9075879021839955,0.8731146431400438,0.9046084051736599,0.9050760332493303,0.7494823144561983,0.8903178201385843,0.9087276859278862,0.9057202730964895,0.8980690485895838,0.9012317239778602,0.8986068727589906,0.9014624483034614,0.9045182304895385,0.8995881287112684,0.8975351659327762,0.9075472248447349,0.9044462068968365,0.9050981568279078,0.8688368939621086,0.9038700439673537,0.9052150651374321,0.9097972090477099,0.8387453424588514,0.9105813016087773,0.8323969053111869,0.9008587541536883
d_tpb_taz,0.6572476337502096,0.15055018301834272,0.6512838593226401,1.0,0.42863259558129335,0.7314414460039103,0.7738881630517291,0.7715407432118222,0.7478499242362293,0.7634596382914929,0.7498403777739783,0.7232897758763529,0.7813402082398934,0.778820559528559,0.7774617211240709,0.7636691192322275,0.7773340388305329,0.7609917506490202,0.7753102876421423,0.7851519606689183,0.7827367297762976,0.6395668006626077,0.7119576303140985,0.575578178857014,0.7371724827595606,0.6136742351968454,0.43968888688586744,0.7504147132044957,0.7589217854189949,0.18424693826811742,0.7282514923542399,0.7528714370997571,0.6544118999918227,0.6781963602209024,0.7361264615861782,0.7230104886050793,0.7778726192954155,0.7166645397469668,0.7362880945773047,0.7079829594497596,0.6865479375693314,0.11632552320159646,0.7200821280100044,0.4977023201389973,0.7671688339565415,0.7786774622296231,0.7737678165661852,0.38423991994935036,0.7716917003050374,0.7074141968586015,0.7752953243490593,0.7767658699184171,0.7797458625216925,0.7728876409239174,0.7310760752714817,0.7589766749182891,0.7495143576372111,0.44349504066340073,0.7254188121711018,0.7585595302109326,0.7575597230791851,0.754291612874183,0.7601626597977486,0.754445182155185,0.762654836656697,0.7659433565146931,0.7598388440170781,0.7572490353489925,0.7595953891478362,0.7747158084235932,0.7483007770071307,0.7123920562440168,0.7567972636661818,0.7508394260290367,0.7694494365108274,0.7014080466534673,0.7716396423966544,0.6431073992232407,0.7557186546757955
departure_time_min,0.7472091148214502,0.4239305388292938,0.7913958973990457,0.42863259558129335,1.0,0.8313771789569586,0.8591243177337196,0.8578406365147923,0.8337343532016543,0.8546014152482384,0.8508485996608492,0.8305231510046908,0.8639699260781831,0.8616578456285812,0.8603981258120497,0.8529518625415162,0.8605780518613232,0.8520381621018427,0.8599563692365638,0.8645599475414874,0.8641449374974705,0.8089641792650522,0.8303687350857499,0.7815536022998817,0.8545096092373569,0.8157995700318253,0.7046837714374921,0.8512643350257832,0.8612972062599996,0.427146446577972,0.8346696041905687,0.8453484085478218,0.7381812363763566,0.7533655897225588,0.8248387980714826,0.8108509428862176,0.8611446075151713,0.8301316996938062,0.8461502056504203,0.8226442402601533,0.8199346503922205,0.5045208736518839,0.8601591157919865,0.7678749067665782,0.8574661566808819,0.860851286187577,0.8581852233183086,0.7094307283935933,0.8586617952978142,0.8524950290995654,0.8636273474585581,0.8574353163452333,0.8581566647751536,0.8609924966196432,0.8118498336872693,0.8497788416506219,0.8470375286721166,0.6398042593735209,0.840291024564064,0.8521590996852159,0.8558174299623927,0.850720088797865,0.8467792628013722,0.8476918894563428,0.8468358868759556,0.8485907995442197,0.8461915799172525,0.8464081075700995,0.8520827060985189,0.8533524177914561,0.8473929798021097,0.7999693403492774,0.8490890666209069,0.8501791232919595,0.8617335448689198,0.8023717090563828,0.8605780337928306,0.8054971117256463,0.8492266840041597
travel_mode,0.8662080160506034,0.7430522516026237,0.8884124459700448,0.7314414460039103,0.8313771789569586,1.0,0.932621424400188,0.932747237895349,0.8944766786352362,0.9348789096088037,0.8959030493214094,0.8921108986256382,0.948282669796336,0.9390434519369837,0.9388527106042848,0.9365091806527125,0.9385735782058049,0.936247337220434,0.9384118393849361,0.9477631748220615,0.9481863827992907,0.8665535630654406,0.901768642141424,0.828989964552715,0.9313698224992587,0.8761289090925611,0.8043007503690103,0.9237897542974103,0.9332176381940263,0.7240382167203147,0.8854631388296242,0.9122901267148549,0.7678925467777786,0.7860084356113263,0.8925919025482563,0.8834674893096472,0.9477161347921937,0.887240572583303,0.9144470504373194,0.873179640670339,0.8706561769258535,0.5965832196567028,0.9390692614880508,0.823263550749956,0.928004539941074,0.9468497763843357,0.9403628855403325,0.7569031166394503,0.9262451256369402,0.9184647836819416,0.9487962512111052,0.9417866311326529,0.9450368225554259,0.9317872459776438,0.8894496084196284,0.9181347084591933,0.9225433690284148,0.7631559456491482,0.9141539923934744,0.9372573504692852,0.9352316917643191,0.9154369482914847,0.9263398561624091,0.9315452314253831,0.9225948100268363,0.9302800523428744,0.9192443771883526,0.9237116390414902,0.937236419411219,0.9371995441990433,0.9362012625643135,0.9122497694460345,0.9351927954621858,0.9355424491872688,0.9414222903043024,0.8520314354601705,0.9475001724250437,0.8543642740265522,0.9281896800410682
transit_access_mode,0.8745241946408232,0.7827365594162246,0.9031251368043011,0.7738881630517291,0.8591243177337196,0.932621424400188,1.0,0.9635495806664238,0.9159166951632607,0.9497483988218104,0.9365462571995199,0.9306445170694598,0.9651614502412298,0.9711629078007155,0.9710721962242426,0.9701288841064171,0.9697481603177082,0.9701041483400528,0.9708488231939147,0.9687370190786763,0.964882464971904,0.8759949802630111,0.9219096114881747,0.8488185270812633,0.9599416718084434,0.8989957944809118,0.8227756265946735,0.9419289566488336,0.9707112935719118,0.7627080922480178,0.8961392716311865,0.91741809139312,0.7710998487615546,0.7886059595257506,0.8977344536624731,0.8922339966844832,0.9609683855068801,0.9017197952622967,0.9298547380956511,0.8925112189851744,0.879714774389574,0.619859291872028,0.9601527840759381,0.8321559929369746,0.9575998893382265,0.9583814110109187,0.9497241534859594,0.7930004492343502,0.9439331190100366,0.935944003366728,0.9629775192847603,0.9713055637121893,0.9564286096305272,0.9563756715284335,0.9053856962378714,0.9562327729829161,0.9582589943923658,0.7836644771783581,0.9364657956207756,0.9683017645793118,0.9531056615504956,0.942252003227962,0.9537461379887682,0.9563508583256722,0.9559352675086791,0.9627778004924542,0.9506583410150239,0.9477348176135383,0.9711844273753976,0.9617275641978704,0.9657128309425104,0.9302944993933117,0.9617471917432564,0.9615304162939395,0.9544649516672986,0.8827772135245661,0.9607921712422285,0.8661678988346132,0.9417534547990329
transit_egress_mode,0.8745713869622713,0.784514713328394,0.9031894658003702,0.7715407432118222,0.8578406365147923,0.932747237895349,0.9635495806664238,1.0,0.9162097867628778,0.9495036946453661,0.936275918994508,0.9305944854134608,0.9651255997707057,0.9707664928167934,0.9708560815655121,0.9699591435245414,0.9706148207275139,0.9695106757946627,0.968242737395213,0.968737243644227,0.9647917533954311,0.8758597401771414,0.9215766659563168,0.8491282339504291,0.9605200339315967,0.8992975305636296,0.8230638138891573,0.9428025785907154,0.9712670132926287,0.7628217043482498,0.8970743032169765,0.9173821660674122,0.7713088134596434,0.788602908531715,0.8982015964700567,0.8923321550611191,0.9609776288314498,0.9022841594661143,0.9297318413714378,0.8927554714493038,0.8794213059328256,0.6196021591538907,0.9596961184128471,0.8318954581798028,0.9576145945099865,0.9584628044076384,0.9497158832787768,0.792608414569276,0.9437619122990474,0.9358987185618554,0.9629056686333446,0.9712694886761143,0.9563929837255538,0.9563217086846881,0.9053586399608151,0.9562788398953969,0.958359772700428,0.7830883245737281,0.9365636545766769,0.9682218682862643,0.9531681191669744,0.9421540694168771,0.9535671850568816,0.9560801819817275,0.955864464829834,0.9626708479223505,0.9506777259263665,0.9476909215013822,0.9711406809736088,0.9619531828837067,0.9656751090923958,0.9302099620788803,0.9616300227311961,0.9615329975071675,0.9545282326907971,0.8827364251931367,0.9607838261798622,0.865907813208543,0.9417366511009184
travelers_hh,0.8848355684574918,0.7571830698637367,0.8837186852373601,0.7478499242362293,0.8337343532016543,0.8944766786352362,0.9159166951632607,0.9162097867628778,1.0,0.9135958876317348,0.9110103715212473,0.8887652358691999,0.9155602115479763,0.9163273326320693,0.9161646955489973,0.9146498795915653,0.9160454641475678,0.9146690399373572,0.916030911267388,0.9151484925508252,0.91594057138562,0.8784539885319794,0.8903991077055616,0.832829529554272,0.9151948640464668,0.888705607262419,0.8175787099674477,0.9089708491200335,0.9168021751987121,0.7342768158112319,0.8866369326390077,0.9142566859617517,0.7649926363149031,0.7880026267458293,0.8855432364573035,0.8764707649724822,0.9140088197991031,0.8877238582984147,0.9137954179954753,0.8695405094571522,0.8751685428989379,0.5951176997094999,0.9164577071310042,0.8211999069111261,0.9122906584447799,0.9135641903332945,0.9126735530338135,0.7669026618296796,0.9158029023781027,0.9136159539833696,0.9164050916805639,0.9169260450403124,0.9119373729526848,0.9169260450403124,0.8916112789932195,0.9150307040475901,0.915468906292461,0.7859898250639521,0.9085652501794459,0.9156260789471293,0.9111593410802771,0.9156538089208381,0.9132789327158245,0.9157169402339694,0.9129613970269379,0.9141575596301555,0.9127446138339813,0.9137473170869708,0.9156889856947098,0.9129273146874749,0.9114594690671537,0.8866862596237954,0.9080633435921072,0.9113268979557617,0.9169260450403124,0.8357542093392838,0.9147007010988122,0.8478705300614288,0.9044784410876282
travelers_nonhh,0.8852895341715462,0.7727563191197279,0.9041279820240181,0.7634596382914929,0.8546014152482384,0.9348789096088037,0.9497483988218104,0.9495036946453661,0.9135958876317348,1.0,0.9275324153919603,0.939610575457742,0.967209929452345,0.9517467973338752,0.9512537597951879,0.9468673880021905,0.951357457455411,0.9466047960180759,0.9505716277378412,0.971881032295314,0.9675077317661033,0.8898615313326247,0.9197190468137091,0.852342915622824,0.959130729467378,0.9093846898744581,0.8307779761182023,0.9431540469086978,0.9704208244849344,0.7489324824828546,0.8905889043142191,0.9135271834792441,0.7663504680462322,0.7839145296286109,0.8971677895976693,0.9007305091556665,0.9645002027801112,0.8956654176692099,0.9266216420480874,0.8917823566435473,0.8818528733239667,0.6166490189118266,0.960106701676178,0.8270205220906423,0.9583337463274498,0.9610476184281279,0.9534190956915628,0.7930604159800639,0.9448052257797536,0.9379208771416842,0.9641357612844448,0.9722324128520465,0.9594800398911016,0.9609780237570735,0.9144849142541616,0.9586038677105506,0.9601092415899943,0.7829142501348426,0.9315701711075924,0.9616693836517105,0.9532367716952005,0.946784252286542,0.9535026986068057,0.94738357644232,0.9589997974263859,0.9642878128120687,0.9538017192532074,0.9485664793531852,0.9658737050569477,0.9591885099254877,0.9670122007754377,0.9314063311791559,0.9634174819170527,0.964555755651205,0.958058248277195,0.8830090813276275,0.961180519934813,0.8639402059890755,0.9440309082731808
