column_a,column_b,kind_a,kind_b,real_unique_pairs,synthetic_unique_pairs,cross_marginal_overlap,total_variation_distance
home_tpb_taz,tdate_days,categorical,numeric,15489,86500,0.04691603,0.95308397
departure_time_min,reported_travel_time,numeric,numeric,8330,40342,0.06217986,0.93782014
o_tpb_taz,departure_time_min,categorical,numeric,77428,101379,0.06647977,0.93352023
d_tpb_taz,departure_time_min,categorical,numeric,77735,100899,0.06868532,0.93131468
departure_time_min,home_tpb_taz,numeric,categorical,78460,100909,0.06916728,0.93083272
departure_time_min,tdate_days,numeric,numeric,43230,91352,0.09762503,0.90237497
o_tpb_taz,tdate_days,categorical,numeric,56570,90758,0.11549423,0.88450577
d_tpb_taz,tdate_days,categorical,numeric,56536,89660,0.11632552,0.88367448
tdate_days,tdate_dow,numeric,categorical,402,2533,0.13353178,0.86646822
reported_travel_time,tdate_days,numeric,numeric,8830,23356,0.14410807,0.85589193
o_tpb_taz,d_tpb_taz,categorical,categorical,64192,94583,0.15055018,0.84944982
departure_time_min,work_tpb_taz,numeric,categorical,47104,42113,0.16973618,0.83026382
d_tpb_taz,home_tpb_taz,categorical,categorical,41525,88956,0.18424694,0.81575306
departure_time_min,model,numeric,categorical,31942,44321,0.18450082,0.81549918
o_tpb_taz,home_tpb_taz,categorical,categorical,41459,89320,0.18608321,0.81391679
reported_travel_time,home_tpb_taz,numeric,categorical,26026,47194,0.19103134,0.80896866
d_tpb_taz,reported_travel_time,categorical,numeric,29087,47384,0.19382479,0.80617521
o_tpb_taz,reported_travel_time,categorical,numeric,29089,48327,0.19479264,0.80520736
departure_time_min,age,numeric,numeric,19177,46996,0.20203523,0.79796477
departure_time_min,school_tpb_taz,numeric,categorical,12133,11271,0.20815862,0.79184138
departure_time_min,hhtrips,numeric,numeric,9556,24702,0.21401579,0.78598421
reported_travel_time,work_tpb_taz,numeric,categorical,16584,19152,0.21517936,0.78482064
departure_time_min,distance,numeric,numeric,6706,13677,0.21814649,0.78185351
departure_time_min,make,numeric,categorical,9504,19181,0.21817015,0.78182985
departure_time_min,td_telecommute_time,numeric,numeric,3283,8111,0.21860914,0.78139086
d_activity,departure_time_min,categorical,numeric,5499,13084,0.21872410,0.78127590
departure_time_min,year,numeric,numeric,8161,17995,0.21874720,0.78125280
reported_travel_time,model,numeric,categorical,8683,11053,0.21912506,0.78087494
o_activity,departure_time_min,categorical,numeric,5654,12771,0.21961273,0.78038727
departure_time_min,subway_station_exit,numeric,categorical,4532,3731,0.22145631,0.77854369
departure_time_min,person_tripcount,numeric,numeric,5801,10717,0.22152288,0.77847712
departure_time_min,school_type,numeric,categorical,3007,6515,0.22152614,0.77847386
departure_time_min,subway_station_board,numeric,categorical,4477,3701,0.22158250,0.77841750
departure_time_min,travel_mode,numeric,categorical,3346,7153,0.22186739,0.77813261
departure_time_min,school_mode,numeric,categorical,2881,5666,0.22209346,0.77790654
departure_time_min,employment_status,numeric,categorical,3079,6057,0.22240769,0.77759231
departure_time_min,hhsize,numeric,numeric,3561,6617,0.22241498,0.77758502
departure_time_min,travelers_hh,numeric,numeric,2264,4357,0.22245036,0.77754964
departure_time_min,numstudents,numeric,numeric,2877,5418,0.22280504,0.77719496
departure_time_min,j1_telecommute_days,numeric,numeric,2522,4151,0.22283060,0.77716940
