column,kind,real_unique_values,synthetic_unique_values,histogram_overlap,total_variation_distance
o_activity,categorical,18,18,0.90099327,0.09900673
o_tpb_taz,categorical,3350,2992,0.79877292,0.20122708
d_activity,categorical,18,18,0.91730848,0.08269152
d_tpb_taz,categorical,3352,2979,0.78734303,0.21265697
departure_time_min,numeric,1053,1205,0.22443097,0.77556903
travel_mode,categorical,14,12,0.94879633,0.05120367
transit_access_mode,categorical,7,7,0.97154043,0.02845957
transit_egress_mode,categorical,7,7,0.97154967,0.02845033
travelers_hh,numeric,8,6,0.91692605,0.08307395
travelers_nonhh,categorical,16,6,0.97342634,0.02657366
vehicle_occupancy,numeric,10,8,0.96574537,0.03425463
park_loc,categorical,5,5,0.94766950,0.05233050
park_pay,categorical,2,2,0.99269557,0.00730443
subway_used,categorical,2,2,0.97773230,0.02226770
subway_pay,categorical,12,6,0.97746039,0.02253961
subway_station_board,categorical,101,91,0.97248353,0.02751647
subway_access_mode,categorical,6,6,0.97745825,0.02254175
subway_station_exit,categorical,105,91,0.97243821,0.02756179
subway_egress_mode,categorical,6,6,0.97652030,0.02347970
hov_used,categorical,2,2,0.99712519,0.00287481
toll_road_used,categorical,2,2,0.99336127,0.00663873
distance,numeric,50,50,0.89421086,0.10578914
reported_travel_time,numeric,226,200,0.22872763,0.77127237
year,numeric,40,35,0.85493229,0.14506771
bodytype,categorical,9,9,0.96947452,0.03052548
make,categorical,66,53,0.91831037,0.08168963
model,categorical,848,617,0.85098164,0.14901836
fueltype,categorical,8,7,0.95201595,0.04798405
tolltransponder,categorical,3,3,0.98180255,0.01819745
home_tpb_taz,categorical,2649,2585,0.77700712,0.22299288
home_type,categorical,5,4,0.89835399,0.10164601
home_ownership,categorical,3,3,0.92534349,0.07465651
hhsize,numeric,8,8,0.77192676,0.22807324
numstudents,numeric,7,7,0.78998670,0.21001330
numdrivers,numeric,9,7,0.90800399,0.09199601
numworkers,numeric,9,7,0.91691435,0.08308565
numdisabilities,numeric,5,4,0.98700810,0.01299190
numvehicle,numeric,11,9,0.90396078,0.09603922
numvehicle_transponder,numeric,8,7,0.93597577,0.06402423
numbicycle,numeric,6,6,0.89329076,0.10670924
hh_income_detailed,numeric,8,8,0.88682124,0.11317876
tdate_days,numeric,402,568,0.62458581,0.37541419
tdate_dow,categorical,5,5,0.97934172,0.02065828
hhtrips,numeric,48,48,0.83573796,0.16426204
package_delivered,categorical,2,2,0.96245030,0.03754970
food_delivered,categorical,2,2,0.98479429,0.01520571
service_delivered,categorical,2,2,0.97617652,0.02382348
age,numeric,94,85,0.80307849,0.19692151
gender,categorical,2,2,0.95548377,0.04451623
race_ethnicity,categorical,6,6,0.95083944,0.04916056
race_ethnicity_hispanic,categorical,2,2,0.98921197,0.01078803
license,categorical,2,2,0.97937782,0.02062218
disability,categorical,2,2,0.98289209,0.01710791
smartphone,categorical,2,2,0.97820476,0.02179524
employment_status,categorical,8,8,0.93213321,0.06786679
jobs_count,numeric,6,6,0.98279572,0.01720428
j1_workplace_loc,categorical,5,5,0.98445212,0.01554788
work_tpb_taz,categorical,2169,1794,0.79818493,0.20181507
j1_commute_mode,categorical,9,9,0.94610811,0.05389189
j1_telecommute,categorical,3,3,0.97970956,0.02029044
j1_telecommute_days,numeric,6,6,0.97702391,0.02297609
j1_benefits_free_parking,categorical,3,3,0.96718978,0.03281022
j1_benefits_parking,categorical,3,3,0.97549558,0.02450442
j1_benefits_transit,categorical,3,3,0.96341799,0.03658201
j1_benefits_carpool,categorical,3,3,0.98300180,0.01699820
j1_benefits_walking_biking,categorical,3,3,0.98453322,0.01546678
j1_benefits_ev_charging,categorical,3,3,0.97745076,0.02254924
j1_benefits_bicycle_parking,categorical,3,3,0.96922665,0.03077335
j1_benefits_none,categorical,3,3,0.98042313,0.01957687
student_status,categorical,2,2,0.96580917,0.03419083
school_type,categorical,10,10,0.97314980,0.02685020
school_tpb_taz,categorical,1087,899,0.95329936,0.04670064
school_freq,categorical,9,9,0.97063384,0.02936616
school_mode,categorical,11,11,0.97912467,0.02087533
volunteer_status,categorical,2,2,0.97612949,0.02387051
td_telecommute_time,numeric,9,9,0.88314227,0.11685773
td_shop_time,numeric,10,7,0.98427269,0.01572731
person_tripcount,numeric,22,19,0.87622380,0.12377620
walk_bike_loop_trips,numeric,8,6,0.96579250,0.03420750
