matsim_link_id,count_link_id,direction
mdot_aadt_S1998030065_1_fwd,mdot_aadt_S1998030065_1,fwd
mdot_aadt_S1998030065_1_rev,mdot_aadt_S1998030065_1,rev
mdot_aadt_S2008030007_2_fwd,mdot_aadt_S2008030007_2,fwd
mdot_aadt_S2008030007_2_rev,mdot_aadt_S2008030007_2,rev
mdot_aadt_S2011020910_3_fwd,mdot_aadt_S2011020910_3,fwd
mdot_aadt_S2011020910_3_rev,mdot_aadt_S2011020910_3,rev
mdot_aadt_B0810_4_fwd,mdot_aadt_B0810_4,fwd
mdot_aadt_B0810_4_rev,mdot_aadt_B0810_4,rev
mdot_aadt_S2000020143_5_fwd,mdot_aadt_S2000020143_5,fwd
mdot_aadt_S2000020143_5_rev,mdot_aadt_S2000020143_5,rev
mdot_aadt_S2011010315_6_fwd,mdot_aadt_S2011010315_6,fwd
mdot_aadt_S2011010315_6_rev,mdot_aadt_S2011010315_6,rev
mdot_aadt_S2006030028_7_fwd,mdot_aadt_S2006030028_7,fwd
mdot_aadt_S2006030028_7_rev,mdot_aadt_S2006030028_7,rev
mdot_aadt_B0743_8_fwd,mdot_aadt_B0743_8,fwd
mdot_aadt_B0743_8_rev,mdot_aadt_B0743_8,rev
mdot_aadt_V2013000248_9_fwd,mdot_aadt_V2013000248_9,fwd
mdot_aadt_V2013000248_9_rev,mdot_aadt_V2013000248_9,rev
mdot_aadt_S2010020053_10_fwd,mdot_aadt_S2010020053_10,fwd
mdot_aadt_S2010020053_10_rev,mdot_aadt_S2010020053_10,rev
mdot_aadt_B040004_11_fwd,mdot_aadt_B040004_11,fwd
mdot_aadt_B040004_11_rev,mdot_aadt_B040004_11,rev
mdot_aadt_V2013000190_12_fwd,mdot_aadt_V2013000190_12,fwd
mdot_aadt_V2013000190_12_rev,mdot_aadt_V2013000190_12,rev
mdot_aadt_S2011020849_13_fwd,mdot_aadt_S2011020849_13,fwd
mdot_aadt_S2011020849_13_rev,mdot_aadt_S2011020849_13,rev
mdot_aadt_S2009030117_14_fwd,mdot_aadt_S2009030117_14,fwd
mdot_aadt_S2009030117_14_rev,mdot_aadt_S2009030117_14,rev
