AADT,AADT_2010,AADT_2010_ANNO,AADT_2011,AADT_2011_ANNO,AADT_2012,AADT_2012_ANNO,AADT_2013,AADT_2013_ANNO,AADT_2014,AADT_2014_ANNO,AADT_2015,AADT_2015_ANNO,AADT_2016,AADT_2016_ANNO,AADT_2017,AADT_2017_ANNO,AADT_2018,AADT_2018_ANNO,AADT_ANNO,AAWDT,AAWDT_2010,AAWDT_2010_ANNO,AAWDT_2011,AAWDT_2011_ANNO,AAWDT_2012,AAWDT_2012_ANNO,AAWDT_2013,AAWDT_2013_ANNO,AAWDT_2014,AAWDT_2014_ANNO,AAWDT_2015,AAWDT_2015_ANNO,AAWDT_2016,AAWDT_2016_ANNO,AAWDT_2017,AAWDT_2017_ANNO,AAWDT_2018,AAWDT_2018_ANNO,AAWDT_ANNO,AVMT,BEGIN_SECTION,BUS_AADT,BUS_AADT_ANNO,BUS_AADT_PCT_OVERALL,CAR_AADT,CAR_AADT_ANNO,CAR_AADT_PCT_OVERALL,COMBINATION_UNIT_AADT,COMBINATION_UNIT_AADT_ANNO,COUNTED_FACTORED,COUNTY_DESC,COUNTY_ID,CUTRUCK_AADT_PCT_OVERALL,CUTRUCK__AADT_PCT_TRUCK,D_FACTOR,D_FACTOR_ANNO,END_SECTION,F_SYSTEM,F_SYSTEM_DESC,ID_MP,ID_PREFIX,ID_RTE_NO,K_FACTOR,K_FACTOR_ANNO,LIGHT_TRUCK_AADT,LIGHT_TRUCK_AADT_ANNO,LIGHT_TRUCK_AADT_PCT_OVERALL,LINK,LOCATION_ID,LOC_ERROR,MAIN_LINE,MCYCLE_AADT_PCT_OVERALL,MOTORCYCLE_AADT,MOTORCYCLE_AADT_ANNO,MP_SUFFIX,MUNICIPALITY,MUN_SORT,NORTH_EAST_SPLIT,NORTH_EAST_SPLIT_ANNO,NUM_LANES,NUM_LANES_ANNO,OBJECTID,PEAK_HOUR_DIRECTION,ROADNAME,ROAD_SECTION,ROUTEID,ROUTEID_RH,RURAL_URBAN,SINGLE_UNIT_AADT,SINGLE_UNIT_AADT_ANNO,SOUTH_WEST_SPLIT,SOUTH_WEST_SPLIT_ANNO,STATION_DESC,STMP_SEQ,SUTRUCK_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_TRUCK,TRUCK_AADT,TRUCK_AADT_ANNO,TRUCK_AADT_PCT_OVERALL,geometry_x,geometry_y
3694.0,3481.0,"3,481",3502.0,"3,502",3473.0,"3,473",3484.0,"3,484",3475.0,"3,475",3560.0,"3,560",3631.0,"3,631",3722.0,"3,722",3693.0,"3,693","3,694",4064.0,3731.0,"3,731",3782.0,"3,782",3753.0,"3,753",3764.0,"3,764",3725.0,"3,725",3810.0,"3,810",3891.0,"3,891",3952.0,"3,952",3923.0,"3,923","4,064",0.8629,1.34,,N/A,,,N/A,,,N/A,F,Baltimore,3.0,,,63.61,63.61,1.98,5.0,Major Collector,1.88,CO,798.0,11.01,11.01,,N/A,,https://maps.roads.maryland.gov/itms_public/?stationid=S2009030042,S2009030042,NO ERROR,1.0,,,N/A,  ,None,0.0,56.93,56.93,2.0,2,1,East,Timonium Rd,Jenifer Rd To Mays Chapel Rd,03000CO00798  01WW**************,03000CO00798--1-----,Urban,,N/A,43.07,43.07,Timonium Rd - .10 Mile East Of Mays Chapel Rd,0.0,,,,N/A,,-76.65990998240937,39.43601407393614
10361.0,10991.0,"10,991",11042.0,"11,042",10390.0,"10,390",10411.0,"10,411",10382.0,"10,382",9710.0,"9,710",9891.0,"9,891",10132.0,"10,132",10360.0,"10,360","10,361",10981.0,11761.0,"11,761",11932.0,"11,932",11220.0,"11,220",11241.0,"11,241",11112.0,"11,112",10390.0,"10,390",10581.0,"10,581",10842.0,"10,842",11090.0,"11,090","10,981",3.6305,12.46,31.0,31,0.00299199,9258.0,"9,258",0.89354309,8.0,8,F,Anne Arundel,2.0,0.00077213,0.05194805,68.52,68.52,13.42,4.0,Minor Arterial,12.88,MD,450.0,7.36,7.36,881.0,881,0.0850304,https://maps.roads.maryland.gov/itms_public/?stationid=B0740,B0740,NO ERROR,1.0,0.00357108,37.0,37,  ,None,0.0,48.39,48.39,2.0,2,2,East,King George St,Main St To Md 435,02000MD00450  01EE**************,02000MD00450--1-----,Urban,146.0,146,51.61,51.61,Md450-.10 Mi W Of College Ave,2.0,0.0140913,0.94805195,154.0,154,0.01486343,-76.4909767932078,38.98292291224137
10013.0,9740.0,"9,740",9781.0,"9,781",9702.0,"9,702",9723.0,"9,723",9694.0,"9,694",9955.0,"9,955",9860.0,"9,860",10101.0,"10,101",10012.0,"10,012","10,013",10613.0,10420.0,"10,420",10561.0,"10,561",10482.0,"10,482",10503.0,"10,503",10374.0,"10,374",10655.0,"10,655",10550.0,"10,550",10811.0,"10,811",10712.0,"10,712","10,613",8.2597,22.95,112.0,112,0.01118546,6915.0,"6,915",0.69060222,115.0,115,F,Charles,8.0,0.01148507,0.16618497,51.54,51.54,25.21,5.0,Major Collector,24.75,MD,6.0,8.99,8.99,2270.0,"2,270",0.22670528,https://maps.roads.maryland.gov/itms_public/?stationid=B1761,B1761,NO ERROR,1.0,0.00239688,24.0,24,  ,None,0.0,50.08,50.08,2.0,2,3,West,Port Tobacco Rd,Chapel Point Rd To Us 301,08000MD00006  01EE**************,08000MD00006--1-----,Rural,577.0,577,49.92,49.92,Md6-.60 Mi W Of Us301,1.0,0.05762509,0.83381503,692.0,692,0.06911016,-76.99006366383655,38.525785018021246
6331.0,,N/A,,N/A,5240.0,"5,240",5291.0,"5,291",5292.0,"5,292",5423.0,"5,423",4880.0,"4,880",5001.0,"5,001",6290.0,"6,290","6,331",6581.0,,N/A,,N/A,5550.0,"5,550",5611.0,"5,611",5562.0,"5,562",5693.0,"5,693",5120.0,"5,120",5201.0,"5,201",6540.0,"6,540","6,581",0.1155,0.0,,N/A,,,N/A,,,N/A,F,Baltimore,3.0,,,100.0,100,0.05,1.0,Interstate,0.02,RP,695.0,10.46,10.46,,N/A,,https://maps.roads.maryland.gov/itms_public/?stationid=S1999030111,S1999030111,NO ERROR,2.0,,,N/A,  ,None,0.0,100.0,100,1.0,1,4,North,Ramp 3 Fr Md 122 Eb To Ramp 2 (to Is695),Exit 17 Ramp 03 Security Blvd To Ramp 2 Fr Md 122 Wb To Is 695 Nb,03000RP00695  02NNIS17        03,03000RP00695--101703,Urban,,N/A,0.0,0,Exit 17 Ramp 3 Fr Md 122 Eb To Ramp 2 (to Is 695 Nb),0.0,,,,N/A,,-76.74270044196254,39.312472443722704
6011.0,,N/A,,N/A,6600.0,"6,600",6611.0,"6,611",6592.0,"6,592",6763.0,"6,763",6894.0,"6,894",7065.0,"7,065",6010.0,"6,010","6,011",6611.0,,N/A,,N/A,7130.0,"7,130",7141.0,"7,141",7052.0,"7,052",7243.0,"7,243",7384.0,"7,384",7495.0,"7,495",6370.0,"6,370","6,611",1.0092,0.0,,N/A,,,N/A,,,N/A,F,Baltimore,3.0,,,54.82,54.82,0.46,5.0,Major Collector,0.42,CO,3534.0,9.04,9.04,,N/A,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012030129,S2012030129,NO ERROR,1.0,,,N/A,  ,None,0.0,49.07,49.07,2.0,2,5,South,Waltham Woods Rd,Joppa Rd To Md 41,03000CO03534  01NN**************,03000CO03534--1-----,Urban,,N/A,50.93,50.93,Waltham Woods Rd - Between Md 41 & Cider Mill Rd,0.0,,,,N/A,,-76.54017387865056,39.403698465072544
52410.0,43070.0,"43,070",43241.0,"43,241",42902.0,"42,902",44670.0,"44,670",44541.0,"44,541",45702.0,"45,702",49720.0,"49,720",50911.0,"50,911",50452.0,"50,452","52,410",55560.0,46090.0,"46,090",46701.0,"46,701",46332.0,"46,332",48240.0,"48,240",47661.0,"47,661",48902.0,"48,902",53200.0,"53,200",54481.0,"54,481",53982.0,"53,982","55,560",32.7117,2.83,457.0,457,0.00871971,42093.0,"42,093",0.80314825,715.0,715,C,Anne Arundel,2.0,0.01364243,0.24749048,68.24,68.24,4.54,2.0,Principal Arterial Other Freeways and Expressways,4.04,MD,32.0,8.59,8.59,6892.0,"6,892",0.13150162,https://maps.roads.maryland.gov/itms_public/?stationid=B0845,B0845,NO ERROR,1.0,0.00150735,79.0,79,  ,None,0.0,47.8,47.8,4.0,4,6,South,No Name,Sappington Station Rd To Md 170,02000MD00032  01NN**************,02000MD00032--1-----,Urban,2174.0,"2,174",52.2,52.2,Md32-.50 Mi S Of Md170,1.0,0.04148063,0.75250952,2889.0,"2,889",0.05512307,-76.68857725780973,39.09506922766883
4502.0,,N/A,4520.0,"4,520",4481.0,"4,481",4492.0,"4,492",4483.0,"4,483",4604.0,"4,604",4695.0,"4,695",4540.0,"4,540",4501.0,"4,501","4,502",4952.0,,N/A,4880.0,"4,880",4841.0,"4,841",4852.0,"4,852",4803.0,"4,803",4934.0,"4,934",5035.0,"5,035",4810.0,"4,810",4771.0,"4,771","4,952",3.2109,0.0,,N/A,,,N/A,,,N/A,F,Calvert,4.0,,,60.0,60,1.954,5.0,Major Collector,1.87,CO,1431.0,9.69,9.69,,N/A,,https://maps.roads.maryland.gov/itms_public/?stationid=S2011040633,S2011040633,NO ERROR,1.0,,,N/A,  ,None,0.0,50.63,50.63,2.0,2,7,North,Thunderbird Dr,Catalina Dr To Gunsmoke Tr,04000CO01431  01NN**************,04000CO01431--1-----,Urban,,N/A,49.37,49.37,Thunderbird Dr Between Gunsmoke Tr & Lariat Ln,0.0,,,,N/A,,-76.43398437925775,38.37222536427069
2720.0,,N/A,,N/A,,N/A,2810.0,"2,810",2801.0,"2,801",2872.0,"2,872",2933.0,"2,933",3004.0,"3,004",2985.0,"2,985","2,720",2990.0,,N/A,,N/A,,N/A,3040.0,"3,040",3001.0,"3,001",3072.0,"3,072",3143.0,"3,143",3184.0,"3,184",3165.0,"3,165","2,990",3.316,0.0,,N/A,,,N/A,,,N/A,C,Carroll,6.0,,,59.0,59,3.34,5.0,Major Collector,0.27,CO,448.0,8.62,8.62,,N/A,,https://maps.roads.maryland.gov/itms_public/?stationid=S2013060375,S2013060375,NO ERROR,1.0,,,N/A,  ,None,0.0,52.11,52.11,2.0,2,8,East,Coon Club Rd,Leisters Church Rd To Houcksville Rd,06000CO00448  01EE**************,06000CO00448--1-----,Urban,,N/A,47.89,47.89,Coon Club Rd - .10 Mile East Of Gorsuch Rd N,0.0,,,,N/A,,-76.92625054405512,39.58798809107103
1983.0,1830.0,"1,830",1831.0,"1,831",1842.0,"1,842",1863.0,"1,863",1864.0,"1,864",1915.0,"1,915",1920.0,"1,920",1971.0,"1,971",1962.0,"1,962","1,983",2063.0,1940.0,"1,940",1941.0,"1,941",1952.0,"1,952",1983.0,"1,983",1964.0,"1,964",2015.0,"2,015",2020.0,"2,020",2051.0,"2,051",2042.0,"2,042","2,063",0.2171,0.0,,N/A,,,N/A,,,N/A,F,Baltimore,3.0,,,100.0,100,0.3,1.0,Interstate,0.25,RP,83.0,7.85,7.85,,N/A,,https://maps.roads.maryland.gov/itms_public/?stationid=S2010030147,S2010030147,NO ERROR,2.0,,,N/A,  ,None,0.0,0.0,0,1.0,1,9,South,Ramp 5 Fr Is 83 Sb To Md 439,Exit 36 Ramp 05 Harrisburg Expwy To Old York Rd,03000RP00083  02SSIS36        05,03000RP00083--103605,Rural,,N/A,100.0,100,Exit 36 Ramp 5 Fr Is 83 Sb To Md 439,0.0,,,,N/A,,-76.64505780703362,39.70451576694964
492.0,1045.0,"1,045",950.0,950,941.0,941,942.0,942,500.0,500,511.0,511,522.0,522,490.0,490,491.0,491,492,542.0,1105.0,"1,105",1030.0,"1,030",1021.0,"1,021",1022.0,"1,022",540.0,540,551.0,551,562.0,562,520.0,520,521.0,521,542,0.079,0.0,2.0,2,0.00406504,409.0,409,0.83130081,0.0,0,F,Allegany,1.0,0.0,0.0,100.0,100,0.44,6.0,Minor Collector,0.07,MU,3210.0,9.41,9.41,62.0,62,0.12601626,https://maps.roads.maryland.gov/itms_public/?stationid=B010029,B010029,NO ERROR,1.0,0.03252033,16.0,16,  ,Cumberland,41.0,100.0,100,2.0,2,10,East,E Second St,Virginia Ave To Memorial Ave,01041MU03210  01EE**************,01041MU03210--1-----,Urban,3.0,3,0.0,0,E Second St-.between Arch St & Grand Ave (one Way),0.0,0.00609756,1.0,3.0,3,0.00609756,-78.76149359039094,39.63621920544658
