link_id,observed_volume,count_id,road_name,route_id,county
mdot_aadt_S1998030065_1,4992.00000000,S1998030065,Ramp 4 Fr Md 146 Nb To Ramp 5 (to Is695),03000RP00695  02NNIS27        04,Baltimore
mdot_aadt_S2008030007_2,700.00000000,S2008030007,Ramp 4 Fr Is 83 Nb To Middletown Rd Eb,03000RP00083  02NNIS31        04,Baltimore
mdot_aadt_S2011020910_3,10392.00000000,S2011020910,Elm Rd,02000SR00009  01NN**************,Anne Arundel
mdot_aadt_B0810_4,95151.00000000,B0810,John Hanson Hwy,02000IS00595  01EE**************,Anne Arundel
mdot_aadt_S2000020143_5,1374.00000000,S2000020143,Ramp 2 Fr Ramp 7 (fr Md100 Wb) To Md 713,02000RP00100  02NNMD10        02,Anne Arundel
mdot_aadt_S2011010315_6,1212.00000000,S2011010315,Winifred Rd,01041MU03920  01SS**************,Allegany
mdot_aadt_S2006030028_7,1042.00000000,S2006030028,Ramp 3 Fr Ramp 6 (fr Is695) To Leeds Ave,03000RP00695  02SSIS12A       03,Baltimore
mdot_aadt_B0743_8,10040.00000000,B0743,Muddy Creek Rd,02000MD00468  01NN**************,Anne Arundel
mdot_aadt_V2013000248_9,17401.00000000,V2013000248,Ramp 2 Fr Is 695 Wb To Md 140 Nb,03000RP00695  02SSIS20        02,Baltimore
mdot_aadt_S2010020053_10,1603.00000000,S2010020053,Ramp 7 Fr Ramp 2 (fr Md 32 Wb) To Md 170,02000RP00032  02WWMD5         07,Anne Arundel
mdot_aadt_B040004_11,722.00000000,B040004,Dares Wharf Rd,04000MD00768  01EE**************,Calvert
mdot_aadt_V2013000190_12,4905.00000000,V2013000190,Ramp 2 Fr Padonia Rd Wb To Is 83 Nb,03000RP00083  02EEIS17        02,Baltimore
mdot_aadt_S2011020849_13,10512.00000000,S2011020849,Green Holly Dr,02000CO02473  01NN**************,Anne Arundel
mdot_aadt_S2009030117_14,1174.00000000,S2009030117,Ramp 7 Fr Is 895 Wb To Us 1 Sb,03000RP00895  02WWIS1         07,Baltimore
mdot_aadt_V2013000081_15,26120.00000000,V2013000081,Ramp 1 Fr Is 97 Nb To Md 100 Wb,02000RP00097  02NNIS14        01,Anne Arundel
mdot_aadt_S2010010018_16,2140.00000000,S2010010018,Ramp 8 Fr Harrison St To Is 68 Wb,01000RP00068  02WWIS43B       08,Allegany
mdot_aadt_S2012030032_17,4971.00000000,S2012030032,Horst Ave,03000CO04411  01NN**************,Baltimore
mdot_aadt_V2013000277_18,14803.00000000,V2013000277,Ramp 1 Fr Md 157 Nb To Md 695 Wb,03000RP00695  02NNMD39        01,Baltimore
mdot_aadt_S2017030288_19,962.00000000,S2017030288,Cinder Rd,03000CO00917  01EE**************,Baltimore
mdot_aadt_B030135_20,26990.00000000,B030135,White Marsh Blvd,03000MD00043  01EE**************,Baltimore
mdot_aadt_S2010010032_21,1950.00000000,S2010010032,Ramp 7 Fr Ramp 2 (fr Is 68) To Us 40al,01000RP00068  02SSIS44        07,Allegany
mdot_aadt_S1999030125_22,3411.00000000,S1999030125,Ramp 7 Fr Ramp 2 To Ramp 6 (to Is695 Sb),03000RP00070  02NNIS91        07,Baltimore
mdot_aadt_S2010020171_23,7723.00000000,S2010020171,Ramp 8 Fr Md 2 Sb To Md 695 Wb,02000RP00695  02SSMD3A        08,Anne Arundel
mdot_aadt_S2011020262_24,14335.00000000,S2011020262,National Business Pkwy,02000CO00957  01SS**************,Anne Arundel
mdot_aadt_S2006030030_25,3991.00000000,S2006030030,Ramp 8 Fr Leeds Ave To Is 695 Wb,03000RP00695  02WWIS12A       08,Baltimore
mdot_aadt_S2012021527_26,290.00000000,S2012021527,Childs Point Rd,02003MU03519  01SS**************,Anne Arundel
mdot_aadt_B1457_27,2901.00000000,B1457,Main St,05000MD00480  01EE**************,Caroline
mdot_aadt_S2014030325_28,855.00000000,S2014030325,Dover Rd,03000CO00174  01WW**************,Baltimore
mdot_aadt_B030081_29,26940.00000000,B030081,Warren Rd,03000CO08889  01EE**************,Baltimore
mdot_aadt_S2011020753_30,4572.00000000,S2011020753,Franklin Manor Rd                       ,02000CO03415  01EE**************,Anne Arundel
