scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,1,3111,3100,1,2,555,4,1,136.46011315,136.46011315,9.71879243
real,2,3100,3096,2,5,686,4,1,136.46011315,136.46011315,9.71879243
real,3,3096,3100,5,5,740,4,1,136.46011315,136.46011315,9.71879243
real,4,3100,3100,5,2,752,4,1,136.46011315,136.46011315,9.71879243
real,5,3100,3111,2,1,1014,4,1,136.46011315,136.46011315,9.71879243
real,6,3113,1102,1,2,345,4,1,131.74586962,131.74586962,9.38304045
real,7,1102,3113,2,1,810,4,1,131.74586962,131.74586962,9.38304045
real,8,3113,3111,1,5,1065,4,1,131.74586962,131.74586962,9.38304045
real,9,3111,3085,5,13,1100,4,1,131.74586962,131.74586962,9.38304045
real,10,3085,3113,13,1,1195,4,1,131.74586962,131.74586962,9.38304045
real,11,3114,3097,13,13,585,4,1,91.68804314,91.68804314,6.53009176
real,12,3097,3090,13,5,685,4,1,91.68804314,91.68804314,6.53009176
real,13,3090,3102,5,10,787,4,1,91.68804314,91.68804314,6.53009176
real,14,3102,3111,10,5,815,4,1,91.68804314,91.68804314,6.53009176
real,15,3111,3114,5,1,871,4,1,91.68804314,91.68804314,6.53009176
real,16,3114,3091,1,2,335,4,1,88.69822541,88.69822541,6.31715468
real,17,3091,3091,2,9,885,4,1,88.69822541,88.69822541,6.31715468
real,18,3091,3114,9,1,950,4,1,88.69822541,88.69822541,6.31715468
real,19,3114,3111,1,5,805,4,1,88.69822541,88.69822541,6.31715468
real,20,3111,3114,5,1,840,4,1,88.69822541,88.69822541,6.31715468
real,23,3108,3107,1,16,605,4,1,46.43577470,46.43577470,3.30719098
real,24,3107,3107,16,10,630,4,2,46.43577470,23.21788735,1.65359549
real,25,3107,3107,10,10,633,4,2,46.43577470,23.21788735,1.65359549
real,26,3107,3091,10,9,635,4,2,46.43577470,23.21788735,1.65359549
real,27,3091,3096,9,7,734,4,2,46.43577470,23.21788735,1.65359549
real,28,3096,3111,7,5,775,4,2,46.43577470,23.21788735,1.65359549
real,29,3111,3111,5,5,825,4,2,46.43577470,23.21788735,1.65359549
real,30,3111,3107,5,10,850,4,2,46.43577470,23.21788735,1.65359549
real,31,3107,3107,10,16,882,4,2,46.43577470,23.21788735,1.65359549
real,32,3107,3108,16,1,897,4,1,46.43577470,46.43577470,3.30719098
real,33,3108,3062,1,2,420,4,1,58.04967412,58.04967412,4.13434168
real,34,3062,3108,2,1,1074,4,1,58.04967412,58.04967412,4.13434168
real,35,3108,3108,1,10,1125,4,1,58.04967412,58.04967412,4.13434168
real,36,3108,3097,10,1,1129,4,1,58.04967412,58.04967412,4.13434168
real,37,3097,3108,1,1,1231,4,1,58.04967412,58.04967412,4.13434168
real,38,3108,3107,1,2,390,4,1,58.04967412,58.04967412,4.13434168
