scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
synthetic,1,785,789,1,6,1103,4,1,1.00000000,1.00000000,12.00000000
synthetic,2,3093,3063,2,5,770,4,1,1.00000000,1.00000000,12.00000000
synthetic,3,2935,679,10,5,892,4,1,1.00000000,1.00000000,12.00000000
synthetic,5,530,686,1,2,440,4,1,1.00000000,1.00000000,12.00000000
synthetic,7,669,2329,9,8,908,4,1,1.00000000,1.00000000,12.00000000
synthetic,8,2062,751,8,1,1288,4,1,1.00000000,1.00000000,12.00000000
synthetic,11,576,288,16,1,744,4,2,1.00000000,0.50000000,6.00000000
synthetic,12,428,2138,1,10,771,4,1,1.00000000,1.00000000,12.00000000
synthetic,13,900,300,12,18,837,4,2,1.00000000,0.50000000,6.00000000
synthetic,14,3580,3580,1,2,961,4,1,1.00000000,1.00000000,12.00000000
synthetic,15,2564,1787,1,9,635,4,1,1.00000000,1.00000000,12.00000000
synthetic,16,2527,3038,2,1,1130,4,1,1.00000000,1.00000000,12.00000000
synthetic,18,1939,2062,1,10,809,4,1,1.00000000,1.00000000,12.00000000
synthetic,19,3575,3077,18,2,534,4,1,1.00000000,1.00000000,12.00000000
synthetic,21,2369,1730,1,16,522,4,4,1.00000000,0.25000000,3.00000000
synthetic,23,2807,2399,2,1,1033,4,1,1.00000000,1.00000000,12.00000000
synthetic,24,2754,3566,5,5,657,4,2,1.00000000,0.50000000,6.00000000
synthetic,25,3078,372,1,9,481,5,2,1.00000000,0.50000000,6.00000000
synthetic,26,3580,1800,18,16,685,4,4,1.00000000,0.25000000,3.00000000
synthetic,27,2396,2356,1,5,565,4,1,1.00000000,1.00000000,12.00000000
synthetic,29,3093,3027,2,6,464,4,1,1.00000000,1.00000000,12.00000000
synthetic,30,3329,2637,1,2,415,4,1,1.00000000,1.00000000,12.00000000
synthetic,31,1096,687,1,16,791,4,1,1.00000000,1.00000000,12.00000000
synthetic,34,2070,39,1,2,452,4,1,1.00000000,1.00000000,12.00000000
synthetic,35,637,2388,2,16,1091,4,1,1.00000000,1.00000000,12.00000000
synthetic,36,2270,3254,1,16,798,4,1,1.00000000,1.00000000,12.00000000
synthetic,39,702,2068,2,1,1061,4,1,1.00000000,1.00000000,12.00000000
synthetic,40,1973,514,2,8,1012,4,1,1.00000000,1.00000000,12.00000000
synthetic,42,3026,3244,1,2,616,4,1,1.00000000,1.00000000,12.00000000
synthetic,45,1222,406,2,2,1019,4,1,1.00000000,1.00000000,12.00000000
synthetic,46,1478,1453,7,1,897,4,2,1.00000000,0.50000000,6.00000000
synthetic,47,624,854,10,1,938,4,1,1.00000000,1.00000000,12.00000000
synthetic,48,1653,741,1,14,1114,4,2,1.00000000,0.50000000,6.00000000
synthetic,49,3269,3272,5,1,918,4,1,1.00000000,1.00000000,12.00000000
synthetic,50,3236,2089,2,1,928,4,1,1.00000000,1.00000000,12.00000000
synthetic,51,691,574,5,1,1131,4,2,1.00000000,0.50000000,6.00000000
synthetic,52,1800,1864,6,1,1153,4,4,1.00000000,0.25000000,3.00000000
synthetic,53,2979,499,7,13,1159,5,2,1.00000000,0.50000000,6.00000000
synthetic,56,3412,2332,1,10,571,4,3,1.00000000,0.33333333,3.99999996
synthetic,59,2013,2644,2,1,957,4,1,1.00000000,1.00000000,12.00000000
synthetic,60,467,3154,2,1,588,4,1,1.00000000,1.00000000,12.00000000
synthetic,61,602,3438,1,7,676,4,1,1.00000000,1.00000000,12.00000000
synthetic,62,2753,2802,12,7,1033,4,5,1.00000000,0.20000000,2.40000000
synthetic,64,3523,3499,1,2,605,4,1,1.00000000,1.00000000,12.00000000
synthetic,67,2206,2754,1,9,921,4,2,1.00000000,0.50000000,6.00000000
synthetic,68,3436,2188,12,1,824,4,1,1.00000000,1.00000000,12.00000000
synthetic,69,546,33,1,2,664,4,1,1.00000000,1.00000000,12.00000000
synthetic,70,3101,3101,1,16,873,4,1,1.00000000,1.00000000,12.00000000
synthetic,72,2940,719,1,18,1161,4,3,1.00000000,0.33333333,3.99999996
synthetic,74,3109,3021,1,2,401,4,1,1.00000000,1.00000000,12.00000000
synthetic,75,703,805,11,1,1258,4,1,1.00000000,1.00000000,12.00000000
synthetic,78,486,816,1,9,1199,4,1,1.00000000,1.00000000,12.00000000
synthetic,80,590,2032,1,9,534,4,2,1.00000000,0.50000000,6.00000000
synthetic,81,1183,1397,2,5,973,4,1,1.00000000,1.00000000,12.00000000
synthetic,82,743,1672,5,5,786,4,1,1.00000000,1.00000000,12.00000000
synthetic,83,1740,2750,1,3,976,4,3,1.00000000,0.33333333,3.99999996
synthetic,85,637,2327,11,16,892,4,1,1.00000000,1.00000000,12.00000000
synthetic,86,3007,2986,16,9,855,4,2,1.00000000,0.50000000,6.00000000
synthetic,87,2652,2750,13,1,1061,4,1,1.00000000,1.00000000,12.00000000
synthetic,88,1734,1539,5,1,957,4,1,1.00000000,1.00000000,12.00000000
synthetic,89,2843,1683,1,2,487,4,1,1.00000000,1.00000000,12.00000000
synthetic,90,3192,1734,1,5,782,4,1,1.00000000,1.00000000,12.00000000
synthetic,91,1525,2406,1,5,852,4,2,1.00000000,0.50000000,6.00000000
synthetic,92,2928,721,1,2,1053,4,1,1.00000000,1.00000000,12.00000000
synthetic,93,2628,2984,1,2,541,4,1,1.00000000,1.00000000,12.00000000
synthetic,94,1843,3287,2,6,625,4,1,1.00000000,1.00000000,12.00000000
synthetic,95,1692,1788,15,8,905,4,1,1.00000000,1.00000000,12.00000000
synthetic,96,1656,558,7,1,748,4,2,1.00000000,0.50000000,6.00000000
synthetic,97,2329,1699,5,1,907,4,6,1.00000000,0.16666667,2.00000004
synthetic,98,443,841,1,16,1105,4,1,1.00000000,1.00000000,12.00000000
synthetic,99,2790,3475,1,9,449,4,2,1.00000000,0.50000000,6.00000000
synthetic,100,3631,1682,1,9,912,4,1,1.00000000,1.00000000,12.00000000
synthetic,101,828,1502,1,16,556,4,1,1.00000000,1.00000000,12.00000000
synthetic,102,300,290,6,1,365,4,1,1.00000000,1.00000000,12.00000000
synthetic,103,1550,776,18,1,1015,4,1,1.00000000,1.00000000,12.00000000
synthetic,104,2631,503,3,1,1198,4,1,1.00000000,1.00000000,12.00000000
synthetic,107,1706,1706,1,7,559,4,2,1.00000000,0.50000000,6.00000000
synthetic,108,1823,558,4,7,674,4,1,1.00000000,1.00000000,12.00000000
synthetic,109,2069,1482,9,6,560,4,1,1.00000000,1.00000000,12.00000000
synthetic,110,1458,2128,5,1,852,4,1,1.00000000,1.00000000,12.00000000
synthetic,112,451,2923,16,16,1188,4,2,1.00000000,0.50000000,6.00000000
synthetic,114,914,903,1,14,815,4,3,1.00000000,0.33333333,3.99999996
synthetic,115,3176,1540,1,1,914,4,1,1.00000000,1.00000000,12.00000000
synthetic,118,18,1490,2,1,1068,4,1,1.00000000,1.00000000,12.00000000
synthetic,120,3062,2919,5,1,856,4,2,1.00000000,0.50000000,6.00000000
synthetic,122,669,2271,2,18,1196,4,1,1.00000000,1.00000000,12.00000000
synthetic,124,3089,1768,2,1,1291,4,1,1.00000000,1.00000000,12.00000000
synthetic,125,2976,2935,13,6,1346,4,2,1.00000000,0.50000000,6.00000000
synthetic,126,1086,1944,2,8,872,4,1,1.00000000,1.00000000,12.00000000
synthetic,127,2045,624,5,5,853,4,1,1.00000000,1.00000000,12.00000000
synthetic,128,2091,1592,1,9,657,4,2,1.00000000,0.50000000,6.00000000
synthetic,129,3438,3412,2,1,1059,4,1,1.00000000,1.00000000,12.00000000
synthetic,131,2992,514,1,2,415,4,1,1.00000000,1.00000000,12.00000000
synthetic,132,2919,3091,1,2,545,4,1,1.00000000,1.00000000,12.00000000
synthetic,133,1457,144,14,1,938,4,1,1.00000000,1.00000000,12.00000000
synthetic,135,3311,540,16,1,969,4,2,1.00000000,0.50000000,6.00000000
synthetic,136,2593,2603,1,6,1007,4,1,1.00000000,1.00000000,12.00000000
synthetic,138,3243,3021,1,2,529,4,1,1.00000000,1.00000000,12.00000000
synthetic,139,2936,2034,2,2,895,4,1,1.00000000,1.00000000,12.00000000
synthetic,140,3271,3068,6,1,782,4,1,1.00000000,1.00000000,12.00000000
synthetic,142,618,1843,18,8,601,4,1,1.00000000,1.00000000,12.00000000
synthetic,144,711,2668,13,13,1151,4,2,1.00000000,0.50000000,6.00000000
synthetic,145,587,3341,18,5,630,4,2,1.00000000,0.50000000,6.00000000
synthetic,147,3009,2984,2,10,1008,4,1,1.00000000,1.00000000,12.00000000
