taz,x,y,lon,lat,out_sr,state,stfips,cntyfips,fipsstco,region
1,-77.04839616,38.89375491,-77.04839616,38.89375491,4326,District of Columbia,11,1,11001,TPB Modeled Region
2,-77.04748375,38.88933448,-77.04748375,38.88933448,4326,District of Columbia,11,1,11001,TPB Modeled Region
3,-77.05061307,38.88402855,-77.05061307,38.88402855,4326,District of Columbia,11,1,11001,TPB Modeled Region
4,-77.05470591,38.87995310,-77.05470591,38.87995310,4326,District of Columbia,11,1,11001,TPB Modeled Region
5,-77.03242755,38.88083094,-77.03242755,38.88083094,4326,District of Columbia,11,1,11001,TPB Modeled Region
6,-77.03834260,38.88340843,-77.03834260,38.88340843,4326,District of Columbia,11,1,11001,TPB Modeled Region
7,-77.04473096,38.89108251,-77.04473096,38.89108251,4326,District of Columbia,11,1,11001,TPB Modeled Region
8,-77.03654583,38.89373660,-77.03654583,38.89373660,4326,District of Columbia,11,1,11001,TPB Modeled Region
9,-77.03621950,38.88948738,-77.03621950,38.88948738,4326,District of Columbia,11,1,11001,TPB Modeled Region
10,-77.03407420,38.88578476,-77.03407420,38.88578476,4326,District of Columbia,11,1,11001,TPB Modeled Region
11,-77.02986755,38.88529322,-77.02986755,38.88529322,4326,District of Columbia,11,1,11001,TPB Modeled Region
12,-77.02508209,38.88616923,-77.02508209,38.88616923,4326,District of Columbia,11,1,11001,TPB Modeled Region
13,-77.03002021,38.89036632,-77.03002021,38.89036632,4326,District of Columbia,11,1,11001,TPB Modeled Region
14,-77.02621846,38.89329716,-77.02621846,38.89329716,4326,District of Columbia,11,1,11001,TPB Modeled Region
15,-77.02498716,38.88983104,-77.02498716,38.88983104,4326,District of Columbia,11,1,11001,TPB Modeled Region
16,-77.02194061,38.89270610,-77.02194061,38.89270610,4326,District of Columbia,11,1,11001,TPB Modeled Region
17,-77.01661430,38.89346143,-77.01661430,38.89346143,4326,District of Columbia,11,1,11001,TPB Modeled Region
18,-77.01730813,38.89598418,-77.01730813,38.89598418,4326,District of Columbia,11,1,11001,TPB Modeled Region
19,-77.02180748,38.89471537,-77.02180748,38.89471537,4326,District of Columbia,11,1,11001,TPB Modeled Region
20,-77.02193691,38.89797916,-77.02193691,38.89797916,4326,District of Columbia,11,1,11001,TPB Modeled Region
21,-77.02629946,38.89533486,-77.02629946,38.89533486,4326,District of Columbia,11,1,11001,TPB Modeled Region
22,-77.03012987,38.89381962,-77.03012987,38.89381962,4326,District of Columbia,11,1,11001,TPB Modeled Region
23,-77.02833041,38.89797844,-77.02833041,38.89797844,4326,District of Columbia,11,1,11001,TPB Modeled Region
24,-77.02550301,38.89798085,-77.02550301,38.89798085,4326,District of Columbia,11,1,11001,TPB Modeled Region
25,-77.02461057,38.90154351,-77.02461057,38.90154351,4326,District of Columbia,11,1,11001,TPB Modeled Region
26,-77.02941017,38.90125039,-77.02941017,38.90125039,4326,District of Columbia,11,1,11001,TPB Modeled Region
27,-77.02978628,38.90370348,-77.02978628,38.90370348,4326,District of Columbia,11,1,11001,TPB Modeled Region
28,-77.03544550,38.90142371,-77.03544550,38.90142371,4326,District of Columbia,11,1,11001,TPB Modeled Region
29,-77.03227091,38.89930856,-77.03227091,38.89930856,4326,District of Columbia,11,1,11001,TPB Modeled Region
30,-77.03147048,38.89711020,-77.03147048,38.89711020,4326,District of Columbia,11,1,11001,TPB Modeled Region
31,-77.03281239,38.89420013,-77.03281239,38.89420013,4326,District of Columbia,11,1,11001,TPB Modeled Region
32,-77.03656428,38.89747801,-77.03656428,38.89747801,4326,District of Columbia,11,1,11001,TPB Modeled Region
33,-77.04147146,38.89473284,-77.04147146,38.89473284,4326,District of Columbia,11,1,11001,TPB Modeled Region
34,-77.04515084,38.89394591,-77.04515084,38.89394591,4326,District of Columbia,11,1,11001,TPB Modeled Region
35,-77.04499916,38.89765225,-77.04499916,38.89765225,4326,District of Columbia,11,1,11001,TPB Modeled Region
36,-77.04102767,38.89890446,-77.04102767,38.89890446,4326,District of Columbia,11,1,11001,TPB Modeled Region
37,-77.04178861,38.90133856,-77.04178861,38.90133856,4326,District of Columbia,11,1,11001,TPB Modeled Region
38,-77.04253384,38.90399932,-77.04253384,38.90399932,4326,District of Columbia,11,1,11001,TPB Modeled Region
39,-77.03841695,38.90422207,-77.03841695,38.90422207,4326,District of Columbia,11,1,11001,TPB Modeled Region
40,-77.03444976,38.90454349,-77.03444976,38.90454349,4326,District of Columbia,11,1,11001,TPB Modeled Region
41,-77.03397526,38.90795655,-77.03397526,38.90795655,4326,District of Columbia,11,1,11001,TPB Modeled Region
42,-77.03919824,38.90965147,-77.03919824,38.90965147,4326,District of Columbia,11,1,11001,TPB Modeled Region
43,-77.03977566,38.90716149,-77.03977566,38.90716149,4326,District of Columbia,11,1,11001,TPB Modeled Region
44,-77.04395561,38.90692878,-77.04395561,38.90692878,4326,District of Columbia,11,1,11001,TPB Modeled Region
45,-77.04525448,38.90899665,-77.04525448,38.90899665,4326,District of Columbia,11,1,11001,TPB Modeled Region
46,-77.04616281,38.91188517,-77.04616281,38.91188517,4326,District of Columbia,11,1,11001,TPB Modeled Region
47,-77.04339415,38.91343881,-77.04339415,38.91343881,4326,District of Columbia,11,1,11001,TPB Modeled Region
48,-77.04977873,38.91426916,-77.04977873,38.91426916,4326,District of Columbia,11,1,11001,TPB Modeled Region
49,-77.04817945,38.90796963,-77.04817945,38.90796963,4326,District of Columbia,11,1,11001,TPB Modeled Region
50,-77.05167222,38.90780326,-77.05167222,38.90780326,4326,District of Columbia,11,1,11001,TPB Modeled Region
51,-77.05789101,38.90870179,-77.05789101,38.90870179,4326,District of Columbia,11,1,11001,TPB Modeled Region
52,-77.05995061,38.90602848,-77.05995061,38.90602848,4326,District of Columbia,11,1,11001,TPB Modeled Region
53,-77.05509831,38.90123590,-77.05509831,38.90123590,4326,District of Columbia,11,1,11001,TPB Modeled Region
54,-77.05338061,38.90383981,-77.05338061,38.90383981,4326,District of Columbia,11,1,11001,TPB Modeled Region
55,-77.04737783,38.90401280,-77.04737783,38.90401280,4326,District of Columbia,11,1,11001,TPB Modeled Region
56,-77.04741150,38.90105972,-77.04741150,38.90105972,4326,District of Columbia,11,1,11001,TPB Modeled Region
57,-77.05167211,38.90019469,-77.05167211,38.90019469,4326,District of Columbia,11,1,11001,TPB Modeled Region
58,-77.04840791,38.89749629,-77.04840791,38.89749629,4326,District of Columbia,11,1,11001,TPB Modeled Region
59,-77.05231175,38.89491800,-77.05231175,38.89491800,4326,District of Columbia,11,1,11001,TPB Modeled Region
60,-77.05562749,38.89770570,-77.05562749,38.89770570,4326,District of Columbia,11,1,11001,TPB Modeled Region
61,-77.06276518,38.89772416,-77.06276518,38.89772416,4326,District of Columbia,11,1,11001,TPB Modeled Region
62,-77.05965251,38.90335325,-77.05965251,38.90335325,4326,District of Columbia,11,1,11001,TPB Modeled Region
63,-77.06531698,38.90417368,-77.06531698,38.90417368,4326,District of Columbia,11,1,11001,TPB Modeled Region
64,-77.07322198,38.90442788,-77.07322198,38.90442788,4326,District of Columbia,11,1,11001,TPB Modeled Region
65,-77.06534034,38.90597041,-77.06534034,38.90597041,4326,District of Columbia,11,1,11001,TPB Modeled Region
66,-77.07416919,38.90940262,-77.07416919,38.90940262,4326,District of Columbia,11,1,11001,TPB Modeled Region
67,-77.07693445,38.91620812,-77.07693445,38.91620812,4326,District of Columbia,11,1,11001,TPB Modeled Region
68,-77.07055141,38.91602960,-77.07055141,38.91602960,4326,District of Columbia,11,1,11001,TPB Modeled Region
69,-77.06661716,38.90961866,-77.06661716,38.90961866,4326,District of Columbia,11,1,11001,TPB Modeled Region
70,-77.06147617,38.91421343,-77.06147617,38.91421343,4326,District of Columbia,11,1,11001,TPB Modeled Region
71,-77.05518520,38.91428954,-77.05518520,38.91428954,4326,District of Columbia,11,1,11001,TPB Modeled Region
72,-77.05226759,38.91789615,-77.05226759,38.91789615,4326,District of Columbia,11,1,11001,TPB Modeled Region
73,-77.05945825,38.92289070,-77.05945825,38.92289070,4326,District of Columbia,11,1,11001,TPB Modeled Region
74,-77.05855645,38.92685673,-77.05855645,38.92685673,4326,District of Columbia,11,1,11001,TPB Modeled Region
75,-77.06802772,38.92201712,-77.06802772,38.92201712,4326,District of Columbia,11,1,11001,TPB Modeled Region
76,-77.07800887,38.92211471,-77.07800887,38.92211471,4326,District of Columbia,11,1,11001,TPB Modeled Region
77,-77.07507202,38.92680560,-77.07507202,38.92680560,4326,District of Columbia,11,1,11001,TPB Modeled Region
78,-77.07889062,38.92875440,-77.07889062,38.92875440,4326,District of Columbia,11,1,11001,TPB Modeled Region
79,-77.06925745,38.92873430,-77.06925745,38.92873430,4326,District of Columbia,11,1,11001,TPB Modeled Region
80,-77.06957261,38.93459556,-77.06957261,38.93459556,4326,District of Columbia,11,1,11001,TPB Modeled Region
81,-77.07524356,38.93427568,-77.07524356,38.93427568,4326,District of Columbia,11,1,11001,TPB Modeled Region
82,-77.08007357,38.93918624,-77.08007357,38.93918624,4326,District of Columbia,11,1,11001,TPB Modeled Region
83,-77.08844517,38.93121724,-77.08844517,38.93121724,4326,District of Columbia,11,1,11001,TPB Modeled Region
84,-77.08353468,38.93202094,-77.08353468,38.93202094,4326,District of Columbia,11,1,11001,TPB Modeled Region
85,-77.08510197,38.92030873,-77.08510197,38.92030873,4326,District of Columbia,11,1,11001,TPB Modeled Region
86,-77.09355196,38.92475735,-77.09355196,38.92475735,4326,District of Columbia,11,1,11001,TPB Modeled Region
87,-77.09213652,38.90981636,-77.09213652,38.90981636,4326,District of Columbia,11,1,11001,TPB Modeled Region
88,-77.09186207,38.91675859,-77.09186207,38.91675859,4326,District of Columbia,11,1,11001,TPB Modeled Region
89,-77.08392005,38.91043483,-77.08392005,38.91043483,4326,District of Columbia,11,1,11001,TPB Modeled Region
90,-77.10861034,38.92664893,-77.10861034,38.92664893,4326,District of Columbia,11,1,11001,TPB Modeled Region
91,-77.10196151,38.93041809,-77.10196151,38.93041809,4326,District of Columbia,11,1,11001,TPB Modeled Region
92,-77.10729159,38.94034341,-77.10729159,38.94034341,4326,District of Columbia,11,1,11001,TPB Modeled Region
93,-77.10049033,38.94116706,-77.10049033,38.94116706,4326,District of Columbia,11,1,11001,TPB Modeled Region
94,-77.09337513,38.93775240,-77.09337513,38.93775240,4326,District of Columbia,11,1,11001,TPB Modeled Region
95,-77.08561361,38.94410916,-77.08561361,38.94410916,4326,District of Columbia,11,1,11001,TPB Modeled Region
96,-77.09407589,38.94904220,-77.09407589,38.94904220,4326,District of Columbia,11,1,11001,TPB Modeled Region
97,-77.08672621,38.95695591,-77.08672621,38.95695591,4326,District of Columbia,11,1,11001,TPB Modeled Region
98,-77.07988044,38.95750252,-77.07988044,38.95750252,4326,District of Columbia,11,1,11001,TPB Modeled Region
99,-77.08368122,38.95262389,-77.08368122,38.95262389,4326,District of Columbia,11,1,11001,TPB Modeled Region
100,-77.08680005,38.95063413,-77.08680005,38.95063413,4326,District of Columbia,11,1,11001,TPB Modeled Region
101,-77.07769503,38.95184419,-77.07769503,38.95184419,4326,District of Columbia,11,1,11001,TPB Modeled Region
102,-77.06777431,38.95726055,-77.06777431,38.95726055,4326,District of Columbia,11,1,11001,TPB Modeled Region
