time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	95	14	0	81	95	14	0	81
00:05:00	300	29	54	0	56	29	54	0	56
00:10:00	600	49	24	0	81	49	24	0	81
00:15:00	900	34	20	0	95	34	20	0	95
00:20:00	1200	37	52	0	80	37	52	0	80
00:25:00	1500	7	25	0	62	7	25	0	62
00:30:00	1800	78	36	0	104	78	36	0	104
00:35:00	2100	9	30	0	83	9	30	0	83
00:40:00	2400	30	44	0	69	30	44	0	69
00:45:00	2700	53	14	0	108	53	14	0	108
00:50:00	3000	27	13	0	122	27	13	0	122
00:55:00	3300	24	69	0	77	24	69	0	77
01:00:00	3600	37	60	0	54	37	60	0	54
01:05:00	3900	14	14	0	54	14	14	0	54
01:10:00	4200	37	16	0	75	37	16	0	75
01:15:00	4500	3	21	0	57	3	21	0	57
01:20:00	4800	6	36	0	27	6	36	0	27
01:25:00	5100	9	9	0	27	9	9	0	27
01:30:00	5400	15	12	0	30	15	12	0	30
01:35:00	5700	5	14	0	21	5	14	0	21
01:40:00	6000	0	2	0	19	0	2	0	19
01:45:00	6300	5	3	0	21	5	3	0	21
01:50:00	6600	0	10	0	11	0	10	0	11
01:55:00	6900	3	3	0	11	3	3	0	11
02:00:00	7200	35	5	0	41	35	5	0	41
02:05:00	7500	5	15	0	31	5	15	0	31
02:10:00	7800	24	15	0	40	24	15	0	40
02:15:00	8100	3	0	0	43	3	0	0	43
02:20:00	8400	3	21	0	25	3	21	0	25
02:25:00	8700	30	0	0	55	30	0	0	55
02:30:00	9000	41	38	0	58	41	38	0	58
02:35:00	9300	0	16	0	42	0	16	0	42
02:40:00	9600	7	14	0	35	7	14	0	35
02:45:00	9900	3	9	0	29	3	9	0	29
02:50:00	10200	18	14	0	33	18	14	0	33
02:55:00	10500	39	26	0	46	39	26	0	46
03:00:00	10800	51	9	0	88	51	9	0	88
03:05:00	11100	10	15	0	83	10	15	0	83
03:10:00	11400	53	16	0	120	53	16	0	120
03:15:00	11700	16	33	0	103	16	33	0	103
03:20:00	12000	29	30	0	102	29	30	0	102
03:25:00	12300	27	36	0	93	27	36	0	93
03:30:00	12600	89	20	0	162	89	20	0	162
03:35:00	12900	10	34	0	138	10	34	0	138
03:40:00	13200	9	21	0	126	9	21	0	126
03:45:00	13500	66	42	0	150	66	42	0	150
03:50:00	13800	7	30	0	127	7	30	0	127
03:55:00	14100	0	9	0	118	0	9	0	118
04:00:00	14400	154	43	0	229	154	43	0	229
04:05:00	14700	52	72	0	209	52	72	0	209
04:10:00	15000	46	82	0	173	46	82	0	173
04:15:00	15300	41	40	0	174	41	40	0	174
04:20:00	15600	52	4	0	222	52	4	0	222
04:25:00	15900	30	60	0	192	30	60	0	192
04:30:00	16200	163	9	0	346	163	9	0	346
04:35:00	16500	23	45	0	324	23	45	0	324
04:40:00	16800	80	44	0	360	80	44	0	360
04:45:00	17100	129	86	0	403	129	86	0	403
04:50:00	17400	116	81	0	438	116	81	0	438
04:55:00	17700	84	64	0	458	84	64	0	458
05:00:00	18000	514	195	0	777	514	195	0	777
05:05:00	18300	79	103	0	753	79	103	0	753
05:10:00	18600	160	126	0	787	160	126	0	787
05:15:00	18900	225	127	0	885	225	127	0	885
05:20:00	19200	170	156	0	899	170	156	0	899
05:25:00	19500	143	219	0	823	143	219	0	823
05:30:00	19800	652	186	0	1289	652	186	0	1289
05:35:00	20100	193	171	0	1311	193	171	0	1311
05:40:00	20400	240	278	0	1273	240	278	0	1273
05:45:00	20700	715	270	0	1718	715	270	0	1718
