pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_1---act_1	53	53	56	9	7	20	8	30	17	1	0	0	0
act_1---act_10	671	1200	757	382	136	77	81	60	56	11	9	14	13
act_1---act_11	351	490	393	249	166	104	82	38	19	18	4	2	5
act_1---act_12	360	493	429	207	133	22	22	21	4	17	13	0	9
act_1---act_13	720	1194	1077	364	176	110	39	10	23	8	4	0	0
act_1---act_14	249	337	256	219	94	81	17	9	25	17	8	0	9
act_1---act_15	25	64	55	44	33	22	5	11	5	0	6	0	0
act_1---act_16	3128	2873	2008	1183	590	268	138	71	7	8	7	13	18
act_1---act_17	0	4	8	21	11	7	6	0	0	3	0	0	0
act_1---act_18	450	629	323	147	91	104	50	12	69	21	15	27	18
act_1---act_2	1654	3594	4484	3815	3071	2505	1651	1326	972	673	538	389	721
act_1---act_3	258	477	256	190	149	61	34	38	24	0	0	0	7
act_1---act_4	145	402	349	305	269	182	64	31	28	10	10	8	22
act_1---act_5	2077	3205	1866	874	421	205	117	18	49	35	3	8	50
act_1---act_6	640	900	395	203	77	17	36	28	2	9	5	0	0
act_1---act_7	593	724	502	281	129	89	47	27	32	19	27	1	21
act_1---act_8	531	399	273	143	59	36	25	9	0	30	23	0	7
act_1---act_9	259	890	881	732	363	169	170	62	16	15	13	29	26
act_10---act_1	625	1193	799	419	188	108	67	59	49	8	26	0	7
act_10---act_10	239	174	56	12	28	29	4	6	0	1	0	0	0
act_10---act_11	17	26	77	22	7	6	11	0	0	0	0	0	5
act_10---act_12	18	49	17	0	0	5	0	2	0	0	0	0	0
act_10---act_13	21	22	14	8	0	0	0	0	0	0	0	0	0
act_10---act_14	8	2	12	24	8	5	0	0	4	0	0	0	0
act_10---act_15	0	5	4	0	0	0	0	0	0	0	0	0	0
act_10---act_16	41	18	52	8	6	1	0	0	0	0	0	0	0
act_10---act_18	53	54	30	12	0	6	0	0	0	0	0	0	0
act_10---act_2	177	132	90	38	23	10	8	15	18	16	0	0	0
act_10---act_3	16	31	25	12	17	0	0	3	0	0	0	0	0
act_10---act_5	674	454	295	70	65	24	21	22	6	0	0	0	0
act_10---act_6	97	103	67	18	28	9	3	0	0	0	0	0	0
act_10---act_7	83	131	69	5	4	3	0	0	0	0	0	0	0
act_10---act_8	137	71	42	20	15	14	0	0	6	0	0	0	0
act_10---act_9	29	15	21	0	6	1	5	0	0	0	0	0	0
act_11---act_1	423	672	461	354	211	179	109	52	40	39	16	11	20
act_11---act_10	35	9	27	5	13	0	0	0	0	0	0	0	0
act_11---act_11	41	20	33	14	12	7	4	0	8	0	0	0	0
act_11---act_12	11	16	10	0	0	5	9	0	0	0	0	0	0
act_11---act_13	8	0	22	0	0	0	0	0	0	0	0	0	0
act_11---act_14	0	16	2	0	4	0	0	0	0	0	0	0	0
act_11---act_15	0	0	0	5	6	0	0	0	0	0	0	0	0
act_11---act_16	24	34	27	43	8	0	1	12	0	0	0	0	4
act_11---act_18	10	6	25	0	14	1	0	0	0	0	0	0	0
act_11---act_2	14	30	30	5	12	9	8	5	0	0	0	0	7
act_11---act_3	0	22	4	0	2	5	0	0	0	0	0	0	0
act_11---act_4	1	2	0	0	0	26	0	0	0	0	0	0	0
act_11---act_5	92	131	88	88	43	13	5	6	0	0	3	5	2
act_11---act_6	26	14	31	17	0	2	0	0	2	0	0	0	0
act_11---act_7	47	55	23	39	20	19	8	0	5	0	0	0	0
act_11---act_8	29	15	36	9	8	13	19	0	4	0	0	0	0
act_11---act_9	1	4	5	10	0	0	0	0	0	0	0	0	0
act_12---act_1	291	490	342	149	90	4	28	9	0	8	2	0	12
act_12---act_10	11	38	9	0	0	0	0	0	0	0	0	0	0
act_12---act_11	11	14	17	16	6	0	0	5	0	0	0	0	1
act_12---act_12	16	4	2	0	0	0	2	0	0	0	0	0	0
act_12---act_13	0	27	0	0	0	0	0	0	0	0	0	0	0
act_12---act_14	7	10	0	0	0	0	0	0	0	0	0	0	0
act_12---act_15	0	6	0	0	0	0	0	0	0	0	0	0	0
act_12---act_16	33	16	9	27	2	5	0	0	0	0	0	0	0
act_12---act_18	22	9	13	12	0	2	0	0	0	0	9	0	0
act_12---act_2	37	6	0	3	17	18	11	0	5	0	6	0	0
act_12---act_3	16	11	14	0	0	0	0	0	0	0	0	0	0
act_12---act_4	5	1	0	9	0	0	0	0	0	0	0	0	0
act_12---act_5	208	161	127	38	13	12	3	3	0	0	0	0	0
act_12---act_6	5	19	15	0	0	0	0	0	0	0	0	0	0
act_12---act_7	15	21	28	37	0	2	6	8	0	0	0	0	0
act_12---act_8	27	45	10	0	0	0	0	0	0	0	0	0	0
act_12---act_9	0	1	0	0	0	0	0	0	0	0	0	0	0
act_13---act_1	666	1112	1025	449	194	71	47	5	9	8	0	0	6
act_13---act_10	45	38	15	0	8	0	0	0	0	0	0	0	0
act_13---act_11	3	19	18	7	8	1	0	0	0	0	0	0	0
act_13---act_12	11	14	5	7	0	1	0	0	0	0	0	0	0
act_13---act_13	12	12	15	5	0	0	12	0	0	0	0	0	0
act_13---act_14	21	3	5	5	33	8	0	0	0	0	1	0	0
act_13---act_15	0	0	3	0	0	0	0	0	0	0	0	0	0
act_13---act_16	24	70	45	52	3	0	4	3	0	0	0	0	0
act_13---act_18	4	2	11	0	0	0	0	0	0	0	0	0	0
act_13---act_2	78	63	56	22	38	36	0	1	1	2	7	0	0
act_13---act_3	11	4	3	8	7	6	0	0	0	0	0	0	0
act_13---act_4	0	5	3	15	0	0	0	0	0	0	0	0	0
act_13---act_5	238	235	167	63	20	19	3	0	8	0	0	0	0
act_13---act_6	52	66	2	19	0	5	0	0	0	0	0	0	0
act_13---act_7	74	74	65	11	8	16	10	0	0	0	8	0	0
act_13---act_8	56	31	11	0	19	0	0	0	0	0	0	0	0
act_13---act_9	4	28	12	17	0	0	0	0	0	0	0	0	0
act_14---act_1	238	336	234	227	100	59	26	23	8	4	19	0	22
act_14---act_10	8	12	0	0	0	0	0	0	0	0	0	0	0
act_14---act_11	0	6	7	8	3	0	0	0	0	0	0	0	4
act_14---act_12	12	21	5	0	0	0	0	0	0	0	0	0	0
act_14---act_13	0	3	14	0	5	0	0	0	0	0	0	0	0
act_14---act_14	38	20	17	41	0	0	0	15	0	0	0	0	5
act_14---act_15	0	0	9	0	0	0	0	0	0	0	0	0	0
act_14---act_16	14	9	36	7	12	0	0	0	0	0	0	0	1
act_14---act_18	0	0	6	9	0	9	0	0	0	0	0	0	0
act_14---act_2	7	8	8	0	5	0	0	0	0	0	0	0	0
act_14---act_3	0	0	12	0	13	0	0	0	0	0	0	0	0
act_14---act_4	0	4	0	0	1	0	0	0	0	0	0	0	0
act_14---act_5	60	70	76	13	2	8	7	0	6	6	8	0	0
act_14---act_6	9	22	12	2	13	0	0	0	0	0	0	0	0
act_14---act_7	56	60	52	9	6	4	0	0	0	0	0	0	0
act_14---act_8	11	18	0	6	4	5	0	5	0	0	0	0	0
act_14---act_9	7	0	0	7	0	0	0	0	0	0	0	0	0
act_15---act_1	32	99	109	36	23	31	16	5	3	0	12	3	0
act_15---act_11	3	7	0	0	0	0	0	0	0	0	0	0	0
act_15---act_12	0	2	0	0	0	0	0	0	0	0	0	0	0
act_15---act_13	5	0	0	0	0	0	0	0	0	0	0	0	0
act_15---act_14	0	0	2	0	0	0	0	0	0	0	0	0	0
act_15---act_16	5	15	18	1	0	0	0	0	0	0	0	0	3
act_15---act_2	0	1	0	8	0	0	0	0	0	0	0	0	0
act_15---act_5	20	13	6	13	5	3	0	0	0	0	0	0	0
act_15---act_6	4	10	0	0	0	0	0	0	0	0	0	0	0
act_15---act_7	23	14	36	0	0	2	0	19	0	0	0	0	0
act_15---act_8	0	0	0	0	11	14	0	0	0	0	0	0	0
act_15---act_9	10	13	2	0	0	0	0	0	0	0	0	0	0
act_16---act_1	2697	2173	1757	989	524	215	107	61	9	3	8	10	15
act_16---act_10	56	185	89	27	5	35	1	2	0	5	0	0	0
act_16---act_11	37	23	21	32	2	28	12	0	0	0	0	0	0
act_16---act_12	33	45	18	33	22	0	4	0	0	0	0	2	3
act_16---act_13	49	123	91	68	3	0	0	0	0	0	0	0	0
act_16---act_14	18	15	4	7	22	1	4	0	0	0	0	0	11
act_16---act_15	0	18	28	20	3	0	5	7	7	0	0	0	2
act_16---act_16	401	341	211	96	41	64	4	9	0	0	2	4	0
act_16---act_18	43	89	34	4	7	3	0	0	0	0	0	0	0
act_16---act_2	491	564	599	569	380	256	131	127	107	1	9	2	47
act_16---act_3	14	49	42	32	4	6	0	4	0	0	0	0	6
act_16---act_4	28	24	37	4	26	0	0	0	0	0	0	0	0
act_16---act_5	287	472	222	144	49	28	10	0	17	2	8	11	9
act_16---act_6	122	143	92	36	20	31	26	0	0	0	0	0	8
act_16---act_7	111	117	91	28	7	6	3	4	3	0	0	0	6
act_16---act_8	84	65	63	31	3	9	0	0	0	8	0	0	0
act_16---act_9	36	51	60	61	43	18	0	2	10	0	0	0	0
act_17---act_1	3	13	3	17	5	9	18	0	0	3	0	0	0
act_17---act_10	0	5	0	0	0	0	0	0	0	0	0	0	0
act_17---act_11	0	0	2	0	0	0	3	0	0	0	0	0	0
act_17---act_16	0	0	0	0	0	0	1	0	0	0	0	0	0
act_17---act_2	0	6	0	0	1	3	0	0	0	0	0	9	0
act_17---act_4	0	2	0	0	0	0	0	0	0	0	0	0	0
act_17---act_5	0	1	0	0	2	0	0	0	0	0	0	0	0
act_17---act_6	0	4	0	0	0	0	0	0	0	0	0	0	0
act_17---act_7	0	0	3	0	0	0	0	0	0	0	0	0	0
act_17---act_8	0	0	0	0	0	0	1	0	0	0	0	0	0
act_18---act_1	336	413	321	173	102	128	60	20	16	4	10	5	13
act_18---act_10	44	70	46	9	22	0	15	0	0	0	0	0	0
act_18---act_11	6	20	22	6	4	5	7	2	0	0	0	0	26
act_18---act_12	23	65	21	7	0	0	0	0	0	0	0	0	0
act_18---act_13	13	25	4	0	9	0	0	0	0	0	0	0	0
act_18---act_14	2	1	4	0	0	0	0	0	0	0	0	0	15
act_18---act_15	2	0	0	0	6	0	10	0	0	0	0	0	0
act_18---act_16	50	20	44	8	0	6	0	0	0	5	0	0	0
act_18---act_18	53	37	20	1	13	3	0	0	0	1	0	0	0
act_18---act_2	62	74	61	12	15	22	6	14	7	4	3	0	6
act_18---act_3	4	0	0	0	8	0	0	0	0	0	0	0	0
act_18---act_4	0	7	0	16	7	14	0	0	0	0	0	0	0
act_18---act_5	214	197	118	36	22	7	15	0	0	0	0	0	0
act_18---act_6	76	40	33	31	7	6	0	2	12	0	0	0	0
