time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	12	0	0	12	12	0	0	12
03:30:00	12600	0	0	0	12	0	0	0	12
03:35:00	12900	0	0	0	12	0	0	0	12
03:40:00	13200	0	0	0	12	0	0	0	12
03:45:00	13500	0	0	0	12	0	0	0	12
03:50:00	13800	12	0	0	24	12	0	0	24
03:55:00	14100	18	0	0	42	18	0	0	42
04:00:00	14400	0	0	0	42	0	0	0	42
04:05:00	14700	0	0	0	42	0	0	0	42
04:10:00	15000	12	0	0	54	12	0	0	54
04:15:00	15300	0	0	0	54	0	0	0	54
04:20:00	15600	48	18	0	84	48	18	0	84
04:25:00	15900	12	0	0	96	12	0	0	96
04:30:00	16200	6	12	0	90	6	12	0	90
04:35:00	16500	48	12	0	126	48	12	0	126
04:40:00	16800	36	24	0	138	36	24	0	138
04:45:00	17100	0	0	0	138	0	0	0	138
04:50:00	17400	30	30	0	138	30	30	0	138
04:55:00	17700	12	11	0	139	12	11	0	139
05:00:00	18000	84	1	0	222	84	1	0	222
05:05:00	18300	84	1	0	305	84	1	0	305
05:10:00	18600	66	11	0	360	66	11	0	360
05:15:00	18900	90	12	0	438	90	12	0	438
05:20:00	19200	84	43	0	479	84	43	0	479
05:25:00	19500	78	89	0	468	78	89	0	468
05:30:00	19800	84	53	0	499	84	53	0	499
05:35:00	20100	106	79	0	526	106	79	0	526
05:40:00	20400	94	66	0	554	94	66	0	554
05:45:00	20700	124	57	0	621	124	57	0	621
05:50:00	21000	162	57	0	726	162	57	0	726
05:55:00	21300	216	47	0	895	216	47	0	895
06:00:00	21600	290	103	0	1082	290	103	0	1082
06:05:00	21900	312	59	0	1335	312	59	0	1335
06:10:00	22200	300	119	0	1516	300	119	0	1516
06:15:00	22500	296	178	0	1634	296	178	0	1634
06:20:00	22800	256	139	0	1751	256	139	0	1751
06:25:00	23100	282	225	0	1808	282	225	0	1808
06:30:00	23400	316	164	0	1960	316	164	0	1960
06:35:00	23700	462	279	0	2143	462	279	0	2143
06:40:00	24000	386	248	0	2281	386	248	0	2281
06:45:00	24300	500	166	0	2615	500	166	0	2615
06:50:00	24600	458	337	0	2736	458	337	0	2736
06:55:00	24900	476	298	0	2914	476	298	0	2914
07:00:00	25200	473	395	0	2992	473	395	0	2992
07:05:00	25500	690	280	0	3402	690	280	0	3402
07:10:00	25800	712	458	0	3656	712	458	0	3656
07:15:00	26100	651	381	0	3926	651	381	0	3926
07:20:00	26400	622	406	0	4142	622	406	0	4142
07:25:00	26700	731	624	0	4249	731	624	0	4249
07:30:00	27000	622	488	0	4383	622	488	0	4383
07:35:00	27300	716	389	0	4710	716	389	0	4710
07:40:00	27600	766	540	0	4936	766	540	0	4936
07:45:00	27900	878	429	0	5385	878	429	0	5385
07:50:00	28200	894	708	0	5571	894	708	0	5571
07:55:00	28500	658	753	0	5476	658	753	0	5476
08:00:00	28800	958	650	0	5784	958	650	0	5784
08:05:00	29100	785	669	0	5900	785	669	0	5900
08:10:00	29400	841	802	0	5939	841	802	0	5939
08:15:00	29700	1008	708	0	6239	1008	708	0	6239
08:20:00	30000	956	638	0	6557	956	638	0	6557
08:25:00	30300	1004	794	0	6767	1004	794	0	6767
08:30:00	30600	1106	902	0	6971	1106	902	0	6971
08:35:00	30900	1071	921	0	7121	1071	921	0	7121
08:40:00	31200	1292	947	0	7466	1292	947	0	7466
08:45:00	31500	1187	866	0	7787	1187	866	0	7787
08:50:00	31800	1116	1041	0	7862	1116	1041	0	7862
08:55:00	32100	1138	1101	0	7899	1138	1101	0	7899
09:00:00	32400	1030	976	0	7953	1030	976	0	7953
09:05:00	32700	964	1038	0	7879	964	1038	0	7879
09:10:00	33000	1292	1246	0	7925	1292	1246	0	7925
