pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_1---act_1	82	0	30	49	83	44	20	66	64	46	24	12	90
act_1---act_10	442	349	390	345	391	425	193	255	386	375	222	183	1127
act_1---act_11	216	228	147	165	133	229	63	102	222	151	107	132	633
act_1---act_12	82	81	71	28	57	48	65	80	44	57	71	49	173
act_1---act_13	162	226	302	222	373	176	171	146	229	117	155	150	554
act_1---act_14	40	97	90	94	41	75	61	33	99	35	45	36	115
act_1---act_15	24	24	64	30	18	7	41	18	8	20	18	12	40
act_1---act_16	1583	1329	1353	1161	1005	1073	1139	1044	895	923	820	703	2851
act_1---act_17	0	0	0	0	0	12	10	8	6	0	0	0	4
act_1---act_18	259	162	218	219	260	277	147	220	299	133	101	105	816
act_1---act_2	1729	1246	1842	1913	1896	1944	1543	1680	1435	1433	1295	953	4470
act_1---act_3	153	99	63	76	107	70	71	94	36	102	77	70	339
act_1---act_4	180	192	157	151	170	139	149	118	96	145	65	110	299
act_1---act_5	979	909	871	685	727	644	494	591	458	576	531	453	2218
act_1---act_6	223	291	319	358	273	199	323	224	158	147	102	185	793
act_1---act_7	202	175	249	302	208	283	213	187	162	202	146	85	570
act_1---act_8	213	146	142	235	234	145	190	249	180	281	230	105	667
act_1---act_9	230	166	301	200	258	258	163	175	148	178	121	194	528
act_10---act_1	247	311	230	354	276	278	232	322	202	159	145	140	677
act_10---act_10	38	78	65	14	21	42	28	5	21	17	69	36	26
act_10---act_11	12	6	15	15	0	5	13	0	0	0	0	0	12
act_10---act_12	12	4	2	0	12	0	0	0	12	0	0	0	0
act_10---act_13	0	0	0	12	12	0	0	12	0	0	0	0	28
act_10---act_14	0	0	12	0	0	6	0	0	0	0	0	18	4
act_10---act_16	12	12	24	16	24	12	0	12	0	48	0	12	39
act_10---act_18	6	0	8	4	0	0	0	0	0	0	0	16	20
act_10---act_2	36	24	0	16	34	22	13	25	44	2	12	0	108
act_10---act_3	12	0	12	0	0	0	10	2	0	0	0	0	18
act_10---act_5	186	106	63	86	88	60	92	57	67	67	61	112	235
act_10---act_6	54	69	40	61	76	15	66	7	44	24	3	31	38
act_10---act_7	36	52	24	12	18	0	24	1	17	14	22	24	6
act_10---act_8	6	12	24	6	28	0	39	33	6	34	26	0	36
act_10---act_9	6	0	0	4	2	0	0	0	0	12	0	0	12
act_11---act_1	283	235	288	251	307	286	225	210	185	162	202	150	969
act_11---act_10	6	6	48	34	19	7	18	11	7	14	16	8	34
act_11---act_11	18	24	27	6	21	27	16	2	18	30	34	12	26
act_11---act_12	0	0	0	0	0	0	0	0	0	0	0	0	12
act_11---act_13	0	12	6	0	0	0	0	0	0	0	0	0	24
act_11---act_14	0	0	0	0	0	0	0	0	4	0	0	0	0
act_11---act_16	28	12	40	2	20	20	55	33	28	6	12	18	90
act_11---act_18	12	12	6	0	12	0	0	12	0	6	6	0	18
act_11---act_2	24	0	0	12	0	36	0	22	2	2	22	24	39
act_11---act_3	0	0	0	0	0	0	0	3	9	0	0	0	0
act_11---act_4	12	0	0	0	0	0	0	0	0	0	0	0	0
act_11---act_5	48	52	59	56	38	33	30	56	60	48	53	46	139
act_11---act_6	36	16	39	2	22	33	21	19	29	28	18	0	34
act_11---act_7	46	6	49	51	6	36	11	53	23	22	13	0	66
act_11---act_8	8	17	41	27	39	33	3	16	8	0	45	7	126
act_11---act_9	0	0	0	0	15	21	0	0	0	0	0	0	12
act_12---act_1	76	57	52	31	21	12	41	30	67	53	20	47	157
act_12---act_10	0	0	0	0	0	0	0	0	18	0	0	0	0
act_12---act_11	0	0	0	0	6	0	0	0	0	0	0	0	0
act_12---act_12	12	0	0	0	0	0	0	0	0	0	0	15	0
act_12---act_14	0	12	0	0	0	0	0	0	0	0	0	0	0
act_12---act_16	6	3	6	4	0	0	0	0	0	12	0	0	4
act_12---act_18	12	0	0	0	12	0	0	0	0	0	0	0	0
act_12---act_2	0	0	12	0	0	12	0	0	0	0	0	0	12
act_12---act_5	48	30	0	23	25	36	12	18	0	0	12	4	36
act_12---act_6	6	0	0	0	18	0	0	0	0	0	0	0	0
act_12---act_7	12	0	1	11	3	9	6	0	6	20	31	1	18
act_12---act_8	0	4	15	5	3	9	0	0	0	0	0	6	0
act_12---act_9	0	11	1	0	0	0	0	0	0	0	0	0	0
act_13---act_1	273	235	225	275	366	250	130	177	214	184	147	120	556
act_13---act_10	0	12	12	12	0	0	0	0	0	0	0	0	24
act_13---act_11	0	12	11	13	0	0	0	16	8	0	5	7	0
act_13---act_12	0	0	0	0	0	0	0	0	10	2	0	0	12
act_13---act_13	36	8	13	0	18	21	27	6	0	24	0	0	24
act_13---act_14	12	0	0	0	0	0	0	0	0	0	0	0	0
act_13---act_16	18	0	16	16	10	6	0	0	0	12	0	0	12
act_13---act_18	0	0	0	12	0	0	0	0	0	0	0	0	12
act_13---act_2	12	0	24	3	21	36	24	12	11	13	12	12	36
act_13---act_3	0	0	6	12	0	0	0	0	0	0	0	0	0
act_13---act_4	0	0	0	12	0	0	0	0	0	0	0	0	0
act_13---act_5	144	12	36	36	24	29	31	33	57	18	6	36	51
act_13---act_6	36	30	36	12	12	24	12	18	17	13	0	0	66
act_13---act_7	42	6	16	20	8	16	24	28	4	24	0	9	21
act_13---act_8	0	7	8	50	13	0	15	9	0	30	22	2	72
act_13---act_9	0	0	0	11	1	19	5	0	0	12	0	0	0
act_14---act_1	78	76	75	49	102	55	24	40	60	55	50	25	279
act_14---act_10	0	0	0	0	0	0	0	0	0	0	0	0	6
act_14---act_11	0	0	0	1	5	0	0	0	0	0	0	12	12
act_14---act_12	0	0	0	0	1	3	0	0	0	0	0	0	0
act_14---act_13	12	0	0	0	0	0	0	0	0	0	0	0	0
act_14---act_14	0	0	6	0	0	0	12	0	0	0	0	0	0
act_14---act_16	7	4	12	0	6	0	10	0	12	12	0	0	33
act_14---act_2	0	0	0	0	0	0	0	0	0	0	12	0	12
act_14---act_4	0	0	0	6	0	0	0	0	0	0	0	0	0
act_14---act_5	30	12	24	28	18	0	0	6	12	24	5	19	42
act_14---act_6	12	0	18	0	0	16	0	12	12	0	0	0	4
act_14---act_7	22	12	22	0	0	6	1	5	4	0	0	3	50
act_14---act_8	0	1	29	5	21	10	0	6	0	12	0	0	0
act_15---act_1	26	17	59	50	24	40	44	20	0	39	17	6	52
act_15---act_15	0	0	0	0	0	0	0	0	0	0	0	0	6
act_15---act_16	0	0	0	0	0	0	0	0	0	0	6	0	0
act_15---act_18	0	0	6	0	0	0	0	0	0	0	0	0	0
act_15---act_2	0	0	0	0	0	0	0	0	0	0	12	0	0
act_15---act_5	27	15	0	8	4	0	0	6	6	0	0	0	12
act_15---act_6	0	1	11	0	19	5	0	0	0	0	0	0	0
act_15---act_7	15	3	0	0	0	24	0	0	0	10	0	0	18
act_15---act_8	0	6	12	0	0	0	0	0	0	0	0	0	0
act_16---act_1	1061	748	979	967	827	606	789	541	620	690	594	437	2261
act_16---act_10	39	35	39	31	24	27	33	12	42	38	14	31	124
act_16---act_11	0	12	13	5	0	6	19	3	0	6	0	6	10
act_16---act_12	24	30	16	2	0	3	12	0	0	18	6	0	0
act_16---act_13	12	0	16	17	1	7	17	0	0	22	8	5	16
act_16---act_14	10	0	6	12	6	12	4	0	21	1	1	17	16
act_16---act_15	0	0	0	0	0	0	0	0	0	6	0	3	0
act_16---act_16	287	156	147	134	168	124	121	155	141	93	162	70	474
act_16---act_17	0	0	0	0	0	0	0	0	6	0	0	0	0
act_16---act_18	36	0	6	0	0	0	0	12	0	0	18	0	28
act_16---act_2	78	92	165	155	142	93	124	99	132	83	72	89	237
act_16---act_3	0	0	0	10	0	6	0	7	5	0	0	0	30
