link_id,volume
osm_100023902_1_fwd,36
osm_100023902_1_rev,46
osm_100023902_2_fwd,36
osm_100023902_2_rev,46
osm_100023902_3_fwd,36
osm_100023902_3_rev,46
osm_100023902_4_fwd,36
osm_100023902_4_rev,46
osm_100023941_1_fwd,36
osm_100023941_1_rev,46
osm_100024644_1_fwd,22
osm_100024644_1_rev,32
osm_100024644_2_fwd,22
osm_100024644_2_rev,32
osm_100024644_3_fwd,22
osm_100024644_3_rev,32
osm_100024644_4_fwd,22
osm_100024644_4_rev,32
osm_100034477_1_fwd,146
osm_100034477_1_rev,110
osm_100034477_2_fwd,146
osm_100034477_2_rev,110
osm_100034477_3_fwd,146
osm_100034477_3_rev,110
osm_100034477_4_fwd,146
osm_100034477_4_rev,110
osm_100034477_5_fwd,146
osm_100034477_5_rev,110
osm_100034477_6_fwd,146
osm_100034477_6_rev,110
osm_100034477_7_fwd,146
osm_100034477_7_rev,110
osm_100034477_8_fwd,146
osm_100034477_8_rev,110
osm_100034477_9_fwd,146
osm_100034477_9_rev,110
osm_100034478_10_fwd,117
osm_100034478_10_rev,154
osm_100034478_11_fwd,117
osm_100034478_11_rev,154
osm_100034478_12_fwd,117
osm_100034478_12_rev,154
osm_100034478_13_fwd,117
osm_100034478_13_rev,154
osm_100034478_14_fwd,117
osm_100034478_14_rev,154
osm_100034478_15_fwd,117
osm_100034478_15_rev,154
osm_100034478_16_fwd,117
osm_100034478_16_rev,154
osm_100034478_17_fwd,117
osm_100034478_17_rev,154
osm_100034478_18_fwd,117
osm_100034478_18_rev,154
osm_100034478_19_fwd,117
osm_100034478_19_rev,154
osm_100034478_1_fwd,117
osm_100034478_1_rev,154
osm_100034478_2_fwd,117
osm_100034478_2_rev,154
osm_100034478_3_fwd,117
osm_100034478_3_rev,154
osm_100034478_4_fwd,117
osm_100034478_4_rev,154
osm_100034478_5_fwd,117
osm_100034478_5_rev,154
osm_100034478_6_fwd,117
osm_100034478_6_rev,154
osm_100034478_7_fwd,117
osm_100034478_7_rev,154
osm_100034478_8_fwd,117
osm_100034478_8_rev,154
osm_100034478_9_fwd,117
osm_100034478_9_rev,154
osm_100034484_1_fwd,7
osm_100034484_1_rev,8
osm_100034484_2_fwd,7
osm_100034484_2_rev,8
osm_100034484_3_fwd,7
osm_100034484_3_rev,8
osm_100034484_4_fwd,7
osm_100034484_4_rev,8
osm_100034484_5_fwd,7
osm_100034484_5_rev,8
osm_100034484_6_fwd,7
osm_100034484_6_rev,8
osm_100035601_1_fwd,14
osm_100035601_1_rev,17
osm_100035601_2_fwd,14
osm_100035601_2_rev,17
osm_100035601_3_fwd,14
osm_100035601_3_rev,17
osm_100035601_4_fwd,14
osm_100035601_4_rev,17
osm_100035601_5_fwd,14
osm_100035601_5_rev,17
osm_100035601_6_fwd,14
osm_100035601_6_rev,17
osm_100035601_7_fwd,14
osm_100035601_7_rev,17
osm_100035601_8_fwd,14
osm_100035601_8_rev,17
osm_100035601_9_fwd,14
osm_100035601_9_rev,17
osm_100041125_1_fwd,38
osm_100041125_1_rev,34
osm_100041125_2_fwd,13
osm_100041125_2_rev,20
osm_100041125_3_fwd,13
osm_100041125_3_rev,20
osm_100041125_4_fwd,13
osm_100041125_4_rev,20
osm_100041125_5_fwd,13
osm_100041125_5_rev,20
osm_100041125_6_fwd,15
osm_100041125_6_rev,28
osm_100041125_7_fwd,15
osm_100041125_7_rev,28
osm_100041125_8_fwd,15
osm_100041125_8_rev,28
osm_100041128_1_fwd,21
osm_100041128_2_fwd,21
osm_100041128_3_fwd,21
osm_100041128_4_fwd,21
osm_100041130_1_fwd,4
osm_100041130_1_rev,4
osm_100041130_2_fwd,4
osm_100041130_2_rev,4
osm_100041130_3_fwd,4
osm_100041130_3_rev,4
osm_100041130_4_fwd,4
osm_100041130_4_rev,4
osm_100041130_5_fwd,4
osm_100041130_5_rev,4
osm_100041130_6_fwd,4
osm_100041130_6_rev,4
osm_100041130_7_fwd,4
osm_100041130_7_rev,4
osm_100041130_8_fwd,4
osm_100041130_8_rev,4
osm_100041141_10_fwd,19
osm_100041141_10_rev,4
osm_100041141_11_fwd,19
osm_100041141_11_rev,4
osm_100041141_5_fwd,19
osm_100041141_5_rev,4
osm_100041141_6_fwd,19
osm_100041141_6_rev,4
osm_100041141_7_fwd,19
osm_100041141_7_rev,4
osm_100041141_8_fwd,19
osm_100041141_8_rev,4
osm_100041141_9_fwd,19
osm_100041141_9_rev,4
osm_100041157_1_fwd,19
osm_100041157_1_rev,4
osm_100041157_2_fwd,19
osm_100041157_2_rev,4
osm_100041157_3_fwd,19
osm_100041157_3_rev,4
osm_100041166_1_fwd,15
osm_100041166_1_rev,3
osm_100041166_2_fwd,15
osm_100041166_2_rev,3
osm_1000423134_10_fwd,110
osm_1000423134_10_rev,112
osm_1000423134_1_fwd,110
osm_1000423134_1_rev,112
osm_1000423134_2_fwd,110
osm_1000423134_2_rev,112
osm_1000423134_3_fwd,110
osm_1000423134_3_rev,112
osm_1000423134_4_fwd,110
osm_1000423134_4_rev,112
osm_1000423134_5_fwd,110
osm_1000423134_5_rev,112
osm_1000423134_6_fwd,110
osm_1000423134_6_rev,112
osm_1000423134_7_fwd,110
osm_1000423134_7_rev,112
osm_1000423134_8_fwd,110
osm_1000423134_8_rev,112
osm_1000423134_9_fwd,110
osm_1000423134_9_rev,112
osm_1000423135_1_fwd,210
osm_1000423135_1_rev,210
osm_1000423135_2_fwd,210
osm_1000423135_2_rev,210
osm_1000423138_1_fwd,77
osm_1000423138_1_rev,88
osm_1000423138_2_fwd,77
osm_1000423138_2_rev,88
osm_1000423139_1_fwd,24
osm_1000423139_1_rev,22
osm_1000423139_2_fwd,24
osm_1000423139_2_rev,22
osm_1000430137_1_fwd,161
osm_1000430137_1_rev,158
osm_1000430137_2_fwd,161
osm_1000430137_2_rev,158
osm_1000430137_3_fwd,161
osm_1000430137_3_rev,158
osm_1000430137_4_fwd,161
osm_1000430137_4_rev,158
osm_1000430140_1_fwd,161
osm_1000430140_1_rev,158
osm_1000430140_2_fwd,161
osm_1000430140_2_rev,158
osm_1000430140_3_fwd,161
osm_1000430140_3_rev,158
osm_1000430140_4_fwd,161
osm_1000430140_4_rev,158
osm_1000430140_5_fwd,161
osm_1000430140_5_rev,158
osm_1000430140_6_fwd,161
osm_1000430140_6_rev,158
osm_1000430140_7_fwd,161
osm_1000430140_7_rev,158
osm_1000443785_1_fwd,68
osm_1000443785_1_rev,38
osm_1000443786_1_fwd,55
osm_1000443786_1_rev,63
osm_1000444433_1_fwd,108
osm_1000444433_1_rev,103
osm_1000444433_2_fwd,108
osm_1000444433_2_rev,103
osm_1000444433_3_fwd,108
osm_1000444433_3_rev,103
osm_1000472412_1_fwd,241
osm_1000472412_1_rev,285
osm_1000472413_1_fwd,254
osm_1000472413_1_rev,225
osm_1000472413_2_fwd,254
osm_1000472413_2_rev,225
osm_1000503220_1_fwd,84
osm_1000503220_1_rev,77
osm_1000503220_2_fwd,197
osm_1000503220_2_rev,225
osm_1000503220_3_fwd,197
osm_1000503220_3_rev,225
osm_1000503220_4_fwd,197
osm_1000503220_4_rev,225
osm_1000751763_1_fwd,75
osm_1000751763_1_rev,51
osm_1000751763_2_fwd,75
osm_1000751763_2_rev,51
osm_1000751763_3_fwd,75
osm_1000751763_3_rev,51
osm_1000843469_1_fwd,84
osm_1000843469_1_rev,51
osm_1000843469_2_fwd,84
osm_1000843469_2_rev,51
osm_1000843469_3_fwd,84
osm_1000843469_3_rev,51
osm_1001006312_1_fwd,73
osm_1001006312_1_rev,74
osm_1001006312_2_fwd,73
osm_1001006312_2_rev,74
osm_1001006684_1_fwd,69
osm_1001006684_1_rev,78
osm_1001006685_1_fwd,69
osm_1001006685_1_rev,78
osm_100101638_16_fwd,7
osm_100101638_17_fwd,7
osm_100101638_18_fwd,7
osm_100101638_19_fwd,7
osm_100101638_1_fwd,7
osm_100101638_20_fwd,7
osm_100101638_21_fwd,7
osm_100101638_2_fwd,7
osm_100101638_3_fwd,7
osm_100101638_4_fwd,7
osm_100101647_3_fwd,10
osm_100101647_4_fwd,10
osm_100101647_5_fwd,10
osm_100101647_6_fwd,10
osm_100101647_7_fwd,10
osm_100101647_8_fwd,10
osm_100101647_9_fwd,10
osm_100102594_13_fwd,132
osm_100102594_13_rev,130
osm_100102594_14_fwd,132
osm_100102594_14_rev,130
osm_100102594_15_fwd,132
osm_100102594_15_rev,130
osm_100102594_16_fwd,132
osm_100102594_16_rev,130
osm_100102594_17_fwd,132
osm_100102594_17_rev,130
osm_100102594_18_fwd,132
osm_100102594_18_rev,130
osm_100102594_19_fwd,132
osm_100102594_19_rev,130
osm_100102644_10_fwd,100
osm_100102644_10_rev,109
osm_100102644_18_fwd,109
osm_100102644_18_rev,100
osm_100102644_19_fwd,109
osm_100102644_19_rev,100
osm_100102644_1_fwd,77
osm_100102644_1_rev,94
osm_100102644_20_fwd,94
osm_100102644_20_rev,77
osm_100102644_21_fwd,94
osm_100102644_21_rev,77
osm_100102644_7_fwd,100
osm_100102644_7_rev,109
osm_100102644_8_fwd,100
osm_100102644_8_rev,109
osm_100102644_9_fwd,100
osm_100102644_9_rev,109
osm_100102656_6_fwd,32
osm_100102656_6_rev,32
osm_100102656_7_fwd,32
osm_100102656_7_rev,32
osm_100102656_8_fwd,32
osm_100102656_8_rev,32
osm_100102656_9_fwd,32
osm_100102656_9_rev,32
osm_100102699_1_fwd,59
osm_100102699_1_rev,57
osm_100102699_2_fwd,59
osm_100102699_2_rev,57
osm_100102741_1_fwd,59
osm_100102741_1_rev,57
osm_100102741_2_fwd,59
osm_100102741_2_rev,57
osm_100102741_3_fwd,59
osm_100102741_3_rev,57
osm_100102741_4_fwd,59
osm_100102741_4_rev,57
osm_100102741_5_fwd,59
osm_100102741_5_rev,57
osm_100102741_6_fwd,59
osm_100102741_6_rev,57
osm_100102962_1_fwd,128
osm_100102962_1_rev,70
osm_100102962_2_fwd,128
osm_100102962_2_rev,70
osm_100102962_3_fwd,128
osm_100102962_3_rev,70
osm_100102962_4_fwd,128
osm_100102962_4_rev,70
osm_100102986_1_fwd,32
osm_100102986_1_rev,32
osm_100102986_22_fwd,59
osm_100102986_22_rev,57
osm_100102986_23_fwd,91
osm_100102986_23_rev,89
osm_100102986_24_fwd,32
osm_100102986_24_rev,32
osm_100102986_25_fwd,32
osm_100102986_25_rev,32
osm_100102986_26_fwd,32
osm_100102986_26_rev,32
osm_100102986_27_fwd,32
osm_100102986_27_rev,32
osm_100102986_28_fwd,32
osm_100102986_28_rev,32
osm_100102986_2_fwd,32
osm_100102986_2_rev,32
osm_100102986_3_fwd,32
osm_100102986_3_rev,32
osm_100102986_4_fwd,32
osm_100102986_4_rev,32
osm_100102986_5_fwd,32
osm_100102986_5_rev,32
osm_100103005_1_fwd,23
osm_100103005_1_rev,15
osm_100103005_2_fwd,23
osm_100103005_2_rev,15
osm_100103015_1_fwd,100
osm_100103015_1_rev,109
osm_100103277_1_fwd,7
osm_100103277_1_rev,32
osm_100103277_2_fwd,7
osm_100103277_2_rev,32
osm_100103277_3_fwd,7
osm_100103277_3_rev,32
osm_100103277_4_fwd,7
osm_100103277_4_rev,32
osm_100103277_5_fwd,7
osm_100103277_5_rev,32
osm_100103277_6_fwd,7
osm_100103277_6_rev,32
osm_100103277_7_fwd,7
osm_100103277_7_rev,32
osm_100103277_8_fwd,7
osm_100103277_8_rev,32
osm_100103277_9_fwd,7
osm_100103277_9_rev,32
osm_1001400167_1_fwd,178
osm_1001400167_1_rev,149
osm_1001400167_2_fwd,178
osm_1001400167_2_rev,149
osm_1001400167_3_fwd,178
osm_1001400167_3_rev,149
osm_1001400169_1_fwd,178
osm_1001400169_1_rev,149
osm_1001411340_10_fwd,390
osm_1001411340_10_rev,415
