scenario,activity_pair,vehicle_trips,share
real,1 -> 2,25398.45530216,0.11650432423499496
real,2 -> 1,20404.5925384,0.09359715922466129
real,5 -> 1,16627.04554969,0.07626931176504942
real,1 -> 16,10332.08703625,0.04739393808697836
real,1 -> 5,8916.19839794,0.04089916716347714
real,16 -> 1,8581.46423419,0.039363720338774257
real,5 -> 5,5764.33101679,0.026441351719560163
real,2 -> 5,4207.58863152,0.01930047573138811
real,2 -> 2,3805.89414357,0.017457877655608398
real,1 -> 13,3730.11951723,0.017110294641961496
real,7 -> 1,3677.47832405,0.016868826152425513
real,1 -> 9,3629.82517579,0.0166502381410818
real,13 -> 1,3599.03584147,0.016509005513115963
real,10 -> 1,3560.12682489,0.01633052738799488
real,1 -> 10,3465.98232694,0.01589868060898329
real,16 -> 2,3283.1692841,0.015060105594714369
real,6 -> 1,3131.10628369,0.014362582974021522
real,2 -> 16,2749.77479681,0.012613391274764836
real,11 -> 1,2592.51481118,0.0118920297534809
real,8 -> 1,2548.90339387,0.01169198141817132
real,1 -> 7,2489.02224168,0.011417302777785047
real,1 -> 6,2318.12330407,0.010633378519326763
real,9 -> 1,2307.82922763,0.01058615893825391
real,1 -> 18,1956.99048969,0.008976839411027305
real,1 -> 11,1928.4312952,0.008845836575808808
real,2 -> 7,1884.31548103,0.008643474540133537
real,1 -> 4,1838.68659793,0.00843417196137746
real,1 -> 12,1727.03416986,0.007922015197246002
real,10 -> 5,1641.07882164,0.00752773256707742
real,18 -> 1,1606.39179498,0.007368620977310744
real,6 -> 2,1593.78038289,0.007310771630737705
real,1 -> 8,1523.1772397,0.0069869105380704665
real,1 -> 3,1493.04912649,0.00684871097324465
real,4 -> 1,1479.203627,0.006785200789550872
real,7 -> 2,1453.00364737,0.00666501982242315
real,12 -> 1,1434.19076551,0.006578723940963552
real,2 -> 6,1428.62792519,0.006553206839840726
real,3 -> 1,1369.56188311,0.00628226716119102
real,1 -> 14,1322.74415266,0.006067511264290884
real,14 -> 1,1292.45378978,0.005928567449945329
real,5 -> 2,1267.52716138,0.005814227425615115
real,16 -> 5,1263.32707982,0.00579496138529659
real,16 -> 16,1182.83439773,0.005425736350892226
real,2 -> 10,1103.61394367,0.005062347107095779
real,9 -> 5,1085.44501685,0.004979005088218783
real,2 -> 8,1068.88463914,0.004903041586059825
real,5 -> 10,972.53632684,0.004461085770946174
real,5 -> 8,963.92248854,0.004421573548715648
real,7 -> 5,923.0568692,0.004234120362724202
real,8 -> 5,893.14440856,0.004096910009905119
real,5 -> 7,796.80643936,0.003655001639246718
real,5 -> 16,791.69288057,0.0036315454209776407
real,2 -> 13,772.56034694,0.003543783276589399
real,8 -> 2,757.03160291,0.003472551943505945
real,13 -> 5,752.12730529,0.0034500556194867124
real,5 -> 6,736.58460105,0.0033787602500351854
real,18 -> 5,608.44753706,0.002790987416136044
