scenario,d_activity,vehicle_trips,share
real,1,74904.36459314,0.3435910678565283
real,2,39668.65274817,0.1819626243705137
real,5,28507.51527452,0.13076577938164197
real,16,16914.13358268,0.07758620276812588
real,10,7914.83690241,0.03630585851679953
real,7,7852.62036792,0.03602046732978571
real,6,6551.54014922,0.03005232990363792
real,13,5764.83178112,0.026443648757280516
real,8,5336.90412731,0.024480717487032712
real,9,5312.61176294,0.024369286872008008
real,11,4302.79531446,0.019737194820270528
real,18,3780.59850955,0.017341844979111523
real,12,2925.56933331,0.013419771955616512
real,3,2689.72220946,0.012337926250434016
real,4,2531.40460644,0.011611713371149947
real,14,2260.55830885,0.01036932423776081
real,15,680.25958729,0.003120393842016761
real,17,105.48084039,0.0004838473002856674
synthetic,1,73086.99998448,0.3352547012793314
synthetic,2,33870.99999936,0.15536842378574833
synthetic,5,27061.99999572,0.12413510920564468
synthetic,16,23356.59998688,0.10713820451195252
synthetic,6,9679.39999836,0.044400021285624404
synthetic,10,9413.3999988,0.04317986242821163
synthetic,7,8721.1999968,0.04000469714648792
synthetic,8,7954.7999994,0.036489171782970765
synthetic,13,4428.99999948,0.020316103713480266
synthetic,9,4302.39999924,0.019735381488304282
synthetic,18,4280.3999994,0.01963446609464917
synthetic,11,4098.3999996,0.018799620560166378
synthetic,4,2402.99999928,0.011022713302008871
synthetic,3,1916.99999976,0.008793400500889224
synthetic,12,1467.99999972,0.006733809042493136
synthetic,14,1431.79999884,0.0065677573440527425
synthetic,15,482.99999988,0.0022155516126270316
synthetic,17,45.99999996,0.00021100491535722975
