scenario,departure_hour,vehicle_trips,share
real,17,19523.31493693,0.08955468301100086
real,16,18710.53700818,0.085826419137643
real,15,16427.69868727,0.07535489507244712
real,8,15508.63759887,0.07113910360950666
real,7,15228.2428107,0.06985291494464001
real,18,14463.7408551,0.06634609601987118
real,12,14174.33537598,0.06501857474451578
real,9,14101.66272721,0.06468522069858701
real,11,14015.55780027,0.06429025194134944
real,14,14001.89061578,0.06422755969986232
real,13,13547.73895443,0.06214433724494074
real,10,12155.32877923,0.05575726351979924
real,19,8992.8125705,0.04125060122884596
real,6,7653.38003317,0.035106539286357465
real,20,6932.11401279,0.03179804633675318
real,21,3788.17743128,0.017376609973442043
real,5,3585.1529660300002,0.01644532388357063
real,22,2030.39493184,0.009313550239571483
real,23,1008.28372882,0.004625061369512691
real,4,972.23062893,0.004459683515257751
real,0,474.67875322,0.0021773815263443556
real,3,368.40162292,0.0016898815937723538
real,2,203.47780276,0.0009333655777624918
real,1,136.60936697,0.0006266358246462633
synthetic,15,20391.199995,0.09353572679823365
synthetic,16,19933.59999468,0.09143668659347384
synthetic,17,19106.39999592,0.08764226777013404
synthetic,14,18862.19999616,0.08652210689351662
synthetic,13,17602.79999616,0.08074515927108242
synthetic,12,16165.59999684,0.07415263178256876
synthetic,18,15313.39999608,0.07024353636552183
synthetic,11,15180.39999744,0.0696334569420447
synthetic,10,14426.39999796,0.06617481115491482
synthetic,9,14233.79999736,0.06529134274492038
synthetic,8,12462.59999724,0.05716673608337625
synthetic,19,9821.59999764,0.045052301695145396
synthetic,7,8413.39999872,0.03859279904652484
synthetic,20,5475.7999992000005,0.02511784165976149
synthetic,6,4333.9999992,0.019880332690970504
synthetic,21,2780.1999996,0.012752953610910573
synthetic,5,1271.99999988,0.005834744620488379
synthetic,22,1270.99999992,0.005830157557290542
synthetic,23,711.99999996,0.003265989127316238
synthetic,4,204.0,0.0009357609297892458
synthetic,3,42.0,0.00019265666201543296
