scenario,o_activity,vehicle_trips,share
real,1,72650.96317093,0.3332545727113915
real,2,39703.20164166,0.18212110233467463
real,5,29922.64399853,0.1372570645300854
real,16,17390.49846524,0.07977131867662035
real,10,8075.3541849,0.037042161465229026
real,7,7812.08420665,0.03583452538884254
real,6,6544.39683438,0.030019563065720765
real,13,5856.74824231,0.026865275390460144
real,8,5510.88171764,0.025278763720643842
real,9,5410.08321054,0.024816394579927514
real,11,4254.60403921,0.01951613838631699
real,18,3901.63172487,0.017897032008916684
real,12,2762.91448817,0.01267366387183191
real,3,2705.033224,0.012408158844547058
real,4,2468.15759454,0.011321595318944406
real,14,2256.97398275,0.010352882706764125
real,15,661.15221433,0.0030327471112165023
real,17,117.07705853,0.0005370398878666686
synthetic,1,81789.99998232,0.37517591387704985
synthetic,2,42145.39999836,0.19332362102355408
synthetic,16,20653.79998776,0.0947402896089579
synthetic,5,16809.39999624,0.07710578318471024
synthetic,10,7255.39999908,0.03328097965260782
synthetic,7,7221.199998,0.033124102080012645
synthetic,11,6770.19999876,0.031055336498523572
synthetic,18,6310.99999956,0.028948956997491154
synthetic,9,5804.99999904,0.026627902924158047
synthetic,6,5206.19999928,0.023881169372524626
synthetic,13,5139.99999972,0.023577505778699562
synthetic,8,3900.3999996000002,0.01789138201066505
synthetic,4,3297.99999912,0.015128135027556193
synthetic,3,2092.99999968,0.00960072365563455
synthetic,14,1667.59999884,0.007649386889367959
synthetic,12,1261.79999976,0.00578795657344847
synthetic,15,625.9999998,0.0028715016757888023
synthetic,17,50.00000004,0.00022935316924947417
