scenario,travel_mode,vehicle_trips,share
real,4,216000.4542166,0.9908077736844415
real,5,1987.2274753,0.009115538380452298
real,3,16.71830728,7.66879351061854e-05
synthetic,4,208678.599957,0.957221964327845
synthetic,5,7993.79999796,0.03666806724823687
synthetic,1,948.0,0.004348536085491201
synthetic,12,120.0,0.0005504476057583799
synthetic,2,72.0,0.00033026856345502796
synthetic,7,72.0,0.00033026856345502796
synthetic,6,36.0,0.00016513428172751398
synthetic,8,36.0,0.00016513428172751398
synthetic,11,36.0,0.00016513428172751398
synthetic,15,12.0,5.504476057583799e-05
