link_id,volume
osm_100023902_1_fwd,28
osm_100023902_1_rev,6
osm_100023902_2_fwd,28
osm_100023902_2_rev,6
osm_100023902_3_fwd,28
osm_100023902_3_rev,6
osm_100023902_4_fwd,28
osm_100023902_4_rev,6
osm_100023941_1_fwd,28
osm_100023941_1_rev,6
osm_100034477_1_fwd,328
osm_100034477_1_rev,246
osm_100034477_2_fwd,328
osm_100034477_2_rev,246
osm_100034477_3_fwd,328
osm_100034477_3_rev,246
osm_100034477_4_fwd,328
osm_100034477_4_rev,246
osm_100034477_5_fwd,328
osm_100034477_5_rev,246
osm_100034477_6_fwd,328
osm_100034477_6_rev,246
osm_100034477_7_fwd,328
osm_100034477_7_rev,246
osm_100034477_8_fwd,328
osm_100034477_8_rev,246
osm_100034477_9_fwd,328
osm_100034477_9_rev,246
osm_100034478_10_fwd,246
osm_100034478_10_rev,340
osm_100034478_11_fwd,246
osm_100034478_11_rev,340
osm_100034478_12_fwd,246
osm_100034478_12_rev,340
osm_100034478_13_fwd,246
osm_100034478_13_rev,340
osm_100034478_14_fwd,246
osm_100034478_14_rev,340
osm_100034478_15_fwd,246
osm_100034478_15_rev,340
osm_100034478_16_fwd,246
osm_100034478_16_rev,340
osm_100034478_17_fwd,246
osm_100034478_17_rev,340
osm_100034478_18_fwd,246
osm_100034478_18_rev,340
osm_100034478_19_fwd,246
osm_100034478_19_rev,340
osm_100034478_1_fwd,246
osm_100034478_1_rev,340
osm_100034478_2_fwd,246
osm_100034478_2_rev,340
osm_100034478_3_fwd,246
osm_100034478_3_rev,340
osm_100034478_4_fwd,246
osm_100034478_4_rev,340
osm_100034478_5_fwd,246
osm_100034478_5_rev,340
osm_100034478_6_fwd,246
osm_100034478_6_rev,340
osm_100034478_7_fwd,246
osm_100034478_7_rev,340
osm_100034478_8_fwd,246
osm_100034478_8_rev,340
osm_100034478_9_fwd,246
osm_100034478_9_rev,340
osm_100034484_1_rev,12
osm_100034484_2_rev,12
osm_100034484_3_rev,12
osm_100034484_4_rev,12
osm_100034484_5_rev,12
osm_100034484_6_rev,12
osm_100035601_1_fwd,12
osm_100035601_1_rev,12
osm_100035601_2_fwd,12
osm_100035601_2_rev,12
osm_100035601_3_fwd,12
osm_100035601_3_rev,12
osm_100035601_4_fwd,12
osm_100035601_4_rev,12
osm_100035601_5_fwd,12
osm_100035601_5_rev,12
osm_100035601_6_fwd,12
osm_100035601_6_rev,12
osm_100035601_7_fwd,12
osm_100035601_7_rev,12
osm_100035601_8_fwd,12
osm_100035601_8_rev,12
osm_100035601_9_fwd,12
osm_100035601_9_rev,12
osm_100041125_1_fwd,18
osm_100041125_1_rev,144
osm_100041125_2_fwd,18
osm_100041125_2_rev,144
osm_100041125_3_fwd,18
osm_100041125_3_rev,144
osm_100041125_4_fwd,18
osm_100041125_4_rev,144
