scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
synthetic,1,785,789,1,6,1103,4,1,1.00000000,1.00000000,12.00000000
synthetic,2,3093,3063,2,5,770,4,1,1.00000000,1.00000000,12.00000000
synthetic,3,2935,679,10,5,892,4,1,1.00000000,1.00000000,12.00000000
synthetic,5,530,686,1,2,440,4,1,1.00000000,1.00000000,12.00000000
synthetic,29,3093,3027,2,6,464,4,1,1.00000000,1.00000000,12.00000000
synthetic,31,1096,687,1,16,791,4,1,1.00000000,1.00000000,12.00000000
synthetic,42,3026,3244,1,2,616,4,1,1.00000000,1.00000000,12.00000000
synthetic,45,1222,406,2,2,1019,4,1,1.00000000,1.00000000,12.00000000
synthetic,47,624,854,10,1,938,4,1,1.00000000,1.00000000,12.00000000
synthetic,49,3269,3272,5,1,918,4,1,1.00000000,1.00000000,12.00000000
synthetic,51,691,574,5,1,1131,4,2,1.00000000,0.50000000,6.00000000
synthetic,53,2979,499,7,13,1159,5,2,1.00000000,0.50000000,6.00000000
synthetic,60,467,3154,2,1,588,4,1,1.00000000,1.00000000,12.00000000
synthetic,70,3101,3101,1,16,873,4,1,1.00000000,1.00000000,12.00000000
synthetic,72,2940,719,1,18,1161,4,3,1.00000000,0.33333333,3.99999996
synthetic,74,3109,3021,1,2,401,4,1,1.00000000,1.00000000,12.00000000
synthetic,75,703,805,11,1,1258,4,1,1.00000000,1.00000000,12.00000000
synthetic,78,486,816,1,9,1199,4,1,1.00000000,1.00000000,12.00000000
synthetic,81,1183,1397,2,5,973,4,1,1.00000000,1.00000000,12.00000000
synthetic,86,3007,2986,16,9,855,4,2,1.00000000,0.50000000,6.00000000
synthetic,92,2928,721,1,2,1053,4,1,1.00000000,1.00000000,12.00000000
synthetic,98,443,841,1,16,1105,4,1,1.00000000,1.00000000,12.00000000
synthetic,112,451,2923,16,16,1188,4,2,1.00000000,0.50000000,6.00000000
synthetic,114,914,903,1,14,815,4,3,1.00000000,0.33333333,3.99999996
synthetic,120,3062,2919,5,1,856,4,2,1.00000000,0.50000000,6.00000000
synthetic,125,2976,2935,13,6,1346,4,2,1.00000000,0.50000000,6.00000000
synthetic,131,2992,514,1,2,415,4,1,1.00000000,1.00000000,12.00000000
synthetic,132,2919,3091,1,2,545,4,1,1.00000000,1.00000000,12.00000000
synthetic,135,3311,540,16,1,969,4,2,1.00000000,0.50000000,6.00000000
synthetic,138,3243,3021,1,2,529,4,1,1.00000000,1.00000000,12.00000000
synthetic,140,3271,3068,6,1,782,4,1,1.00000000,1.00000000,12.00000000
synthetic,145,587,3341,18,5,630,4,2,1.00000000,0.50000000,6.00000000
synthetic,147,3009,2984,2,10,1008,4,1,1.00000000,1.00000000,12.00000000
synthetic,149,2931,2929,8,1,1155,4,1,1.00000000,1.00000000,12.00000000
synthetic,153,893,1202,5,9,544,4,1,1.00000000,1.00000000,12.00000000
synthetic,154,816,2977,5,1,922,4,1,1.00000000,1.00000000,12.00000000
synthetic,156,3063,3068,12,8,817,4,1,1.00000000,1.00000000,12.00000000
synthetic,160,1242,1105,1,16,579,4,3,1.00000000,0.33333333,3.99999996
synthetic,166,562,755,16,1,845,4,2,1.00000000,0.50000000,6.00000000
synthetic,167,3244,3079,2,1,1004,4,1,1.00000000,1.00000000,12.00000000
synthetic,169,3271,3038,2,1,914,4,1,1.00000000,1.00000000,12.00000000
synthetic,183,2911,714,1,18,960,4,1,1.00000000,1.00000000,12.00000000
synthetic,184,562,3094,2,1,1068,4,1,1.00000000,1.00000000,12.00000000
synthetic,186,3176,3023,16,1,1087,4,1,1.00000000,1.00000000,12.00000000
synthetic,188,511,835,11,8,1439,4,2,1.00000000,0.50000000,6.00000000
synthetic,192,539,2914,1,12,828,4,1,1.00000000,1.00000000,12.00000000
synthetic,193,658,479,2,5,984,4,2,1.00000000,0.50000000,6.00000000
synthetic,197,917,917,1,18,855,4,1,1.00000000,1.00000000,12.00000000
synthetic,201,637,3183,16,1,609,4,1,1.00000000,1.00000000,12.00000000
synthetic,202,628,617,7,1,1163,5,1,1.00000000,1.00000000,12.00000000
synthetic,205,756,624,1,18,360,4,1,1.00000000,1.00000000,12.00000000
synthetic,207,2917,1246,5,1,880,4,2,1.00000000,0.50000000,6.00000000
synthetic,208,3184,3184,7,5,815,4,1,1.00000000,1.00000000,12.00000000
synthetic,209,3166,466,16,5,887,4,1,1.00000000,1.00000000,12.00000000
synthetic,212,3068,3340,1,9,609,4,2,1.00000000,0.50000000,6.00000000
synthetic,217,2928,981,1,7,1110,4,1,1.00000000,1.00000000,12.00000000
synthetic,219,647,3065,2,5,817,4,1,1.00000000,1.00000000,12.00000000
synthetic,220,3060,586,2,2,680,4,1,1.00000000,1.00000000,12.00000000
synthetic,224,3302,2977,5,1,939,4,2,1.00000000,0.50000000,6.00000000
synthetic,228,3192,625,1,10,778,4,1,1.00000000,1.00000000,12.00000000
synthetic,231,898,717,1,16,492,4,2,1.00000000,0.50000000,6.00000000
synthetic,232,2929,893,10,5,917,4,1,1.00000000,1.00000000,12.00000000
synthetic,242,584,2969,1,2,460,4,1,1.00000000,1.00000000,12.00000000
synthetic,246,467,3161,16,1,1201,1,1,1.00000000,1.00000000,12.00000000
synthetic,252,2939,3072,1,2,432,4,3,1.00000000,0.33333333,3.99999996
synthetic,253,1266,623,1,16,579,5,1,1.00000000,1.00000000,12.00000000
synthetic,260,2982,3382,2,5,869,4,1,1.00000000,1.00000000,12.00000000
synthetic,261,893,3307,5,1,988,4,1,1.00000000,1.00000000,12.00000000
synthetic,287,3340,537,18,1,694,4,1,1.00000000,1.00000000,12.00000000
synthetic,317,3077,3035,6,8,919,5,2,1.00000000,0.50000000,6.00000000
synthetic,334,3019,3069,2,1,1102,4,1,1.00000000,1.00000000,12.00000000
synthetic,345,482,539,5,1,888,4,1,1.00000000,1.00000000,12.00000000
synthetic,364,1022,2982,10,5,623,4,1,1.00000000,1.00000000,12.00000000
synthetic,365,3037,3072,2,1,763,4,1,1.00000000,1.00000000,12.00000000
synthetic,368,3269,3027,2,7,1069,4,1,1.00000000,1.00000000,12.00000000
synthetic,369,900,2986,16,1,815,4,1,1.00000000,1.00000000,12.00000000
synthetic,382,3019,662,1,16,1129,4,1,1.00000000,1.00000000,12.00000000
synthetic,385,2968,3027,1,4,514,4,1,1.00000000,1.00000000,12.00000000
synthetic,395,3013,466,2,1,870,4,1,1.00000000,1.00000000,12.00000000
synthetic,396,2961,3378,2,6,940,4,1,1.00000000,1.00000000,12.00000000
synthetic,399,3380,3395,10,1,1095,4,1,1.00000000,1.00000000,12.00000000
synthetic,400,3256,3111,2,10,1042,4,1,1.00000000,1.00000000,12.00000000
synthetic,408,3254,981,2,1,904,4,1,1.00000000,1.00000000,12.00000000
synthetic,410,3254,3241,16,8,439,4,2,1.00000000,0.50000000,6.00000000
synthetic,423,2986,3096,18,2,810,4,1,1.00000000,1.00000000,12.00000000
synthetic,428,3158,630,2,10,951,4,1,1.00000000,1.00000000,12.00000000
synthetic,430,735,933,2,1,1001,4,1,1.00000000,1.00000000,12.00000000
synthetic,434,546,2904,2,1,921,4,1,1.00000000,1.00000000,12.00000000
synthetic,442,2961,624,10,1,993,4,2,1.00000000,0.50000000,6.00000000
synthetic,448,691,2852,13,5,870,4,1,1.00000000,1.00000000,12.00000000
synthetic,450,624,624,2,18,988,4,1,1.00000000,1.00000000,12.00000000
synthetic,452,743,641,9,5,825,4,1,1.00000000,1.00000000,12.00000000
synthetic,454,2913,558,1,8,388,4,1,1.00000000,1.00000000,12.00000000
synthetic,456,444,686,1,2,529,4,1,1.00000000,1.00000000,12.00000000
synthetic,463,900,2935,9,5,788,4,2,1.00000000,0.50000000,6.00000000
synthetic,466,3324,3376,1,16,984,4,2,1.00000000,0.50000000,6.00000000
synthetic,470,2909,3324,2,1,920,4,1,1.00000000,1.00000000,12.00000000
synthetic,478,697,694,1,16,473,4,2,1.00000000,0.50000000,6.00000000
synthetic,491,2920,3093,5,5,691,4,1,1.00000000,1.00000000,12.00000000
synthetic,493,3089,695,1,2,561,4,1,1.00000000,1.00000000,12.00000000
synthetic,499,3295,3034,10,16,781,4,1,1.00000000,1.00000000,12.00000000
synthetic,501,1342,2867,2,1,900,4,1,1.00000000,1.00000000,12.00000000
synthetic,508,3051,981,1,10,975,4,2,1.00000000,0.50000000,6.00000000
synthetic,520,415,695,1,2,514,4,1,1.00000000,1.00000000,12.00000000
synthetic,527,3021,3021,1,2,532,4,1,1.00000000,1.00000000,12.00000000
