link_id,observed_volume,count_id,match_distance_m,lon,lat,road_name,route_id,county
osm_1016723277_10,3694.00000000,S2009030042,0.695,-76.65990998,39.43601407,Timonium Rd,03000CO00798  01WW**************,Baltimore
osm_43931120_5,10361.00000000,B0740,0.528,-76.49097679,38.98292291,King George St,02000MD00450  01EE**************,Anne Arundel
osm_1206795151_13,10013.00000000,B1761,0.306,-76.99006366,38.52578502,Port Tobacco Rd,08000MD00006  01EE**************,Charles
osm_180104300_3,6331.00000000,S1999030111,0.860,-76.74270044,39.31247244,Ramp 3 Fr Md 122 Eb To Ramp 2 (to Is695),03000RP00695  02NNIS17        03,Baltimore
osm_420150453_1,6011.00000000,S2012030129,0.700,-76.54017388,39.40369847,Waltham Woods Rd,03000CO03534  01NN**************,Baltimore
osm_986131028_23,52410.00000000,B0845,1.372,-76.68857726,39.09506923,No Name,02000MD00032  01NN**************,Anne Arundel
osm_17623814_66,4502.00000000,S2011040633,1.337,-76.43398438,38.37222536,Thunderbird Dr,04000CO01431  01NN**************,Calvert
osm_11538007_8,2720.00000000,S2013060375,0.869,-76.92625054,39.58798809,Coon Club Rd,06000CO00448  01EE**************,Carroll
osm_5285475_38,1983.00000000,S2010030147,0.412,-76.64505781,39.70451577,Ramp 5 Fr Is 83 Sb To Md 439,03000RP00083  02SSIS36        05,Baltimore
osm_432395723_4,492.00000000,B010029,1.300,-78.76149359,39.63621921,E Second St,01041MU03210  01EE**************,Allegany
osm_92119452_3,3393.00000000,S2010020103,0.918,-76.64730860,39.14342281,Ramp 6 Fr Md 174 Eb To Is 97 Sb,02000RP00097  02EEIS13        06,Anne Arundel
osm_447580962_5,45110.00000000,B0639,0.011,-76.70249347,38.80999706,Southern Md Blvd,02000MD00004  01NN**************,Anne Arundel
osm_178249692_5,2711.00000000,S2002030025,2.022,-76.53143274,39.38730436,Ramp 6 Fr Is 695 Eb To Md 147 Sb,03000RP00695  02EEIS31        06,Baltimore
osm_27413339_12,2910.00000000,S2005060005,1.031,-77.16336769,39.36067940,Ramp 1 Fr Md 27 Nb To Is 70 Wb,06000RP00070  02NNIS68        01,Carroll
osm_5998774_21,11040.00000000,S2010030121,1.381,-76.71123827,39.29990503,Liberty Rd,03000RP00070  02SSIS94        03,Baltimore
osm_5311798_1,3305.00000000,S2009030052,0.399,-76.52877522,39.35621984,Maple Ave,03000CO04234  01SS**************,Baltimore
osm_83230976_5,9743.00000000,S2001030126,1.738,-76.45679915,39.31736721,Ramp 5 Fr Md 702 Sb To Md 150 Eb,03000RP00702  02SSMD1         05,Baltimore
osm_11558469_2,255.00000000,B100060,0.620,-77.30988896,39.57933464,Legore Rd,10000CO00519  01NN**************,Frederick
osm_127673038_45,4422.00000000,B0929,0.350,-76.70813899,39.49005546,Falls Rd,03000MD00025  01NN**************,Baltimore
osm_372415982_130,1103.00000000,B010039,1.575,-78.70773696,39.71295384,Bedford Rd,01000MD00807  01NN**************,Allegany
osm_187916290_15,8932.00000000,S2007020018,0.773,-76.78045713,39.11535734,Ramp 6 Fr Md 32 Eb To Md 295 Sb,02000RP00295  02SSMD4         06,Anne Arundel
osm_165453978_1,12630.00000000,S2012021530,2.977,-76.62356271,39.09175804,Veterans Hwy,02000CO05461  01NN**************,Anne Arundel
osm_119540837_3,105.00000000,S2014120315,0.163,-76.28943808,39.49324029,Lilly Ct,12000CO02668  01SS**************,Harford
osm_993195748_6,5884.00000000,B1438,0.033,-75.79310000,38.69605471,Preston Rd,05000MD00318  01EE**************,Caroline
osm_445117374_1,1084.00000000,S2006020031,0.184,-76.78497144,39.12256727,Ramp 2 Fr Md 32 Wb To Guilford Rd,02000RP00032  02NNMD11        02,Anne Arundel
