time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	68	14	0	54	68	14	0	54
00:05:00	300	19	17	0	56	19	17	0	56
00:10:00	600	3	23	0	36	3	23	0	36
00:15:00	900	10	24	0	22	10	24	0	22
00:20:00	1200	53	11	0	64	53	11	0	64
00:25:00	1500	14	5	0	73	14	5	0	73
00:30:00	1800	34	3	0	104	34	3	0	104
00:35:00	2100	11	13	0	102	11	13	0	102
00:40:00	2400	16	15	0	103	16	15	0	103
00:45:00	2700	45	52	0	96	45	52	0	96
00:50:00	3000	6	12	0	90	6	12	0	90
00:55:00	3300	59	22	0	127	59	22	0	127
01:00:00	3600	4	16	0	115	4	16	0	115
01:05:00	3900	0	32	0	83	0	32	0	83
01:10:00	4200	7	46	0	44	7	46	0	44
01:15:00	4500	11	24	0	31	11	24	0	31
01:20:00	4800	4	23	0	12	4	23	0	12
01:25:00	5100	0	8	0	4	0	8	0	4
01:30:00	5400	33	5	0	32	33	5	0	32
01:35:00	5700	10	11	0	31	10	11	0	31
01:40:00	6000	45	16	0	60	45	16	0	60
01:45:00	6300	0	3	0	57	0	3	0	57
01:50:00	6600	0	13	0	44	0	13	0	44
01:55:00	6900	0	44	0	0	0	44	0	0
02:00:00	7200	21	12	0	9	21	12	0	9
02:05:00	7500	13	0	0	22	13	0	0	22
02:10:00	7800	0	4	0	18	0	4	0	18
02:15:00	8100	1	5	0	14	1	5	0	14
02:20:00	8400	0	0	0	14	0	0	0	14
02:25:00	8700	5	0	0	19	5	0	0	19
02:30:00	9000	20	5	0	34	20	5	0	34
02:35:00	9300	15	0	0	49	15	0	0	49
02:40:00	9600	5	12	0	42	5	12	0	42
02:45:00	9900	0	0	0	42	0	0	0	42
02:50:00	10200	36	17	0	61	36	17	0	61
02:55:00	10500	69	32	0	98	69	32	0	98
03:00:00	10800	56	10	0	144	56	10	0	144
03:05:00	11100	0	24	0	120	0	24	0	120
03:10:00	11400	0	41	0	79	0	41	0	79
03:15:00	11700	26	50	0	55	26	50	0	55
03:20:00	12000	0	6	0	49	0	6	0	49
03:25:00	12300	0	23	0	26	0	23	0	26
03:30:00	12600	34	0	0	60	34	0	0	60
03:35:00	12900	20	0	0	80	20	0	0	80
03:40:00	13200	0	14	0	66	0	14	0	66
03:45:00	13500	4	27	0	43	4	27	0	43
03:50:00	13800	51	30	0	64	51	30	0	64
03:55:00	14100	30	27	0	67	30	27	0	67
04:00:00	14400	96	29	0	134	96	29	0	134
04:05:00	14700	0	18	0	116	0	18	0	116
04:10:00	15000	0	10	0	106	0	10	0	106
04:15:00	15300	28	38	0	96	28	38	0	96
04:20:00	15600	28	10	0	114	28	10	0	114
04:25:00	15900	76	10	0	180	76	10	0	180
04:30:00	16200	137	39	0	278	137	39	0	278
04:35:00	16500	50	19	0	309	50	19	0	309
04:40:00	16800	69	12	0	366	69	12	0	366
04:45:00	17100	153	104	0	415	153	104	0	415
04:50:00	17400	84	114	0	385	84	114	0	385
04:55:00	17700	47	105	0	327	47	105	0	327
05:00:00	18000	426	118	0	635	426	118	0	635
05:05:00	18300	124	87	0	672	124	87	0	672
05:10:00	18600	63	99	0	636	63	99	0	636
05:15:00	18900	239	127	0	748	239	127	0	748
05:20:00	19200	212	152	0	808	212	152	0	808
05:25:00	19500	55	139	0	724	55	139	0	724
05:30:00	19800	621	257	0	1088	621	257	0	1088
05:35:00	20100	115	215	0	988	115	215	0	988
05:40:00	20400	268	234	0	1022	268	234	0	1022
05:45:00	20700	392	302	0	1112	392	302	0	1112
05:50:00	21000	228	313	0	1027	228	313	0	1027
05:55:00	21300	209	280	0	956	209	280	0	956
06:00:00	21600	971	278	0	1649	971	278	0	1649
06:05:00	21900	403	245	0	1807	403	245	0	1807
06:10:00	22200	365	252	0	1920	365	252	0	1920
06:15:00	22500	565	317	0	2168	565	317	0	2168
06:20:00	22800	370	487	0	2051	370	487	0	2051
06:25:00	23100	309	606	0	1754	309	606	0	1754
06:30:00	23400	1285	454	0	2585	1285	454	0	2585
06:35:00	23700	444	612	0	2417	444	612	0	2417
06:40:00	24000	543	668	0	2292	543	668	0	2292
06:45:00	24300	776	671	0	2397	776	671	0	2397
06:50:00	24600	529	773	0	2153	529	773	0	2153
06:55:00	24900	406	683	0	1876	406	683	0	1876
07:00:00	25200	1895	741	0	3030	1895	741	0	3030
07:05:00	25500	608	702	0	2936	608	702	0	2936
07:10:00	25800	763	864	0	2835	763	864	0	2835
07:15:00	26100	1587	1018	0	3404	1587	1018	0	3404
07:20:00	26400	823	1108	0	3119	823	1108	0	3119
07:25:00	26700	749	1070	0	2798	749	1070	0	2798
07:30:00	27000	2386	1309	0	3875	2386	1309	0	3875
07:35:00	27300	783	1320	0	3338	783	1320	0	3338
07:40:00	27600	943	1122	0	3159	943	1122	0	3159
07:45:00	27900	1563	1359	0	3363	1563	1359	0	3363
07:50:00	28200	998	1440	0	2921	998	1440	0	2921
07:55:00	28500	858	1029	0	2750	858	1029	0	2750
08:00:00	28800	2121	1413	0	3458	2121	1413	0	3458
