pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_1---act_1	4	0	0	4	0	0	0	0	0	0	0	0	0
act_1---act_10	605	881	510	325	150	111	65	51	15	0	19	0	16
act_1---act_11	382	389	414	215	223	152	25	18	20	17	14	0	9
act_1---act_12	245	479	279	220	65	22	12	16	1	0	1	0	0
act_1---act_13	954	1570	720	325	105	56	57	16	8	27	0	0	0
act_1---act_14	219	295	245	126	74	54	33	35	17	22	15	5	0
act_1---act_15	40	81	101	48	29	10	19	3	0	2	0	0	0
act_1---act_16	2425	3142	1720	835	357	233	90	65	30	16	12	3	17
act_1---act_18	435	587	399	239	149	50	66	48	26	43	22	1	37
act_1---act_2	1626	3526	4258	4071	3309	2229	1875	1034	687	474	380	150	315
act_1---act_3	426	519	449	196	84	64	66	25	11	0	8	0	3
act_1---act_4	380	734	347	210	232	160	18	75	25	12	0	0	0
act_1---act_5	2228	3181	1692	568	264	127	67	49	7	12	20	4	0
act_1---act_6	597	655	274	118	31	10	26	15	0	0	10	9	2
act_1---act_7	435	770	476	258	84	57	26	39	20	17	10	15	4
act_1---act_8	417	432	133	95	44	14	3	11	6	0	0	7	0
act_1---act_9	337	624	615	313	232	161	124	36	12	6	14	0	0
act_10---act_1	579	992	452	399	161	87	23	43	3	0	17	5	16
act_10---act_10	123	140	42	11	0	0	0	0	0	0	0	0	0
act_10---act_11	17	9	3	9	4	10	0	0	0	0	0	0	0
act_10---act_12	33	22	12	8	0	7	0	0	0	0	0	0	0
act_10---act_13	4	8	5	0	0	6	0	0	3	0	0	0	0
act_10---act_14	10	3	7	0	2	0	0	0	0	0	0	0	0
act_10---act_16	29	58	14	8	11	13	0	0	0	0	0	0	0
act_10---act_18	76	35	31	5	0	0	0	0	0	0	0	0	0
act_10---act_2	76	123	58	67	22	11	6	4	13	0	0	0	0
act_10---act_3	23	10	20	1	1	0	0	0	0	0	0	0	0
act_10---act_4	8	0	0	0	0	0	0	0	0	0	0	0	0
act_10---act_5	599	350	170	39	38	29	12	0	0	0	0	0	0
act_10---act_6	79	77	23	9	4	0	0	5	0	0	0	0	0
act_10---act_7	141	34	46	13	0	1	2	0	5	0	0	0	0
act_10---act_8	51	26	34	22	0	2	0	0	0	0	0	0	0
act_10---act_9	32	18	57	0	7	0	0	0	0	0	0	0	0
act_11---act_1	366	431	385	214	214	188	68	14	23	24	8	0	8
act_11---act_10	15	11	5	11	0	4	0	0	0	0	0	0	0
act_11---act_11	9	34	10	17	0	0	0	0	0	0	0	0	0
act_11---act_12	0	22	52	15	11	0	0	0	0	0	0	0	0
act_11---act_13	12	0	6	5	1	16	0	0	0	0	0	0	0
act_11---act_14	0	2	0	0	0	15	3	0	0	0	0	0	0
act_11---act_15	0	0	0	10	0	0	3	0	0	0	0	0	0
act_11---act_16	4	16	22	76	26	17	11	2	0	0	0	0	0
act_11---act_18	9	19	0	4	0	0	0	0	0	0	0	0	0
act_11---act_2	0	51	20	20	8	0	0	0	0	0	0	0	0
act_11---act_3	15	0	0	0	2	0	0	0	0	0	0	0	0
act_11---act_4	7	4	0	0	0	0	0	0	0	0	0	0	0
act_11---act_5	103	126	87	64	19	7	0	17	15	0	0	5	0
act_11---act_6	11	27	3	0	4	6	2	0	0	0	0	0	0
act_11---act_7	36	53	8	5	0	4	10	0	0	0	0	0	0
act_11---act_8	20	34	6	4	3	0	0	0	0	6	10	0	0
act_11---act_9	0	6	0	0	7	0	1	0	0	0	0	0	0
act_12---act_1	241	444	234	153	54	40	16	0	1	0	10	0	0
act_12---act_10	8	13	22	0	3	0	0	0	0	0	0	0	0
act_12---act_11	9	0	15	3	0	0	9	8	0	0	0	0	0
act_12---act_12	8	11	4	6	0	0	0	0	0	0	0	0	0
act_12---act_13	9	8	2	0	3	0	0	0	0	0	0	0	0
act_12---act_14	3	0	0	0	0	0	0	0	0	0	0	0	0
act_12---act_16	3	13	3	12	0	0	0	0	0	0	0	0	0
act_12---act_18	4	17	26	3	0	0	0	0	0	0	0	0	1
act_12---act_2	5	3	10	13	11	0	8	0	0	0	0	0	6
act_12---act_3	3	0	0	0	0	0	0	0	0	0	0	0	0
act_12---act_4	0	8	1	0	0	0	0	0	16	0	0	0	0
act_12---act_5	132	113	64	13	13	20	1	4	0	0	0	0	0
act_12---act_6	6	10	1	6	0	0	0	0	0	0	0	0	0
