time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	12	0	0	12	12	0	0	12
02:25:00	8700	0	0	0	12	0	0	0	12
02:30:00	9000	0	0	0	12	0	0	0	12
02:35:00	9300	0	0	0	12	0	0	0	12
02:40:00	9600	0	0	0	12	0	0	0	12
02:45:00	9900	6	0	0	18	6	0	0	18
02:50:00	10200	0	9	0	9	0	9	0	9
02:55:00	10500	0	3	0	6	0	3	0	6
03:00:00	10800	0	3	0	3	0	3	0	3
03:05:00	11100	0	3	0	0	0	3	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	12	0	0	12	12	0	0	12
03:20:00	12000	12	0	0	24	12	0	0	24
03:25:00	12300	12	12	0	24	12	12	0	24
03:30:00	12600	0	3	0	21	0	3	0	21
03:35:00	12900	24	9	0	36	24	9	0	36
03:40:00	13200	12	22	0	26	12	22	0	26
03:45:00	13500	0	2	0	24	0	2	0	24
03:50:00	13800	12	0	0	36	12	0	0	36
03:55:00	14100	12	0	0	48	12	0	0	48
04:00:00	14400	0	10	0	38	0	10	0	38
04:05:00	14700	0	14	0	24	0	14	0	24
04:10:00	15000	39	0	0	63	39	0	0	63
04:15:00	15300	24	12	0	75	24	12	0	75
04:20:00	15600	36	0	0	111	36	0	0	111
04:25:00	15900	60	0	0	171	60	0	0	171
04:30:00	16200	12	0	0	183	12	0	0	183
04:35:00	16500	18	12	0	189	18	12	0	189
04:40:00	16800	48	12	0	225	48	12	0	225
04:45:00	17100	24	0	0	249	24	0	0	249
04:50:00	17400	96	36	0	309	96	36	0	309
04:55:00	17700	88	84	0	313	88	84	0	313
05:00:00	18000	51	31	0	333	51	31	0	333
05:05:00	18300	156	51	0	438	156	51	0	438
05:10:00	18600	118	50	0	506	118	50	0	506
05:15:00	18900	84	39	0	551	84	39	0	551
05:20:00	19200	162	32	0	681	162	32	0	681
05:25:00	19500	186	99	0	768	186	99	0	768
05:30:00	19800	130	125	0	773	130	125	0	773
05:35:00	20100	152	118	0	807	152	118	0	807
05:40:00	20400	267	77	0	997	267	77	0	997
05:45:00	20700	232	166	0	1063	232	166	0	1063
05:50:00	21000	226	122	0	1167	226	122	0	1167
05:55:00	21300	300	102	0	1365	300	102	0	1365
06:00:00	21600	229	199	0	1395	229	199	0	1395
06:05:00	21900	344	220	0	1519	344	220	0	1519
06:10:00	22200	307	239	0	1587	307	239	0	1587
06:15:00	22500	387	365	0	1609	387	365	0	1609
06:20:00	22800	442	306	0	1745	442	306	0	1745
06:25:00	23100	389	292	0	1842	389	292	0	1842
06:30:00	23400	508	340	0	2010	508	340	0	2010
06:35:00	23700	464	461	0	2013	464	461	0	2013
06:40:00	24000	457	341	0	2129	457	341	0	2129
06:45:00	24300	530	314	0	2345	530	314	0	2345
06:50:00	24600	665	408	0	2602	665	408	0	2602
06:55:00	24900	633	517	0	2718	633	517	0	2718
07:00:00	25200	504	382	0	2840	504	382	0	2840
07:05:00	25500	852	551	0	3141	852	551	0	3141
07:10:00	25800	733	452	0	3422	733	452	0	3422
07:15:00	26100	661	556	0	3527	661	556	0	3527
07:20:00	26400	850	548	0	3829	850	548	0	3829
07:25:00	26700	1063	686	0	4206	1063	686	0	4206
07:30:00	27000	816	854	0	4168	816	854	0	4168
07:35:00	27300	1120	686	0	4602	1120	686	0	4602
07:40:00	27600	1091	913	0	4780	1091	913	0	4780
07:45:00	27900	870	814	0	4836	870	814	0	4836
07:50:00	28200	899	902	0	4833	899	902	0	4833
07:55:00	28500	1009	1028	0	4814	1009	1028	0	4814
08:00:00	28800	865	976	0	4703	865	976	0	4703
08:05:00	29100	1044	880	0	4867	1044	880	0	4867
08:10:00	29400	1143	1077	0	4933	1143	1077	0	4933
08:15:00	29700	1186	1213	0	4906	1186	1213	0	4906
08:20:00	30000	1036	1056	0	4886	1036	1056	0	4886
08:25:00	30300	1176	1095	0	4967	1176	1095	0	4967
08:30:00	30600	961	1139	0	4789	961	1139	0	4789
08:35:00	30900	1011	1057	0	4743	1011	1057	0	4743
08:40:00	31200	1132	844	0	5031	1132	844	0	5031
08:45:00	31500	962	1118	0	4875	962	1118	0	4875
08:50:00	31800	1017	1004	0	4888	1017	1004	0	4888
08:55:00	32100	1048	950	0	4986	1048	950	0	4986
09:00:00	32400	1076	1168	0	4894	1076	1168	0	4894
09:05:00	32700	1076	955	0	5015	1076	955	0	5015
