pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_1---act_1	130	55	44	30	12	20	45	27	14	14	27	27	30
act_1---act_10	457	411	303	252	327	211	190	214	126	115	64	93	208
act_1---act_11	251	188	176	122	122	90	128	82	92	55	38	46	148
act_1---act_12	234	286	78	171	79	131	47	88	56	48	36	35	113
act_1---act_13	430	591	398	319	264	295	199	161	145	150	39	80	226
act_1---act_14	205	139	177	139	86	75	90	56	35	69	33	39	58
act_1---act_15	44	14	66	29	13	27	0	26	28	12	0	0	12
act_1---act_16	2181	2095	1463	962	732	800	559	555	457	348	213	215	620
act_1---act_18	265	266	171	197	131	178	136	60	92	27	43	48	202
act_1---act_2	2339	2457	3035	3257	2729	2596	2326	1908	1514	999	827	540	1833
act_1---act_3	143	196	259	165	96	156	108	71	51	111	46	46	112
act_1---act_4	318	334	265	191	258	173	159	174	153	131	127	85	209
act_1---act_5	1619	1814	1205	968	527	623	704	486	489	316	357	256	614
act_1---act_6	238	250	264	175	129	119	133	101	44	46	12	48	36
act_1---act_7	271	420	261	290	270	155	114	86	73	105	79	57	135
act_1---act_8	186	132	69	54	109	49	30	48	19	35	18	15	66
act_1---act_9	318	340	265	317	241	171	137	141	151	86	71	54	197
act_10---act_1	399	380	237	365	284	166	213	209	209	77	68	56	200
act_10---act_10	72	20	59	22	19	24	0	60	0	12	36	0	12
act_10---act_11	0	0	0	12	0	0	0	0	0	4	0	0	0
act_10---act_12	4	0	0	0	2	22	0	0	0	0	0	0	0
act_10---act_13	12	0	0	12	0	0	0	0	0	0	0	0	0
act_10---act_14	24	0	4	0	0	0	0	12	0	0	0	0	0
act_10---act_15	0	0	12	0	0	0	0	0	0	0	0	0	0
act_10---act_16	36	32	36	0	0	1	29	0	24	18	6	0	18
act_10---act_18	24	0	0	0	4	0	12	5	7	0	0	0	12
act_10---act_2	52	60	73	19	18	24	34	26	1	23	0	11	13
act_10---act_3	0	0	0	0	0	0	0	0	0	12	0	0	0
act_10---act_5	166	188	79	54	87	102	84	18	12	36	12	16	84
act_10---act_6	18	24	0	0	17	1	0	12	0	0	0	0	0
act_10---act_7	6	25	35	12	18	12	0	0	12	12	18	0	24
act_10---act_8	36	0	12	12	0	0	0	0	0	0	0	12	24
act_10---act_9	6	12	0	0	0	0	0	0	0	0	0	0	12
act_11---act_1	306	228	189	269	235	196	149	126	72	84	68	32	153
act_11---act_10	24	0	0	0	0	0	0	0	0	0	0	0	6
act_11---act_11	52	18	0	0	0	0	0	18	12	0	0	12	16
act_11---act_12	0	0	0	0	0	4	0	0	0	0	0	0	6
act_11---act_13	0	0	0	0	0	0	12	0	0	0	0	0	0
act_11---act_14	6	0	0	6	0	0	0	0	0	0	0	0	6
act_11---act_16	12	0	0	18	13	11	12	9	3	0	12	6	18
act_11---act_18	0	0	0	6	6	0	0	6	6	0	0	0	0
act_11---act_2	0	4	0	44	4	12	18	0	6	0	12	12	12
act_11---act_4	5	13	0	0	0	0	0	0	0	0	0	0	0
act_11---act_5	63	88	11	0	9	39	27	21	6	0	2	22	6
act_11---act_6	12	0	0	12	0	0	0	12	0	0	0	0	0
act_11---act_7	22	14	4	18	0	12	0	6	0	0	19	5	0
act_11---act_8	12	6	13	17	3	9	0	0	0	0	0	0	0
act_11---act_9	6	6	0	0	0	0	0	0	0	0	1	11	0
act_12---act_1	185	176	157	50	53	88	64	57	72	21	15	12	63
act_12---act_10	0	6	0	0	0	0	0	12	0	12	0	0	0
act_12---act_11	6	0	15	2	11	0	0	0	0	0	0	0	12
act_12---act_12	24	0	12	6	0	0	0	12	0	0	0	0	0
act_12---act_16	0	4	12	18	0	0	2	2	12	0	0	0	0
act_12---act_18	18	0	0	0	0	0	0	0	12	0	12	0	0
act_12---act_2	12	24	5	20	23	0	0	0	0	0	0	0	0
act_12---act_4	0	0	0	0	0	0	0	0	0	0	0	12	6
act_12---act_5	51	37	30	1	11	24	0	6	6	0	0	23	1
act_12---act_6	12	0	12	0	0	0	0	0	0	0	0	0	0
act_12---act_7	26	0	4	3	0	0	0	6	0	12	0	0	0
