scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,99,1844,1865,7,2,417,4,2,53.48116291,26.74058146,1.22377349
real,100,1865,1472,2,7,779,4,2,53.48116291,26.74058146,1.22377349
real,107,1843,1472,5,7,784,5,2,53.48116291,26.74058146,1.22377349
real,755,2043,2034,2,5,782,4,2,67.61797073,33.80898537,1.54725656
real,758,2043,2034,2,5,782,5,2,67.61797073,33.80898537,1.54725656
real,761,2102,2664,2,2,649,4,1,47.05847277,47.05847277,2.15361478
real,762,2664,2116,2,2,700,4,1,47.05847277,47.05847277,2.15361478
real,3551,2235,2388,11,16,915,5,4,60.17867813,15.04466953,0.68851411
real,3552,2388,2271,16,5,975,5,3,60.17867813,20.05955938,0.91801882
real,3553,2271,2235,5,11,1060,5,3,60.17867813,20.05955938,0.91801882
real,3854,2020,2019,11,5,932,4,1,20.53561244,20.53561244,0.93980522
real,4467,2495,2560,2,2,484,4,1,14.81748467,14.81748467,0.67811708
real,4653,1460,2007,2,14,935,4,1,88.69822541,88.69822541,4.05924370
real,5462,2325,2338,2,7,1080,4,1,307.69892874,307.69892874,14.08173536
real,5463,2338,2325,7,7,1170,4,1,307.69892874,307.69892874,14.08173536
real,5464,2325,2325,7,2,1250,4,1,307.69892874,307.69892874,14.08173536
real,6551,1548,1933,2,2,870,4,1,49.70706820,49.70706820,2.27482683
real,7437,1868,2018,2,8,990,4,1,179.20029951,179.20029951,8.20103991
real,8294,2032,2028,2,7,948,4,1,35.93418662,35.93418662,1.64451566
real,8854,3670,3673,1,4,600,4,3,161.00000000,53.66666667,2.45603649
real,8855,3673,3670,4,1,690,4,3,161.00000000,53.66666667,2.45603649
real,8858,2730,2707,1,18,545,4,1,138.00000000,138.00000000,6.31552241
real,8859,2707,2630,18,5,590,4,1,138.00000000,138.00000000,6.31552241
real,8860,2630,2744,5,3,640,4,1,138.00000000,138.00000000,6.31552241
real,8861,2744,2754,3,3,675,4,1,138.00000000,138.00000000,6.31552241
real,8862,2754,2730,3,1,690,4,1,138.00000000,138.00000000,6.31552241
real,8863,2730,2730,1,13,1125,4,1,138.00000000,138.00000000,6.31552241
real,8864,2730,2730,13,1,1200,4,1,138.00000000,138.00000000,6.31552241
real,8878,3674,3672,5,1,740,4,2,161.00000000,80.50000000,3.68405474
real,8879,3672,3665,1,12,1055,4,7,161.00000000,23.00000000,1.05258707
real,8880,3665,3672,12,1,1230,4,7,161.00000000,23.00000000,1.05258707
real,8881,3672,2226,1,2,480,4,1,161.00000000,161.00000000,7.36810948
real,8882,2226,3665,2,12,1035,4,1,161.00000000,161.00000000,7.36810948
real,8883,3665,3672,12,1,1235,4,1,161.00000000,161.00000000,7.36810948
real,8904,1783,1780,1,3,600,4,1,163.00000000,163.00000000,7.45963879
real,8905,1780,1842,3,3,620,4,1,163.00000000,163.00000000,7.45963879
real,8906,1842,1717,3,3,810,4,1,163.00000000,163.00000000,7.45963879
real,8907,1717,1783,3,1,890,4,1,163.00000000,163.00000000,7.45963879
real,8923,3571,1692,1,2,255,4,1,181.00000000,181.00000000,8.28340258
real,8924,1692,3571,2,1,840,4,1,181.00000000,181.00000000,8.28340258
real,8925,3571,3540,1,2,450,4,1,181.00000000,181.00000000,8.28340258
real,8926,3540,3571,2,1,1005,4,1,181.00000000,181.00000000,8.28340258
real,8934,3475,3475,1,16,450,4,2,265.00000000,132.50000000,6.06381681
real,8935,3475,3475,16,16,485,4,3,265.00000000,88.33333333,4.04254454
real,8936,3475,3475,16,1,500,4,1,265.00000000,265.00000000,12.12763361
real,8937,3475,3479,1,5,1005,4,3,265.00000000,88.33333333,4.04254454
real,8938,3479,3475,5,16,1060,4,3,265.00000000,88.33333333,4.04254454
real,8939,3475,3475,16,1,1080,4,4,265.00000000,66.25000000,3.03190840
real,8966,1499,1585,1,11,615,4,1,40.00000000,40.00000000,1.83058621
real,8967,1585,1584,11,5,710,4,1,40.00000000,40.00000000,1.83058621
real,8968,1584,1499,5,1,735,4,1,40.00000000,40.00000000,1.83058621
real,8969,1499,1504,1,12,775,4,2,40.00000000,20.00000000,0.91529310
real,8970,1504,1499,12,1,855,4,2,40.00000000,20.00000000,0.91529310
real,8971,1499,1501,1,12,900,4,2,40.00000000,20.00000000,0.91529310
real,8972,1501,1501,12,12,905,4,2,40.00000000,20.00000000,0.91529310
real,8973,1501,1499,12,1,915,4,2,40.00000000,20.00000000,0.91529310
real,8989,3637,3630,1,2,450,4,1,305.00000000,305.00000000,13.95821982
real,8990,3630,3637,2,1,945,4,1,305.00000000,305.00000000,13.95821982
real,8994,3637,1790,1,2,385,4,1,305.00000000,305.00000000,13.95821982
real,8995,1790,3637,2,1,1095,4,1,305.00000000,305.00000000,13.95821982
real,8996,3637,3650,1,4,450,4,1,305.00000000,305.00000000,13.95821982
real,8997,3650,3637,4,1,640,4,1,305.00000000,305.00000000,13.95821982
real,9000,3637,3636,1,12,1050,4,3,305.00000000,101.66666667,4.65273994
real,9001,3636,3631,12,16,1135,4,2,305.00000000,152.50000000,6.97910991
real,9002,3631,3637,16,1,1155,4,2,305.00000000,152.50000000,6.97910991
real,9005,2117,2034,2,10,795,4,2,139.00000000,69.50000000,3.18064353
real,9006,2034,2034,10,7,810,4,2,139.00000000,69.50000000,3.18064353
real,9045,1918,1920,1,2,540,4,1,311.00000000,311.00000000,14.23280775
real,9046,1920,1944,2,7,705,4,1,311.00000000,311.00000000,14.23280775
real,9047,1944,1931,7,2,780,4,1,311.00000000,311.00000000,14.23280775
real,9048,1931,1882,2,16,845,4,1,311.00000000,311.00000000,14.23280775
real,9049,1882,1920,16,2,870,4,2,311.00000000,155.50000000,7.11640388
real,9050,1920,1918,2,1,940,4,2,311.00000000,155.50000000,7.11640388
real,9051,1768,2027,1,18,825,4,2,161.00000000,80.50000000,3.68405474
real,9052,2027,1768,18,1,940,4,2,161.00000000,80.50000000,3.68405474
real,9053,1768,1747,1,7,1065,4,2,161.00000000,80.50000000,3.68405474
real,9054,1747,1768,7,1,1310,4,2,161.00000000,80.50000000,3.68405474
real,9059,2272,2160,1,2,415,4,1,137.00000000,137.00000000,6.26975775
real,9060,2160,2272,2,1,1230,4,1,137.00000000,137.00000000,6.26975775
real,9061,2272,2270,1,8,660,4,1,137.00000000,137.00000000,6.26975775
real,9062,2270,2272,8,1,700,4,1,137.00000000,137.00000000,6.26975775
real,9097,2628,2806,1,2,375,4,1,37.00000000,37.00000000,1.69329224
real,9098,2806,2637,2,5,1020,4,1,37.00000000,37.00000000,1.69329224
real,9099,2637,2628,5,1,1085,4,1,37.00000000,37.00000000,1.69329224
real,9131,1889,1939,1,2,665,4,1,81.00000000,81.00000000,3.70693707
real,9132,1939,1889,2,1,1110,4,1,81.00000000,81.00000000,3.70693707
real,9133,2097,2096,1,16,425,4,2,374.00000000,187.00000000,8.55799051
real,9134,2096,2097,16,1,440,4,1,374.00000000,374.00000000,17.11598102
real,9135,2097,2025,1,9,545,4,2,374.00000000,187.00000000,8.55799051
real,9136,2025,2097,9,1,630,4,2,374.00000000,187.00000000,8.55799051
real,9137,2097,1779,1,4,665,4,2,374.00000000,187.00000000,8.55799051
real,9138,1779,2097,4,1,905,4,2,374.00000000,187.00000000,8.55799051
real,9139,2097,2132,1,13,1020,4,2,374.00000000,187.00000000,8.55799051
real,9140,2132,2097,13,1,1140,4,2,374.00000000,187.00000000,8.55799051
