scenario,activity_pair,vehicle_trips,share
real,1 -> 2,23963.06676864,0.12616103568626327
real,2 -> 1,19368.56692904,0.10197185890765165
real,5 -> 1,14344.70609133,0.07552217729767449
real,1 -> 16,8953.46904844,0.0471383291229798
real,1 -> 5,8229.50778068,0.043326809327989664
real,16 -> 1,8204.34969673,0.04319435675179571
real,5 -> 5,4454.06827117,0.02344983100591774
real,1 -> 13,3822.83224244,0.020126492139655405
real,13 -> 1,3556.33702799,0.01872344500111284
real,2 -> 2,3364.41125082,0.017712991912764982
real,2 -> 5,3358.7268323,0.017683064519302308
real,7 -> 1,3284.69437929,0.01729329759020627
real,6 -> 1,2974.61486871,0.01566078733692525
real,16 -> 2,2807.05444884,0.014778613268183378
real,10 -> 1,2767.09885372,0.014568254581189398
real,1 -> 10,2749.60150063,0.014476134310903645
real,1 -> 9,2460.72965817,0.01295527843810498
real,2 -> 16,2385.24162235,0.012557848139515803
real,1 -> 7,2206.34867482,0.011616010445899343
real,1 -> 4,2188.68090297,0.011522992952922124
real,1 -> 18,2107.17939134,0.011093902836180761
real,11 -> 1,1955.53504662,0.010295523907033132
real,4 -> 1,1893.36768523,0.009968224451810283
real,8 -> 1,1863.50929867,0.00981102566716807
real,1 -> 11,1862.41367107,0.009805257394096973
real,1 -> 3,1849.81880215,0.009738947780113867
real,1 -> 6,1764.68891607,0.00929075495490496
real,3 -> 1,1729.79718029,0.009107056534106124
real,18 -> 1,1684.52296967,0.008868696337690355
real,9 -> 1,1641.47597229,0.008642061999728575
real,2 -> 7,1584.61874189,0.008342719384579504
real,6 -> 2,1352.90999031,0.007122816424781385
real,7 -> 2,1340.08620009,0.007055301583246334
real,1 -> 12,1334.98767966,0.007028458832937005
real,2 -> 6,1320.60014377,0.0069527111648116915
real,10 -> 5,1238.06358819,0.006518171736512106
real,12 -> 1,1200.87599222,0.006322386043989755
real,1 -> 8,1159.56881442,0.006104911528609921
real,1 -> 14,1138.78555905,0.005995491601364101
real,14 -> 1,1121.59711737,0.005904997691501961
real,2 -> 8,1083.92214143,0.00570664603518284
real,16 -> 16,1057.7561862,0.005568887206423187
real,16 -> 5,1019.12972921,0.0053655261814843135
real,2 -> 10,889.89371925,0.004685122916662997
real,9 -> 5,850.1127928,0.004475683827336623
real,7 -> 5,772.7209472,0.004068230328632312
real,5 -> 2,740.25855193,0.0038973219283152147
real,18 -> 5,731.17808146,0.0038495149606146972
real,8 -> 5,709.86475743,0.0037373043216550527
real,5 -> 16,675.81047633,0.0035580149421024464
real,5 -> 7,663.42994321,0.0034928337657593846
real,13 -> 5,628.34871519,0.003308137703987307
real,5 -> 10,628.32964653,0.003308037311081925
real,5 -> 6,627.49825528,0.003303660192653254
real,2 -> 13,604.04768328,0.003180197345450947
real,8 -> 2,556.56685353,0.0029302197146936666
real,5 -> 8,531.93784165,0.002800552603354794
real,2 -> 9,506.51557569,0.0026667091586082907
real,5 -> 18,491.61918044,0.0025882824417411744
real,2 -> 18,460.42294055,0.00242404011115642
real,11 -> 5,437.81683067,0.00230502319805285
real,18 -> 2,424.38327465,0.002234298054364206
real,10 -> 2,380.09834331,0.002001146227133933
real,16 -> 6,375.07948613,0.0019747228888399014
real,12 -> 5,358.68811217,0.001888425390482106
real,5 -> 11,333.64994409,0.0017566041487705297
real,1 -> 15,330.01274198,0.0017374549643348219
real,10 -> 10,317.38551084,0.0016709749693553375
