scenario,d_activity,vehicle_trips,share
real,1,67908.29351234,0.35752438216361904
real,2,35846.94331134,0.18872740864136447
real,5,23713.83108096,0.12484885670720051
real,16,14481.35326089,0.07624159892269987
real,7,6620.27695201,0.03485451193953678
real,10,5851.29718927,0.030805978242839097
real,13,5205.237553,0.027404595873301112
real,6,5190.24581442,0.027325667191749146
real,18,4118.72841145,0.02168432976946801
real,9,3975.53287876,0.020930432245238814
real,8,3900.54220433,0.02053562046074379
real,11,3401.68769029,0.017909245349590777
real,4,2807.39997194,0.014780432382262992
real,3,2650.04049342,0.013951964349485391
real,12,2170.80664521,0.011428888350498035
real,14,1634.3526225800001,0.00860455890441754
real,15,463.74469176,0.0024415285059846705
synthetic,1,73088.45712612,0.38479696855183537
synthetic,2,35645.79999912,0.1876684270075321
synthetic,5,22806.02856804,0.12006944738955412
synthetic,16,17385.71427288,0.0915325129489123
synthetic,7,5589.5999976,0.029428191797541203
synthetic,10,5156.99999952,0.027150634240546007
synthetic,13,4448.39999952,0.023419988627856148
synthetic,6,3992.99999928,0.021022393351375315
synthetic,9,3606.39999924,0.01898701712499213
synthetic,4,3174.59999916,0.016713671406874808
synthetic,18,3157.39999932,0.01662311664545601
synthetic,11,2852.39999904,0.01501734905737389
synthetic,8,2653.99999968,0.013972810407684284
synthetic,3,2252.79999972,0.011860567930035475
synthetic,12,2058.11428512,0.010835584290427967
synthetic,14,1656.19999884,0.008719581229762064
synthetic,15,390.39999984,0.0020553825100158318
synthetic,17,24.0,0.00012635548222488945
