scenario,departure_hour,vehicle_trips,share
real,16,16955.26396182,0.08926627306971313
real,17,16370.28187403,0.08618645249557517
real,15,14462.43470449,0.07614199628451682
real,7,13961.80319173,0.07350626560960842
real,8,13297.3866268,0.07000823746621668
real,12,13167.9080331,0.06932655704366866
real,11,12240.70658727,0.06444501596943526
real,18,12221.14709938,0.06434203894760746
real,14,12026.10966444,0.06331520356684459
real,9,11188.24531066,0.05890400546528016
real,13,10768.74553797,0.05669541812945619
real,10,10188.82467079,0.053642243929096646
real,19,8675.57673129,0.045675278384132774
real,6,6979.67162129,0.03674665722019945
real,20,6364.84194618,0.03350969471738502
real,21,3733.9450607100002,0.01965851786012932
real,5,2946.00509463,0.015510162261949187
real,22,1953.61881508,0.010285435308689892
real,23,809.80481008,0.004263469885962716
real,4,768.45720691,0.004045782538619574
real,0,335.99570789,0.0017689541536067487
real,3,223.4688111,0.0011765212242720799
real,2,185.25532402,0.0009753344081711599
real,1,114.81589231,0.0006044840598628506
synthetic,16,19030.54285188,0.10019222579378
synthetic,17,17671.19999556,0.09303554153881033
synthetic,15,17412.514281,0.0916736099468137
synthetic,14,15835.91428164,0.08337310773035982
synthetic,13,13539.02856888,0.07128043681989113
synthetic,11,13485.39999828,0.07099809249075802
synthetic,12,12698.71428396,0.06685634029107738
synthetic,8,12581.79999708,0.06624080857867316
synthetic,18,12153.5999958,0.0639864161765718
synthetic,9,12127.79999676,0.06385058403823426
synthetic,10,11944.1999982,0.06288396460679518
synthetic,7,10468.39999788,0.055114155410631624
synthetic,19,7534.5999978,0.03966825067056958
synthetic,6,5354.39999904,0.028189908079318614
synthetic,20,3496.39999896,0.01840788782998724
synthetic,5,2063.39999976,0.010863412583021313
synthetic,21,1521.9999996,0.008013043495655812
synthetic,4,444.39999996,0.0023396823456536104
synthetic,22,372.0,0.001958509974485786
synthetic,3,96.0,0.0005054219288995578
synthetic,23,90.0,0.00047383305834333537
synthetic,2,18.0,9.476661166866707e-05
