scenario,o_activity,vehicle_trips,share
real,1,66129.92979046,0.34816163193029437
real,2,35931.63668533,0.18917330331258933
real,5,24278.06211797,0.12781942690519674
real,16,15396.43273148,0.081059320079157
real,7,6722.79956076,0.035394274175565954
real,10,5923.23541343,0.031184719451261285
real,6,5349.19332643,0.028162495921917323
real,13,5292.23997608,0.027862647253325296
real,9,4018.4906350300002,0.021156596745555353
real,8,3972.52846771,0.020914614586616285
real,18,3968.7627608,0.02089478884859855
real,11,3281.51014794,0.017276533211553938
real,4,2780.85799733,0.014640693882250203
real,3,2664.69281053,0.014029106040891113
real,12,2144.90167112,0.011292503538312926
real,14,1607.1923586,0.008461565227259599
real,15,477.84783297,0.0025157788896547485
synthetic,1,71878.5142686,0.3784268471673979
synthetic,2,35398.99999896,0.18636907146447712
synthetic,5,22539.1428534,0.11866434434070948
synthetic,16,17016.25713036,0.08958739064038963
synthetic,7,6355.1999976,0.03345893168051517
synthetic,10,5258.99999928,0.027687645038738235
synthetic,6,4573.39999932,0.024078090096724482
synthetic,13,4190.99999952,0.022064826080994207
synthetic,18,3988.7999994,0.021000281142617736
synthetic,8,3555.79999944,0.01872061765102095
synthetic,11,3098.19999936,0.016311439789511873
synthetic,4,3095.99999928,0.01629985720322007
synthetic,9,3004.5999996,0.01581865341009836
synthetic,3,2313.19999944,0.012178562558827297
synthetic,12,1674.7999998,0.008817506733540571
synthetic,14,1604.99999892,0.008450022868103485
synthetic,15,380.39999976,0.002002734392000943
synthetic,17,12.0,6.317774111244472e-05
