scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
synthetic,3,2275,2223,1,16,915,4,5,1.00000000,0.20000000,2.40000000
synthetic,14,1920,2040,5,16,1173,4,1,1.00000000,1.00000000,12.00000000
synthetic,37,2366,2269,1,7,923,4,1,1.00000000,1.00000000,12.00000000
synthetic,43,3645,2486,1,2,477,4,1,1.00000000,1.00000000,12.00000000
synthetic,46,1945,3438,6,6,897,4,2,1.00000000,0.50000000,6.00000000
synthetic,57,2010,1628,1,2,470,4,1,1.00000000,1.00000000,12.00000000
synthetic,60,3580,3576,1,8,561,4,3,1.00000000,0.33333333,3.99999996
synthetic,66,1655,1663,1,1,665,4,1,1.00000000,1.00000000,12.00000000
synthetic,70,3475,3469,2,1,957,4,1,1.00000000,1.00000000,12.00000000
synthetic,84,1499,1490,5,5,932,4,1,1.00000000,1.00000000,12.00000000
synthetic,85,1650,2495,5,16,1001,4,2,1.00000000,0.50000000,6.00000000
synthetic,93,1663,1778,1,16,867,4,4,1.00000000,0.25000000,3.00000000
synthetic,95,1986,2112,16,5,654,4,1,1.00000000,1.00000000,12.00000000
synthetic,101,1674,1674,13,5,685,4,1,1.00000000,1.00000000,12.00000000
synthetic,110,2668,2605,6,1,852,4,3,1.00000000,0.33333333,3.99999996
synthetic,113,2177,3511,16,1,1050,4,2,1.00000000,0.50000000,6.00000000
synthetic,114,1739,2269,6,1,942,4,1,1.00000000,1.00000000,12.00000000
synthetic,116,1816,1476,1,10,666,4,1,1.00000000,1.00000000,12.00000000
synthetic,128,1601,1579,1,5,989,4,2,1.00000000,0.50000000,6.00000000
synthetic,130,2270,2422,2,1,846,4,1,1.00000000,1.00000000,12.00000000
synthetic,134,2289,2266,5,1,623,4,1,1.00000000,1.00000000,12.00000000
synthetic,137,3565,3549,5,1,851,5,1,1.00000000,1.00000000,12.00000000
synthetic,139,3631,3631,16,5,977,4,2,1.00000000,0.50000000,6.00000000
synthetic,145,3569,3515,5,6,970,4,1,1.00000000,1.00000000,12.00000000
synthetic,154,1682,2405,5,1,1074,5,3,1.00000000,0.33333333,3.99999996
synthetic,159,1817,1669,9,1,455,5,1,1.00000000,1.00000000,12.00000000
synthetic,163,1732,2359,7,1,1232,4,1,1.00000000,1.00000000,12.00000000
synthetic,164,1699,1694,1,13,696,4,1,1.00000000,1.00000000,12.00000000
synthetic,170,2405,1565,1,2,327,4,1,1.00000000,1.00000000,12.00000000
