county,slug,county_dir,observed_counts,network_base_links,bbox_min_lon,bbox_max_lon,bbox_min_lat,bbox_max_lat,real_vehicle_trips,synthetic_vehicle_trips,real_rows,synthetic_rows,runnable
Allegany,allegany,08x_county_runs/allegany,285,149871,-79.20082174000001,-78.17601914999999,39.296466800000005,39.871887279999996,0.00000000,0.00000000,0,0,False
Anne Arundel,anne_arundel,08x_county_runs/anne_arundel,912,1445396,-76.98408691,-76.25638291,38.572606820000004,39.38577435,557721.69296840,295699.84636412,5699,355419,True
Baltimore,baltimore,08x_county_runs/baltimore,1290,1386245,-77.03422672,-76.21498496999999,39.06789336,39.87108943,0.00000000,0.00000000,0,0,False
Baltimore City,baltimore_city,08x_county_runs/baltimore_city,765,1000506,-76.86097006,-76.38074062999999,39.05023096,39.78504028,0.00000000,0.00000000,0,0,False
Calvert,calvert,08x_county_runs/calvert,104,436238,-76.83160840000001,-76.26084528999999,38.17972707,38.913469129999996,90538.50844950,12755.29999513,696,16123,True
Caroline,caroline,08x_county_runs/caroline,108,157924,-76.0952496,-75.56471742999999,38.50112421,39.28702888,0.00000000,0.00000000,0,0,False
Carroll,carroll,08x_county_runs/carroll,220,757829,-77.41759062,-76.67932322,39.20404845,39.87012446,146031.34687322,48583.56665305,1937,61314,True
Cecil,cecil,08x_county_runs/cecil,156,250458,-76.32066236,-75.62053906,39.23412416,39.87066075,0.00000000,0.00000000,0,0,False
Charles,charles,08x_county_runs/charles,123,569900,-77.39846065,-76.56196736,38.11707851,38.8245179,176137.89575555,37058.23332501,1414,44378,True
Dorchester,dorchester,08x_county_runs/dorchester,94,264958,-76.43007827000001,-75.55731189999999,38.198626090000005,38.846781899999996,0.00000000,0.00000000,0,0,False
Frederick,frederick,08x_county_runs/frederick,455,714436,-77.81394639000001,-77.00250718,39.09195607,39.86848986,343816.11605531,84077.52617511,2591,100104,True
Garrett,garrett,08x_county_runs/garrett,122,193599,-79.63182801,-78.79187234,39.14210421,39.87167306,0.00000000,0.00000000,0,0,False
Harford,harford,08x_county_runs/harford,348,734467,-76.71369386,-75.94150108,39.25551263,39.87114362,0.00000000,0.00000000,0,0,False
Howard,howard,08x_county_runs/howard,461,1442260,-77.32385735000001,-76.55627638,38.95596019,39.51636519,276358.53942439,106859.78330570,2960,131335,True
Kent,kent,08x_county_runs/kent,72,174744,-76.39656724000001,-75.60880302,38.9718201,39.52172612,0.00000000,0.00000000,0,0,False
Montgomery,montgomery,08x_county_runs/montgomery,1037,1235032,-77.63397744000001,-76.76035483999999,38.78854986,39.47293377,1320594.97088166,471782.77134472,8213,553094,True
Prince George's,prince_george_s,08x_county_runs/prince_george_s,1078,1485065,-77.20854222000001,-76.54558836999999,38.40755963,39.270975209999996,816102.12440391,178050.58329771,5567,211390,True
Queen Anne's,queen_anne_s,08x_county_runs/queen_anne_s,138,276212,-76.50527396000001,-75.60578287,38.779215,39.41009211,0.00000000,0.00000000,0,0,False
Somerset,somerset,08x_county_runs/somerset,66,158000,-76.09649250000001,-75.39439632,37.82182806,38.41637023,0.00000000,0.00000000,0,0,False
St. Mary's,st_mary_s,08x_county_runs/st_mary_s,95,419571,-76.98011281000001,-76.19911538999999,37.92989897,38.656224439999995,183524.13333339,25883.09999259,1206,31849,True
Talbot,talbot,08x_county_runs/talbot,77,213215,-76.47991448,-75.76524621,38.50322993,39.089669029999996,0.00000000,0.00000000,0,0,False
Washington,washington,08x_county_runs/washington,403,390898,-78.46945805,-77.32331488,39.17641452,39.87124619,0.00000000,0.00000000,0,0,False
Wicomico,wicomico,08x_county_runs/wicomico,212,218977,-76.05046565,-75.20450878999999,38.128507580000004,38.683186379999995,0.00000000,0.00000000,0,0,False
Worcester,worcester,08x_county_runs/worcester,141,226499,-75.73528147,-74.90252937999999,37.863847050000004,38.60031049,0.00000000,0.00000000,0,0,False
