county,slug,scenario,status,observed_counts,network_base_links,real_vehicle_trips,synthetic_vehicle_trips,matched_counts,observed_total,model_total,mean_bias,mae,rmse,mape,correlation,geh_lt_5_share,model_observed_ratio,abs_total_error_share
Anne Arundel,anne_arundel,real,completed,912,1445396,557721.6929684,295699.84636412,910.0,13291458.0,1524319.0,-12930.92197802,13190.65164835,27879.07873691,0.94182456,0.2516254,0.01098901,0.11468410764266794,0.8853158923573321
Anne Arundel,anne_arundel,synthetic,completed,912,1445396,557721.6929684,295699.84636412,910.0,13291458.0,1448428.0,-13014.31868132,13280.2989011,27584.17044372,1.01147741,0.34025003,0.00659341,0.10897435029324849,0.8910256497067515
Calvert,calvert,real,completed,104,436238,90538.5084495,12755.29999513,104.0,968905.0,235856.0,-7048.54807692,7510.16346154,12188.3875097,0.91012837,0.51881847,0.00961538,0.24342531001491374,0.7565746899850863
Calvert,calvert,synthetic,completed,104,436238,90538.5084495,12755.29999513,104.0,968905.0,32543.0,-9003.48076923,9008.73076923,14084.69968004,0.95209638,0.6057274,0.0,0.03358740020951487,0.9664125997904851
Carroll,carroll,real,completed,220,757829,146031.34687322,48583.56665305,220.0,1604824.0,287578.0,-5987.48181818,6279.49090909,11255.37722723,0.89415741,0.30434783,0.00909091,0.179195974137974,0.8208040258620259
Carroll,carroll,synthetic,completed,220,757829,146031.34687322,48583.56665305,220.0,1604824.0,134190.0,-6684.7,6754.78181818,11737.03813149,0.93745803,0.3040868,0.00454545,0.08361664581287419,0.9163833541871258
Charles,charles,real,completed,123,569900,176137.89575555,37058.23332501,123.0,1396937.0,253484.0,-9296.36585366,9494.2195122,15159.58541515,0.82221248,0.36329699,0.01626016,0.18145700199794265,0.8185429980020573
Charles,charles,synthetic,completed,123,569900,176137.89575555,37058.23332501,123.0,1396937.0,45373.0,-10988.32520325,10988.79674797,16641.16368517,0.9541967,0.3917781,0.00813008,0.03248034807582589,0.9675196519241741
Frederick,frederick,real,completed,455,714436,343816.11605531,84077.52617511,454.0,4554426.0,467476.0,-9002.09251101,9140.01762115,20162.98957265,0.88877589,0.48770186,0.02202643,0.10264213316892183,0.8973578668310782
Frederick,frederick,synthetic,completed,455,714436,343816.11605531,84077.52617511,454.0,4554426.0,240716.0,-9501.56387665,9524.92951542,20508.11863661,0.92194936,0.55579002,0.00440529,0.052853202577009706,0.9471467974229903
Howard,howard,real,completed,461,1442260,276358.53942439,106859.7833057,461.0,7474329.0,765848.0,-14552.01952278,15032.53579176,33063.15063058,0.92852241,0.23776351,0.00650759,0.10246377969179575,0.8975362203082042
Howard,howard,synthetic,completed,461,1442260,276358.53942439,106859.7833057,461.0,7474329.0,326715.0,-15504.5856833,15610.94143167,33767.86254277,0.93724458,0.1900449,0.01084599,0.04371161611965435,0.9562883838803456
Montgomery,montgomery,real,completed,1037,1235032,1320594.97088166,471782.77134472,1034.0,17416088.0,1890167.0,-15015.39748549,15236.54255319,34842.60788405,0.87797255,0.35062937,0.01450677,0.10852994082253144,0.8914700591774686
Montgomery,montgomery,synthetic,completed,1037,1235032,1320594.97088166,471782.77134472,1034.0,17416088.0,1245299.0,-15639.06092843,15726.18085106,35030.684487,0.91257976,0.43000104,0.00483559,0.07150279672449979,0.9284972032755002
Prince George's,prince_george_s,real,completed,1078,1485065,816102.12440391,178050.58329771,1075.0,20242727.0,2126730.0,-16852.09023256,16984.12744186,37464.12415427,0.88141379,0.45990915,0.01581395,0.10506143762152204,0.8949385623784779
Prince George's,prince_george_s,synthetic,completed,1078,1485065,816102.12440391,178050.58329771,1075.0,20242727.0,862131.0,-18028.46139535,18054.73674419,38260.77133921,0.94510372,0.51613838,0.0,0.04258966689616473,0.9574103331038353
St. Mary's,st_mary_s,real,completed,95,419571,183524.13333339,25883.09999259,95.0,889608.0,326329.0,-5929.25263158,6519.52631579,11252.48606964,0.90879861,0.50380785,0.04210526,0.36682336489779765,0.6331766351022023
St. Mary's,st_mary_s,synthetic,completed,95,419571,183524.13333339,25883.09999259,95.0,889608.0,50152.0,-8836.37894737,8856.69473684,13803.71373981,0.94376219,0.47786155,0.0,0.05637539230762313,0.9436246076923769
