LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,AADT,AAWDT,TRUCK_AADT,LINK,longitude,latitude,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed
B0845,Anne Arundel,No Name,MD,32.0,4.04,2.83,4.54,Md32-.50 Mi S Of Md170,Sappington Station Rd To Md 170,Urban,2.0,Principal Arterial Other Freeways and Expressways,1.0,South,4.0,C,8.59,68.24,47.8,52.2,50911.0,50452.0,54481.0,53982.0,52410.0,55560.0,2889.0,https://maps.roads.maryland.gov/itms_public/?stationid=B0845,-76.68857725780973,39.09506922766883,B,True,False,,False
B0639,Anne Arundel,Southern Md Blvd,MD,4.0,4.24,1.9,4.77,Md4-.20 Mi S Of Md408,Md 258 To Prince Georges Co/l,Urban,3.0,Principal Arterial Other,1.0,South,4.0,C,8.35,79.92,50.0,50.0,45071.0,44802.0,47331.0,47042.0,45110.0,46910.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B0639,-76.70249347040611,38.80999706455801,B,True,False,,False
S2007020018,Anne Arundel,Ramp 6 Fr Md 32 Eb To Md 295 Sb,RP,295.0,0.2,0.0,0.57,Exit 4 Ramp 6 Fr Md 32 Eb To Md 295 Sb,Exit 4  Ramp 06 Savage Rd To Baltimore Washington Pkwy,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,South,1.0,F,9.13,100.0,0.0,100.0,9010.0,8931.0,9640.0,9561.0,8932.0,9472.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2007020018,-76.78045712742748,39.11535734470841,S,False,True,,False
S2006020031,Anne Arundel,Ramp 2 Fr Md 32 Wb To Guilford Rd,RP,32.0,0.09,0.08,0.11,Exit 11 Ramp 2 Fr Md 32 Wb To Guilford Rd,Exit 11 Ramp 02 Ramp 7 Fr Ramp 2 (md32) To Guilford Rd To Guilford Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,North,1.0,F,11.98,100.0,100.0,0.0,1092.0,1083.0,1172.0,1163.0,1084.0,1154.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020031,-76.7849714438012,39.12256727059288,S,False,True,,False
B0730,Anne Arundel,Davidsonville Rd,MD,424.0,5.97,5.85,7.35,Md424-.10 Mi N Of Md450,Md 450 To Riedel Rd,Urban,4.0,Minor Arterial,1.0,North,3.0,C,8.83,61.36,50.43,49.57,19771.0,19592.0,21161.0,20962.0,19500.0,20670.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B0730,-76.67134804047922,38.9943003464863,B,True,False,,False
S2011020798,Anne Arundel,Clark Station Rd,CO,1175.0,1.41,0.0,1.525,Clark Station Rd - Between Maryland Ave & Quarterfield Rd,Donaldson Ave To Wb&a Rd,Urban,7.0,Local,1.0,South,2.0,F,12.13,68.17,46.24,53.76,3460.0,3431.0,3670.0,3641.0,3432.0,3782.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020798,-76.68314406820664,39.11623426656338,S,True,False,,False
S2006020025,Anne Arundel,Ramp 5 Fr Md 295 Sb To Nsa Ent,RP,295.0,0.13,0.0,0.23,Exit 5 Ramp 5 Fr Md 295 Sb To Nsa Entrance,Exit 5  Ramp 05 Baltimore Washington Pkwy To Technology Dr,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,South,1.0,F,20.95,100.0,0.0,100.0,4862.0,4823.0,5202.0,5163.0,4824.0,5114.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020025,-76.77069375632101,39.12028873641087,S,False,True,,False
S2010020045,Anne Arundel,Samford Rd,GV,69.0,0.25,0.0,0.326,Samford Rd - .10 Mile West Of Md 32/mapes Rd,Road End - Gate/barricade To Roundabout At Savage Rd,Urban,7.0,Local,1.0,South,2.0,F,12.25,94.35,49.07,50.93,5205.0,5165.0,5525.0,5485.0,5175.0,5695.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020045,-76.76906493733604,39.100397690199046,S,True,False,,False
S1999020036,Anne Arundel,Ramp 3 Fr Ramp 6 (fr Is595) To Md 424 Nb,RP,595.0,0.05,0.0,0.08,Exit 16 Ramp 3 Fr Ramp 6 (fr Is 595 Eb) To Md 424 Nb,Exit 16 Ramp 03 Ramp 6 Fr Is 595 Eb To Md 424 Sb To Davidsonville Rd,Rural,1.0,Interstate,2.0,North,1.0,F,13.35,100.0,100.0,0.0,1243.0,1244.0,1293.0,1294.0,1255.0,1315.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S1999020036,-76.65329095734242,38.95937321542517,S,False,True,,False
P0024,Anne Arundel,John Hanson Hwy,IS,595.0,0.81,0.0,2.15,Us 50/is 595 - 1.34 Miles West Of Md 424 (atr#24),Prince Georges Co/l To Md 424,Rural,1.0,Interstate,1.0,East,6.0,F,9.26,59.28,51.22,48.78,88540.0,88769.0,93255.0,93777.0,90707.0,95411.0,5897.0,https://maps.roads.maryland.gov/itms_public/?stationid=P0024,-76.67898544156633,38.955902756122114,P,True,False,,False
S2006020045,Anne Arundel,Ramp 2 Fr Md 198 Wb To Md 295 Nb,RP,295.0,0.1,0.0,0.31,Exit 2 Ramp 2 Fr Md 198 Wb To Md 295 Nb,Exit 2  Ramp 02 Laurel Ft Meade Rd To Baltimore Washington Pkwy,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,North,1.0,F,12.45,100.0,100.0,0.0,462.0,463.0,492.0,503.0,464.0,494.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020045,-76.79773386024664,39.09677264293299,S,False,True,,False
S2010020053,Anne Arundel,Ramp 7 Fr Ramp 2 (fr Md 32 Wb) To Md 170,RP,32.0,0.03,0.0,0.06,Exit 5 Ramp 7 Fr Ramp 2 (fr Md 32 Wb) To Md 170 Sb,Exit 5  Ramp 07 Ramp 2 Fr Md 32 Wb To Md 170 Nb To Telegraph Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,West,2.0,F,15.96,100.0,0.0,100.0,1611.0,1602.0,1721.0,1712.0,1603.0,1703.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020053,-76.69338662314355,39.101149864809,S,False,True,,False
S2008020010,Anne Arundel,Severn Rd,CO,935.0,0.1,0.0,1.77,Severn Rd - .10 Mile West Of Md 174,Reece Rd To Ridge Rd,Urban,5.0,Major Collector,1.0,East,3.0,F,9.28,51.99,49.32,50.68,9243.0,9164.0,9803.0,9714.0,9165.0,10085.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2008020010,-76.7008686677888,39.13479400115552,S,True,False,,False
S2006020036,Anne Arundel,Guilford Rd,CO,6107.0,0.46,0.35,0.64,Guilford Rd - North Of Roundabout/south Of Brockbridge Rd,Roundabout To Brock Bridge Rd,Urban,7.0,Local,1.0,South,3.0,F,10.02,79.59,47.6,52.4,13885.0,7660.0,14725.0,8120.0,7661.0,8431.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020036,-76.78677131638929,39.12354396737239,S,True,False,,False
S2011020777,Anne Arundel,Millersville Rd,CO,1207.0,1.51,0.0,1.63,Millersville Rd - .10 Mile East Of Md 3,Generals Hwy To Robert Crain Hwy,Urban,5.0,Major Collector,1.0,West,2.0,F,10.38,79.97,39.02,60.98,5200.0,5151.0,5510.0,5461.0,5152.0,5672.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020777,-76.65224907690286,39.05771181737907,S,True,False,,False
S2011020783,Anne Arundel,Layton St                               ,CO,4093.0,0.11,0.0,0.21,Layton St - Between Md 424 & Crofton Pkwy,Crofton Pkwy To Davidsonville Rd,Urban,5.0,Major Collector,1.0,West,2.0,F,9.92,51.08,50.31,49.69,2100.0,2081.0,2230.0,2211.0,2082.0,2292.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020783,-76.67496811183535,38.99913000829956,S,True,False,,False
B0817,Anne Arundel,Davidsonville Rd,MD,424.0,3.66,3.32,5.85,Md424-.30 Mi N Of Is595 (us50),Is 595  To Md 450,Rural,4.0,Minor Arterial,1.0,North,3.0,F,8.5,51.55,49.39,50.61,14071.0,13992.0,14781.0,14692.0,14163.0,14733.0,588.0,https://maps.roads.maryland.gov/itms_public/?stationid=B0817,-76.65993910399425,38.963755079557785,B,True,False,,False
B0844,Anne Arundel,No Name,MD,32.0,5.68,4.54,6.08,Md32-.40 Mi S Of Md175,Md 170 To Md 175,Urban,2.0,Principal Arterial Other Freeways and Expressways,1.0,South,4.0,C,8.3,67.51,48.56,51.44,54011.0,53532.0,57791.0,57282.0,53800.0,57030.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B0844,-76.71284173908566,39.09658467829279,B,True,False,,False
