OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK__AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO,longitude,latitude,_source_layer_title,_source_layer_url
6,B0845,2.0,Anne Arundel,0.0,None,No Name,MD,32.0,  ,4.04,2.83,4.54,Md32-.50 Mi S Of Md170,Sappington Station Rd To Md 170,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000MD00032  01NN**************,02000MD00032--1-----,1.0,South,4.0,C,1.0,8.59,68.24,47.8,52.2,32.7117,https://maps.roads.maryland.gov/itms_public/?stationid=B0845,43070.0,43241.0,42902.0,44670.0,44541.0,45702.0,49720.0,50911.0,50452.0,52410.0,46090.0,46701.0,46332.0,48240.0,47661.0,48902.0,53200.0,54481.0,53982.0,55560.0,79.0,42093.0,6892.0,457.0,2174.0,715.0,NO ERROR,2889.0,0.75250952,0.24749048,0.00150735,0.80314825,0.13150162,0.00871971,0.04148063,0.01364243,0.05512307,4,8.59,68.24,47.8,52.2,"43,070","43,241","42,902","44,670","44,541","45,702","49,720","50,911","50,452","52,410","46,090","46,701","46,332","48,240","47,661","48,902","53,200","54,481","53,982","55,560",79,"42,093",457,"6,892","2,174",715,"2,889",-76.68857725780973,39.09506922766883,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
12,B0639,2.0,Anne Arundel,0.0,None,Southern Md Blvd,MD,4.0,  ,4.24,1.9,4.77,Md4-.20 Mi S Of Md408,Md 258 To Prince Georges Co/l,Urban,3.0,Principal Arterial Other,02000MD00004  01NN**************,02000MD00004--1-----,1.0,South,4.0,C,3.0,8.35,79.92,50.0,50.0,47.255,https://maps.roads.maryland.gov/itms_public/?stationid=B0639,50042.0,45380.0,45471.0,45242.0,45203.0,46294.0,44100.0,45071.0,44802.0,45110.0,52542.0,49010.0,48201.0,48412.0,47923.0,49074.0,47190.0,47331.0,47042.0,46910.0,,,,,,,NO ERROR,,,,,,,,,,,4,8.35,79.92,50,50,"50,042","45,380","45,471","45,242","45,203","46,294","44,100","45,071","44,802","45,110","52,542","49,010","48,201","48,412","47,923","49,074","47,190","47,331","47,042","46,910",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.70249347040611,38.80999706455801,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
21,S2007020018,2.0,Anne Arundel,0.0,None,Ramp 6 Fr Md 32 Eb To Md 295 Sb,RP,295.0,  ,0.2,0.0,0.57,Exit 4 Ramp 6 Fr Md 32 Eb To Md 295 Sb,Exit 4  Ramp 06 Savage Rd To Baltimore Washington Pkwy,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00295  02SSMD4         06,02000RP00295--100406,2.0,South,1.0,F,0.0,9.13,100.0,0.0,100.0,1.8583,https://maps.roads.maryland.gov/itms_public/?stationid=S2007020018,8450.0,8481.0,8412.0,8650.0,8621.0,8852.0,9023.0,9010.0,8931.0,8932.0,9040.0,9161.0,9092.0,9340.0,9221.0,9472.0,9663.0,9640.0,9561.0,9472.0,,,,,,,NO ERROR,,,,,,,,,,,1,9.13,100,0,100,"8,450","8,481","8,412","8,650","8,621","8,852","9,023","9,010","8,931","8,932","9,040","9,161","9,092","9,340","9,221","9,472","9,663","9,640","9,561","9,472",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.78045712742748,39.11535734470841,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
25,S2006020031,2.0,Anne Arundel,0.0,None,Ramp 2 Fr Md 32 Wb To Guilford Rd,RP,32.0,  ,0.09,0.08,0.11,Exit 11 Ramp 2 Fr Md 32 Wb To Guilford Rd,Exit 11 Ramp 02 Ramp 7 Fr Ramp 2 (md32) To Guilford Rd To Guilford Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00032  02NNMD11        02,02000RP00032--101102,2.0,North,1.0,F,0.0,11.98,100.0,100.0,0.0,0.0119,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020031,884.0,895.0,1090.0,1091.0,1092.0,1040.0,1061.0,1092.0,1083.0,1084.0,954.0,975.0,1180.0,1181.0,1172.0,1110.0,1141.0,1172.0,1163.0,1154.0,,,,,,,NO ERROR,,,,,,,,,,,1,11.98,100,100,0,884,895,"1,090","1,091","1,092","1,040","1,061","1,092","1,083","1,084",954,975,"1,180","1,181","1,172","1,110","1,141","1,172","1,163","1,154",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.7849714438012,39.12256727059288,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
33,B0730,2.0,Anne Arundel,0.0,None,Davidsonville Rd,MD,424.0,  ,5.97,5.85,7.35,Md424-.10 Mi N Of Md450,Md 450 To Riedel Rd,Urban,4.0,Minor Arterial,02000MD00424  01NN**************,02000MD00424--1-----,1.0,North,3.0,C,0.0,8.83,61.36,50.43,49.57,10.6763,https://maps.roads.maryland.gov/itms_public/?stationid=B0730,18070.0,18141.0,18002.0,16880.0,16831.0,17272.0,19310.0,19771.0,19592.0,19500.0,19340.0,19591.0,19442.0,18230.0,18011.0,18482.0,20660.0,21161.0,20962.0,20670.0,,,,,,,NO ERROR,,,,,,,,,,,3,8.83,61.36,50.43,49.57,"18,070","18,141","18,002","16,880","16,831","17,272","19,310","19,771","19,592","19,500","19,340","19,591","19,442","18,230","18,011","18,482","20,660","21,161","20,962","20,670",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.67134804047922,38.9943003464863,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
70,S2011020798,2.0,Anne Arundel,0.0,None,Clark Station Rd,CO,1175.0,  ,1.41,0.0,1.525,Clark Station Rd - Between Maryland Ave & Quarterfield Rd,Donaldson Ave To Wb&a Rd,Urban,7.0,Local,02000CO01175  01SS**************,02000CO01175--1-----,1.0,South,2.0,F,0.0,12.13,68.17,46.24,53.76,1.9103,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020798,,3500.0,3471.0,3482.0,3473.0,3564.0,3635.0,3460.0,3431.0,3432.0,,3780.0,3751.0,3762.0,3723.0,3814.0,3905.0,3670.0,3641.0,3782.0,,,,,,,NO ERROR,,,,,,,,,,,2,12.13,68.17,46.24,53.76,N/A,"3,500","3,471","3,482","3,473","3,564","3,635","3,460","3,431","3,432",N/A,"3,780","3,751","3,762","3,723","3,814","3,905","3,670","3,641","3,782",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.68314406820664,39.11623426656338,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
79,S2006020025,2.0,Anne Arundel,0.0,None,Ramp 5 Fr Md 295 Sb To Nsa Ent,RP,295.0,  ,0.13,0.0,0.23,Exit 5 Ramp 5 Fr Md 295 Sb To Nsa Entrance,Exit 5  Ramp 05 Baltimore Washington Pkwy To Technology Dr,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00295  02SSMD5         05,02000RP00295--100505,2.0,South,1.0,F,0.0,20.95,100.0,0.0,100.0,0.405,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020025,,5150.0,5111.0,5122.0,5113.0,4650.0,4741.0,4862.0,4823.0,4824.0,,0.0,5521.0,5532.0,5473.0,4980.0,5071.0,5202.0,5163.0,5114.0,,,,,,,NO ERROR,,,,,,,,,,,1,20.95,100,0,100,N/A,"5,150","5,111","5,122","5,113","4,650","4,741","4,862","4,823","4,824",N/A,0,"5,521","5,532","5,473","4,980","5,071","5,202","5,163","5,114",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.77069375632101,39.12028873641087,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
107,S2010020045,2.0,Anne Arundel,0.0,None,Samford Rd,GV,69.0,  ,0.25,0.0,0.326,Samford Rd - .10 Mile West Of Md 32/mapes Rd,Road End - Gate/barricade To Roundabout At Savage Rd,Urban,7.0,Local,02000GV00069  01WW**************,02000GV00069--1-----,1.0,South,2.0,F,0.0,12.25,94.35,49.07,50.93,0.6158,https://maps.roads.maryland.gov/itms_public/?stationid=S2010020045,4860.0,4881.0,4842.0,4853.0,4844.0,4975.0,5075.0,5205.0,5165.0,5175.0,5200.0,5271.0,5232.0,5243.0,5184.0,5325.0,5445.0,5525.0,5485.0,5695.0,,,,,,,NO ERROR,,,,,,,,,,,2,12.25,94.35,49.07,50.93,"4,860","4,881","4,842","4,853","4,844","4,975","5,075","5,205","5,165","5,175","5,200","5,271","5,232","5,243","5,184","5,325","5,445","5,525","5,485","5,695",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.76906493733604,39.100397690199046,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
109,S1999020036,2.0,Anne Arundel,0.0,None,Ramp 3 Fr Ramp 6 (fr Is595) To Md 424 Nb,RP,595.0,  ,0.05,0.0,0.08,Exit 16 Ramp 3 Fr Ramp 6 (fr Is 595 Eb) To Md 424 Nb,Exit 16 Ramp 03 Ramp 6 Fr Is 595 Eb To Md 424 Sb To Davidsonville Rd,Rural,1.0,Interstate,02000RP00595  02EEIS16        03,02000RP00595--101603,2.0,North,1.0,F,0.0,13.35,100.0,100.0,0.0,0.0366,https://maps.roads.maryland.gov/itms_public/?stationid=S1999020036,1002.0,1003.0,1014.0,1025.0,1150.0,1181.0,1212.0,1243.0,1244.0,1255.0,1022.0,1063.0,1084.0,1095.0,1210.0,1241.0,1272.0,1293.0,1294.0,1315.0,,,,,,,NO ERROR,,,,,,,,,,,1,13.35,100,100,0,"1,002","1,003","1,014","1,025","1,150","1,181","1,212","1,243","1,244","1,255","1,022","1,063","1,084","1,095","1,210","1,241","1,272","1,293","1,294","1,315",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.65329095734242,38.95937321542517,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
132,P0024,2.0,Anne Arundel,0.0,None,John Hanson Hwy,IS,595.0,  ,0.81,0.0,2.15,Us 50/is 595 - 1.34 Miles West Of Md 424 (atr#24),Prince Georges Co/l To Md 424,Rural,1.0,Interstate,02000IS00595  01EE**************,02000IS00595--1-----,1.0,East,6.0,F,2.0,9.26,59.28,51.22,48.78,71.1823,https://maps.roads.maryland.gov/itms_public/?stationid=P0024,83629.0,84357.0,84078.0,84021.0,84118.0,86381.0,87657.0,88540.0,88769.0,90707.0,87885.0,89184.0,88424.0,88343.0,88153.0,90871.0,92725.0,93255.0,93777.0,95411.0,217.0,71744.0,12202.0,647.0,2712.0,3185.0,NO ERROR,5897.0,0.45989486,0.54010514,0.00239232,0.79094226,0.13452104,0.00713286,0.02989846,0.03511306,0.06501152,6,9.26,59.28,51.22,48.78,"83,629","84,357","84,078","84,021","84,118","86,381","87,657","88,540","88,769","90,707","87,885","89,184","88,424","88,343","88,153","90,871","92,725","93,255","93,777","95,411",217,"71,744",647,"12,202","2,712","3,185","5,897",-76.67898544156633,38.955902756122114,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
