LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,AADT,AAWDT,TRUCK_AADT,LINK,longitude,latitude,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed,AADT_2017_NUM,AADT_2018_NUM,AAWDT_2017_NUM,AAWDT_2018_NUM,AADT_NUM,AAWDT_NUM,NUM_LANES_NUM,MAIN_LINE_NUM,ID_RTE_NO_NUM,K_FACTOR_NUM,D_FACTOR_NUM,tract_index,station_tract_geoid,station_county_geoid,station_tract_label,assignment_status,station_to_boundary_m
S2012150651,Montgomery,Riding Stable Rd                        ,CO,90.0,0.06,0.0,0.67,Riding Stable Rd - Between Md 198 & Huckburn Ct,Sandy Spring Rd To Jerald Rd,Urban,5.0,Major Collector,1.0,North,2.0,F,10.25,65.03,49.85,50.15,3655.0,3420.0,3875.0,3630.0,3421.0,3761.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150651,-76.91035484432284,39.10623935991592,S,True,False,pg_montgomery_spatial,True,3655.0,3420.0,3875.0,3630.0,3421.0,3761.0,2.0,1.0,90.0,10.25,65.03,573,24031701410,24031,Census Tract 7014.10,reject_not_near_tract_boundary,229.35767560824715
S2012161202,Prince George's,High Bridge Rd,CO,5068.0,1.4,0.0,1.55,High Bridge Rd - .10 Mi North Of Md 450,Chestnut Ave (back) To Annapolis Rd,Urban,5.0,Major Collector,1.0,North,3.0,F,11.39,57.91,48.68,51.32,7275.0,6890.0,7715.0,7300.0,6891.0,7581.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161202,-76.77294510420458,38.97432728422414,S,True,False,pg_dc_spatial,True,7275.0,6890.0,7715.0,7300.0,6891.0,7581.0,3.0,1.0,5068.0,11.39,57.91,1504,24033800409,24033,Census Tract 8004.09,reject_not_near_tract_boundary,232.15981414557282
B3229,Prince George's,Piscataway Rd,MD,223.0,7.2,7.17,7.4,Md223-between Pineview La & Md5,Pine View La To Md 5 Ramps,Urban,4.0,Minor Arterial,1.0,South,4.0,C,7.12,50.65,54.03,45.97,46791.0,46372.0,50071.0,49622.0,43200.0,45790.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B3229,-76.88829185982212,38.766866133321976,B,True,False,pg_dc_spatial,True,46791.0,46372.0,50071.0,49622.0,43200.0,45790.0,4.0,1.0,223.0,7.12,50.65,680,24033801217,24033,Census Tract 8012.17,reject_not_near_tract_boundary,339.21686029143734
B3268,Prince George's,Oxon Hill Rd,MD,414.0,0.72,0.52,1.039,Md414-.20 Mi E Of Md210,Md 210 To Livingston Rd,Urban,3.0,Principal Arterial Other,1.0,East,5.0,C,6.59,64.5,49.67,50.33,24671.0,24452.0,26401.0,26162.0,26870.0,28480.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B3268,-76.99540072831437,38.80261862416586,B,True,False,pg_dc_spatial,True,24671.0,24452.0,26401.0,26162.0,26870.0,28480.0,5.0,1.0,414.0,6.59,64.5,1568,24033801405,24033,Census Tract 8014.05,reject_not_near_tract_boundary,244.8680418760211
B2815,Montgomery,River Rd,MD,190.0,0.1,0.0,3.03,Md190-.10 Mi E Of Md112,Md 112 To Travilah Rd,Rural,5.0,Major Collector,1.0,East,2.0,C,10.89,85.81,51.62,48.38,3624.0,3605.0,3844.0,3825.0,3690.0,3910.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B2815,-77.32698546012514,39.07754510972021,B,True,False,montgomery_dc_route,True,3624.0,3605.0,3844.0,3825.0,3690.0,3910.0,2.0,1.0,190.0,10.89,85.81,1403,24031700604,24031,Census Tract 7006.04,reject_not_near_tract_boundary,869.5183443472268
B2827,Montgomery,Metropolitan Ave,MD,192.0,0.49,0.29,2.14,Md192-.10 Mi E Of Md185,Plyers Mill Rd (back) To Seminary Rd,Urban,4.0,Minor Arterial,1.0,West,2.0,C,8.31,58.4,48.47,51.53,9274.0,9195.0,9924.0,9845.0,10190.0,10800.0,399.0,https://maps.roads.maryland.gov/itms_public/?stationid=B2827,-77.0742927366897,39.029348404464095,B,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,9274.0,9195.0,9924.0,9845.0,10190.0,10800.0,2.0,1.0,192.0,8.31,58.4,557,24031704200,24031,Census Tract 7042,reject_not_near_tract_boundary,312.98148519947347
S2012150692,Montgomery,Seven Locks Rd,CO,148.0,0.09,0.0,0.94,Seven Locks Rd - .10 Mile North Of Macarthur Blvd,Macarthur Blvd To Lilly Stone Dr,Urban,5.0,Major Collector,1.0,South,2.0,F,9.54,70.61,50.07,49.93,5295.0,4690.0,5615.0,4970.0,4691.0,5161.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150692,-77.16146387833656,38.97574490142657,S,True,False,montgomery_dc_spatial,True,5295.0,4690.0,5615.0,4970.0,4691.0,5161.0,2.0,1.0,148.0,9.54,70.61,1392,24031705800,24031,Census Tract 7058,reject_not_near_tract_boundary,776.7701079226828
B2712,Montgomery,W Montgomery Ave,MD,28.0,21.45,21.15,22.72,Md28-.30 Mi E Of Is270,Is 270 To Md 355,Urban,3.0,Principal Arterial Other,1.0,West,3.0,F,8.05,53.81,49.53,50.47,26302.0,25660.0,28142.0,27460.0,25661.0,27201.0,777.0,https://maps.roads.maryland.gov/itms_public/?stationid=B2712,-77.16761045154783,39.085586419600986,B,True,False,montgomery_dc_spatial,True,26302.0,25660.0,28142.0,27460.0,25661.0,27201.0,3.0,1.0,28.0,8.05,53.81,212,24031701005,24031,Census Tract 7010.05,reject_not_near_tract_boundary,273.22341474471915
S2012161031,Prince George's,Ardwick Ardmore Rd,CO,65.0,2.4,1.65,2.45,Ardwick Ardmore Rd - Between Pennsy Dr & Ardwick Pl,Md 704 To Us 50 Pa,Urban,5.0,Major Collector,1.0,East,4.0,F,7.32,61.52,49.8,50.2,22535.0,17840.0,23895.0,18910.0,18051.0,19621.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161031,-76.87057769956189,38.94292470674974,S,True,False,pg_dc_spatial;pg_montgomery_spatial,True,22535.0,17840.0,23895.0,18910.0,18051.0,19621.0,4.0,1.0,65.0,7.32,61.52,483,24033803602,24033,Census Tract 8036.02,reject_not_near_tract_boundary,491.82669270439425
S2012150704,Montgomery,Good Hope Rd,CO,161.0,0.1,0.0,1.15,Good Hope Rd - .10 Mile South Of Md 198,Md 198 To Briggs Chaney Rd,Urban,5.0,Major Collector,1.0,South,2.0,F,8.44,51.55,48.9,51.1,2285.0,2080.0,2425.0,2210.0,2081.0,2291.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150704,-76.977032559493,39.11673031430958,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True,2285.0,2080.0,2425.0,2210.0,2081.0,2291.0,2.0,1.0,161.0,8.44,51.55,1394,24031701408,24031,Census Tract 7014.08,reject_not_near_tract_boundary,1269.8150159638458
