screenline_id,tract_pair_id,screenline_family,assignment_quality,assignment_status,LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,STATION_DESC,ROAD_SECTION,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,station_tract_geoid,adjacent_tract_geoid,station_county_geoid,adjacent_county_geoid,station_to_shared_boundary_m,shared_boundary_length_m,n_adjacent_tract_candidates_within_buffer,longitude,latitude,LINK,BEGIN_SECTION,END_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,AADT,AAWDT,TRUCK_AADT,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed,AADT_2017_NUM,AADT_2018_NUM,AAWDT_2017_NUM,AAWDT_2018_NUM,AADT_NUM,AAWDT_NUM,NUM_LANES_NUM,MAIN_LINE_NUM,ID_RTE_NO_NUM,K_FACTOR_NUM,D_FACTOR_NUM,tract_index,station_tract_label,tract_a_geoid,tract_b_geoid,station_county_name,adjacent_county_name,station_to_containing_tract_boundary_m,validation_observed_daily_field_preferred,validation_model_flow_definition
sl_B2797_24031703501__24031703601,24031703501__24031703601,other_adjacent_tract_pair,medium,accepted,B2797,Montgomery,Connecticut Ave,MD,185.0,5.82,Md185-.10 Mi S Of Md586,Md 193 To Md 586,South,6.0,C,36151.0,35832.0,38681.0,38342.0,7.8,79.79,46.67,53.33,24031703601,24031703501,24031,24031,1.5858740200790262,239.22767260253718,4,-77.07505927540983,39.050141085627295,https://maps.roads.maryland.gov/itms_public/?stationid=B2797,4.54,5.92,Urban,3.0,Principal Arterial Other,1.0,36180.0,38350.0,,B,True,False,montgomery_dc_route;montgomery_dc_spatial;pg_montgomery_spatial,True,36151.0,35832.0,38681.0,38342.0,36180.0,38350.0,6.0,1.0,185.0,7.8,79.79,204,Census Tract 7036.01,24031703601,24031703501,"Montgomery County, MD","Montgomery County, MD",1.5858740200790262,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B2796_24031703502__24031704200,24031703502__24031704200,other_adjacent_tract_pair,low_review,accepted,B2796,Montgomery,Connecticut Ave,MD,185.0,4.5,Md185-.10 Mi N Of Md192,Md 192 To Md 193,North,6.0,C,54111.0,53622.0,57901.0,57382.0,7.02,62.59,46.97,53.03,24031704200,24031703502,24031,24031,160.01598695515852,643.5127522905234,2,-77.07519576453579,39.03106887890686,https://maps.roads.maryland.gov/itms_public/?stationid=B2796,4.4,4.54,Urban,3.0,Principal Arterial Other,1.0,52440.0,55590.0,,B,True,False,montgomery_dc_route;montgomery_dc_spatial;pg_montgomery_spatial,True,54111.0,53622.0,57901.0,57382.0,52440.0,55590.0,6.0,1.0,185.0,7.02,62.59,557,Census Tract 7042,24031704200,24031703502,"Montgomery County, MD","Montgomery County, MD",160.01598695515852,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B2960_24031701601__24031701602,24031701601__24031701602,other_adjacent_tract_pair,high,accepted,B2960,Montgomery,New Hampshire Ave,MD,650.0,2.98,Md650-.25 Mi S Of Is495,Adelphi Rd To Is 495,North,6.0,F,80752.0,80470.0,86412.0,86100.0,6.88,50.93,48.91,51.09,24031701601,24031701602,24031,24031,20.81999595091763,1265.2609008624895,1,-76.97762450524777,39.015604620338536,https://maps.roads.maryland.gov/itms_public/?stationid=B2960,2.68,3.23,Urban,3.0,Principal Arterial Other,1.0,80471.0,85301.0,2055.0,B,True,False,montgomery_dc_route;pg_montgomery_route;montgomery_dc_spatial;pg_montgomery_spatial,True,80752.0,80470.0,86412.0,86100.0,80471.0,85301.0,6.0,1.0,650.0,6.88,50.93,805,Census Tract 7016.01,24031701601,24031701602,"Montgomery County, MD","Montgomery County, MD",20.81999595091763,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B3223_24033800507__24033800511,24033800507__24033800511,other_adjacent_tract_pair,high,accepted,B3223,Prince George's,Central Ave,MD,214.0,10.35,Md214-.50 Mi W Of Us301,Church Rd To Us 301,East,5.0,F,25160.0,24931.0,26920.0,26681.0,7.92,56.29,47.59,52.41,24033800507,24033800511,24033,24033,23.781973532721914,3498.840959206688,1,-76.72749925492924,38.90001611535435,https://maps.roads.maryland.gov/itms_public/?stationid=B3223,8.64,10.85,Urban,3.0,Principal Arterial Other,1.0,24932.0,26432.0,1126.0,B,True,False,pg_dc_route,True,25160.0,24931.0,26920.0,26681.0,24932.0,26432.0,5.0,1.0,214.0,7.92,56.29,1525,Census Tract 8005.07,24033800507,24033800511,"Prince George's County, MD","Prince George's County, MD",23.781973532721914,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B160109_24033806200__24033806300,24033806200__24033806300,other_adjacent_tract_pair,low_review,accepted,B160109,Prince George's,Crittenden St,MU,91.0,0.1,Crittenden St-.10 Mi W Of Us1,Us 1 To 40th Pl,East,2.0,F,4840.0,4801.0,5180.0,5141.0,8.15,53.73,50.95,49.05,24033806200,24033806300,24033,24033,108.56892533886933,2146.249524485716,1,-76.94546970131817,38.94812337808544,https://maps.roads.maryland.gov/itms_public/?stationid=B160109,0.0,0.18,Urban,4.0,Minor Arterial,1.0,4802.0,5092.0,172.0,B,True,False,pg_dc_spatial;pg_montgomery_spatial,True,4840.0,4801.0,5180.0,5141.0,4802.0,5092.0,2.0,1.0,91.0,8.15,53.73,1558,Census Tract 8062,24033806200,24033806300,"Prince George's County, MD","Prince George's County, MD",108.56892533886933,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_B160013_24033802408__24033802502,24033802408__24033802502,other_adjacent_tract_pair,high,accepted,B160013,Prince George's,Quarter Ave,CO,309.0,0.03,Quarter Ave-150 Ft N Of Md4,Md 4 To Boundry Ave,South,2.0,F,4040.0,4001.0,4280.0,4241.0,8.19,54.92,54.06,45.94,24033802408,24033802502,24033,24033,2.16926918758989,770.4846358481583,2,-76.92426584399563,38.86519932127055,https://maps.roads.maryland.gov/itms_public/?stationid=B160013,0.0,0.09,Urban,5.0,Major Collector,1.0,4002.0,4402.0,55.0,B,True,False,pg_dc_spatial,True,4040.0,4001.0,4280.0,4241.0,4002.0,4402.0,2.0,1.0,309.0,8.19,54.92,887,Census Tract 8024.08,24033802408,24033802502,"Prince George's County, MD","Prince George's County, MD",2.16926918758989,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012161110_24033802502__24033802600,24033802502__24033802600,other_adjacent_tract_pair,high,accepted,S2012161110,Prince George's,Benning Rd,CO,377.0,0.05,Benning Rd - 100ft North  Of Elfin Ave,Marlboro Pike To Wash Dc Line,South,3.0,F,8025.0,8570.0,8595.0,9170.0,7.19,60.69,52.82,47.18,24033802600,24033802502,24033,24033,45.544180615182874,1222.3490086127504,1,-76.92886339197536,38.87346413143297,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161110,0.0,0.26,Urban,4.0,Minor Arterial,1.0,8571.0,9091.0,,S,True,False,pg_dc_spatial,True,8025.0,8570.0,8595.0,9170.0,8571.0,9091.0,3.0,1.0,377.0,7.19,60.69,593,Census Tract 8026,24033802600,24033802502,"Prince George's County, MD","Prince George's County, MD",45.544180615182874,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012161061_24033801407__24033801901,24033801407__24033801901,other_adjacent_tract_pair,high,accepted,S2012161061,Prince George's,Temple Hill Rd,CO,123.0,3.09,Temple Hill Rd - .10 Mi North Of Farmer Dr,Allentown Rd To Brinkley Rd,South,2.0,F,13805.0,13830.0,14775.0,14800.0,9.95,66.85,48.81,51.19,24033801407,24033801901,24033,24033,0.11281876118521164,922.2285728631299,1,-76.92782789945576,38.7967099511791,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161061,2.85,3.43,Urban,4.0,Minor Arterial,1.0,13831.0,14661.0,,S,True,False,pg_dc_spatial,True,13805.0,13830.0,14775.0,14800.0,13831.0,14661.0,2.0,1.0,123.0,9.95,66.85,1556,Census Tract 8014.07,24033801407,24033801901,"Prince George's County, MD","Prince George's County, MD",0.11281876118521164,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012161186_24033801216__24033801217,24033801216__24033801217,other_adjacent_tract_pair,medium,accepted,S2012161186,Prince George's,Old Branch Ave,CO,3675.0,0.04,Old Branch Ave - Between Md 223 & Clinton St,Brandywine Rd To Coventry Way,South,3.0,F,14585.0,12510.0,15615.0,13390.0,7.3,62.4,47.41,52.59,24033801217,24033801216,24033,24033,71.18594531147001,3588.2321944554733,1,-76.8983839909664,38.7658121624463,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161186,0.0,1.2,Urban,4.0,Minor Arterial,1.0,12511.0,13261.0,,S,True,False,pg_dc_spatial,True,14585.0,12510.0,15615.0,13390.0,12511.0,13261.0,3.0,1.0,3675.0,7.3,62.4,680,Census Tract 8012.17,24033801217,24033801216,"Prince George's County, MD","Prince George's County, MD",71.18594531147001,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
sl_S2012150979_24031700901__24031700902,24031700901__24031700902,other_adjacent_tract_pair,low_review,accepted,S2012150979,Montgomery,E Middle La,MU,3356.0,0.23,E Middle La - Between Md 355 & Monroe St,N Washington St To Hungerford Dr,East,4.0,F,11395.0,10300.0,12085.0,10920.0,9.11,59.32,52.44,47.56,24031700901,24031700902,24031,24031,121.53223212162621,2156.0656665041347,1,-77.14864376489706,39.085091784312645,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150979,0.0,0.25,Urban,5.0,Major Collector,1.0,10301.0,11331.0,,S,True,False,montgomery_dc_spatial,True,11395.0,10300.0,12085.0,10920.0,10301.0,11331.0,4.0,1.0,3356.0,9.11,59.32,195,Census Tract 7009.01,24031700901,24031700902,"Montgomery County, MD","Montgomery County, MD",121.53223212162621,AADT_2018,daily vehicle trips whose OD path crosses this tract-pair boundary; direct adjacent OD only is stricter and will undercount through traffic
