value,count
60,3241
37,3009
57,2997
66,2984
33,2968
38,2924
64,2918
62,2913
65,2908
61,2879
34,2856
68,2846
35,2828
32,2826
56,2824
36,2789
55,2742
58,2725
67,2723
63,2714
30,2708
59,2698
71,2651
69,2640
40,2636
50,2630
70,2579
54,2488
47,2486
29,2439
31,2429
39,2429
53,2426
49,2393
52,2356
41,2304
42,2288
45,2262
44,2234
48,2220
27,2181
43,2177
51,2175
46,2146
28,2124
72,2025
74,1712
73,1636
26,1634
25,1463
75,1444
4,1425
24,1405
3,1382
6,1368
76,1279
5,1277
7,1232
12,1228
2,1215
13,1201
10,1188
11,1182
9,1149
17,1136
8,1123
14,1106
16,1080
15,1079
1,1071
77,1064
23,1010
22,939
78,912
18,911
0,797
20,729
19,714
80,672
79,666
21,638
81,583
82,463
83,441
84,373
<NULL>,351
85,285
86,224
87,174
88,155
89,147
90,64
93,57
91,55
92,34
95,29
94,27
96,9
99,6
110,4
97,4
