value,count
18:00,1292
09:00,1234
18:30,1099
17:30,1094
08:00,1090
17:00,1050
08:30,1011
19:00,1006
17:15,962
17:45,960
16:00,959
18:15,956
16:30,951
08:45,836
15:00,815
18:45,807
07:30,806
07:45,779
16:45,765
13:00,765
17:50,762
18:10,762
16:15,762
15:30,759
08:15,740
09:15,735
18:20,733
17:20,727
15:45,724
12:00,720
17:10,709
17:35,706
19:30,702
09:30,700
10:00,689
14:00,686
17:40,683
14:30,665
12:30,662
07:50,655
08:50,655
15:15,649
18:25,648
16:50,646
08:05,645
08:10,645
12:15,642
18:05,638
16:10,631
19:15,629
11:00,629
13:30,627
08:55,622
18:40,621
08:20,617
08:40,615
14:45,611
12:45,607
13:15,604
09:05,602
18:35,599
17:25,598
09:10,597
07:55,595
16:20,591
12:10,590
09:45,589
15:40,587
11:45,584
07:00,583
13:45,582
11:30,571
17:05,569
14:15,568
08:25,567
18:50,565
16:05,563
12:20,563
16:40,559
17:55,557
08:35,556
15:10,552
07:40,549
07:15,549
20:00,541
12:40,538
15:20,536
12:50,534
16:25,533
19:10,531
10:30,529
15:50,529
18:55,527
800,523
16:35,521
12:05,519
1730,518
19:05,516
13:20,508
1800,504
19:20,499
09:20,492
1600,490
1700,488
11:15,488
13:10,488
15:35,485
12:35,484
12:55,479
16:55,477
19:45,475
11:50,473
07:35,473
10:15,470
14:50,468
15:25,465
15:55,462
14:40,459
900,455
09:25,455
11:40,451
14:10,450
15:05,449
13:05,449
1630,448
20:30,444
830,442
07:25,437
12:25,433
14:55,431
10:20,429
19:25,429
11:20,426
13:35,424
1500,423
13:40,423
13:25,423
10:45,419
1830,418
09:40,416
07:20,416
19:40,415
1530,413
13:50,411
11:55,409
11:35,403
11:10,401
1715,400
14:20,398
14:35,398
1745,394
19:35,392
1615,386
11:05,384
09:50,383
14:05,381
20:15,380
13:55,374
1100,373
1545,373
11:25,371
1645,367
1300,364
1815,362
20:10,362
10:50,361
1900,359
09:35,357
1515,355
10:40,355
1430,353
845,352
10:05,352
1400,351
10:10,349
14:25,349
19:50,349
10:25,345
10:55,344
21:00,341
09:55,341
1710,338
1230,337
1200,334
10:35,334
745,333
1000,330
20:05,329
20:20,329
20:45,328
1030,327
930,320
07:10,317
915,316
1245,315
1720,314
730,314
1330,313
815,313
1845,308
1215,305
700,304
1130,300
1415,297
19:55,294
1315,290
21:30,290
20:35,290
1145,286
07:05,285
20:40,283
1445,279
20:25,279
1610,278
1810,277
06:45,274
1345,271
1510,270
06:50,269
1915,267
21:10,265
945,263
1740,263
1540,259
20:55,259
1750,257
1115,253
06:30,251
21:15,247
715,244
22:00,244
1820,240
1650,236
1735,235
750,235
1045,234
805,233
1220,233
1310,231
810,230
1620,230
820,229
1550,228
1420,228
1635,228
1705,227
1725,226
1440,225
910,225
06:00,225
1240,222
20:50,222
1625,220
1755,219
