value,count
<NULL>,65069
469,443
2062,376
490,366
1682,322
2024,320
1437,302
1436,288
2037,280
1003,277
399,276
2150,272
2920,268
513,256
2117,234
354,233
519,230
1320,230
1439,228
1292,226
1455,225
1128,222
1322,216
1435,211
1419,210
2087,205
462,199
2102,199
2064,197
2090,195
2316,194
1054,193
1285,192
1421,190
1427,189
2039,187
499,185
1438,183
1324,181
2908,180
1422,178
1253,176
2380,175
1301,173
1062,172
2119,170
712,170
2902,170
2023,167
1443,167
2913,166
2063,166
2091,165
1960,165
1899,164
2915,163
2025,161
1622,161
2176,156
2374,154
2914,153
1454,152
1424,149
238,148
2911,148
2823,147
1418,145
1425,145
1002,144
535,143
1780,142
1423,141
2086,141
1687,141
465,140
2896,140
1429,139
506,139
1250,138
1939,138
2560,137
2141,136
1057,133
1777,133
1220,131
1011,131
1274,131
2623,131
512,130
1249,129
2069,128
2018,128
2919,127
1773,127
1428,126
472,126
430,124
384,124
404,123
1442,123
2244,122
1449,122
1605,121
2103,120
2905,120
743,119
1372,118
703,118
658,118
1771,118
1914,118
1986,117
733,117
1765,116
2918,116
2118,116
1326,115
1465,115
442,114
2511,114
1866,114
540,113
2378,113
1903,113
1284,112
492,112
488,112
2189,112
2618,111
2742,111
1251,111
1461,111
1456,111
286,110
332,110
1400,110
77,109
910,108
1013,108
2921,108
1579,108
1688,107
1441,107
2906,107
2122,107
2622,106
1598,106
740,106
1904,106
1500,106
1186,105
1252,102
1245,102
1432,102
1411,102
1937,102
398,101
2552,101
1336,101
1448,101
656,101
2916,101
106,100
1585,100
2903,99
2752,99
522,98
546,98
415,98
745,98
868,97
880,97
2095,97
1546,97
1807,97
1272,96
312,95
2899,95
1051,95
1600,95
2381,95
2136,94
2088,94
1446,94
1410,93
918,93
1159,93
1426,93
1823,93
2022,93
542,92
738,92
1114,92
1434,92
2805,92
1416,91
1678,91
2084,91
1042,90
1339,90
655,90
2361,90
475,89
1325,89
892,89
1023,89
911,89
2114,89
1811,89
216,88
883,88
865,88
1199,88
244,87
2293,87
1055,87
1554,87
882,86
104,86
1684,86
1417,85
531,85
276,85
459,84
400,84
1599,84
2317,84
834,84
2907,84
1902,84
2300,84
1659,84
1783,84
1827,84
1583,84
1649,84
437,83
2614,83
875,83
854,83
1108,83
1268,83
711,83
1053,83
2,83
1503,83
2146,82
1420,82
11,82
950,82
1995,82
1541,82
536,81
816,81
365,81
364,81
864,81
861,81
839,81
2017,81
1686,81
481,80
1593,80
994,80
2301,80
2159,80
1552,80
2502,79
539,79
1584,79
1619,79
1984,78
