value,count
<NULL>,37242
2984,698
2986,508
2977,467
3021,440
3071,439
3050,413
3254,412
3091,403
3027,395
1492,389
3089,381
662,376
3096,365
3051,358
1501,358
1478,334
3024,325
283,322
624,320
3037,317
3269,316
3244,303
38,302
2754,300
2969,294
37,288
3271,287
3102,280
3060,280
637,280
3019,279
3034,276
1525,273
750,272
2935,268
3633,267
2982,266
3068,258
2269,253
3241,250
2637,248
3009,244
1517,243
3013,240
3077,240
3036,238
1493,238
717,234
2991,231
2994,229
3270,229
3016,228
40,228
56,225
3078,224
36,211
20,210
3045,210
2995,210
1415,209
1475,207
1490,205
687,205
1480,205
1496,203
2388,202
3012,202
1511,200
702,199
2630,199
664,197
1800,197
3101,196
3023,196
690,195
916,194
3382,193
1973,191
22,190
3675,190
3184,190
28,189
1920,188
2631,188
1472,187
639,187
3090,183
39,183
3087,182
3035,182
1579,181
2923,180
23,178
2628,178
980,175
1592,175
3041,171
719,170
2917,170
623,167
44,167
2928,166
663,166
691,165
560,165
499,164
2930,163
2357,162
625,161
223,161
3376,160
1739,159
3192,157
2343,157
776,156
3042,154
974,154
3072,153
3475,153
2929,153
55,152
1843,149
25,149
2975,148
2926,148
2838,147
1638,147
1473,147
3287,145
19,145
3250,145
26,145
3025,143
381,142
3044,142
3088,141
24,141
686,141
288,141
3631,140
2911,140
30,139
539,138
3040,137
1160,137
3152,137
3094,136
741,136
1798,135
2790,135
2089,135
2985,134
3082,134
2753,134
3580,134
378,133
1584,133
2272,133
1532,132
1223,131
3243,129
669,128
618,128
3265,128
2279,128
2934,127
374,127
29,126
3256,126
3107,124
3062,124
3296,124
1499,124
1821,124
1938,124
1628,124
43,123
3185,123
3674,123
3161,123
3100,122
844,122
50,122
1502,121
3665,121
1652,121
206,121
1555,121
703,120
2920,120
1543,120
3423,119
3158,118
372,118
514,118
2405,118
586,117
2973,117
3070,116
2989,116
3079,116
366,116
2933,116
718,116
2979,115
66,115
1567,115
2278,115
1111,114
2999,114
466,114
1458,114
1590,114
978,113
503,113
2270,113
1858,113
1734,113
1540,113
789,112
1600,111
3099,111
1218,111
1342,111
62,111
3657,111
57,111
3324,110
1,110
1817,110
1573,109
1414,109
2936,108
180,108
1665,108
289,107
42,107
2921,107
722,107
1222,106
199,106
504,106
101,106
1457,106
2624,105
1649,105
3435,105
3030,104
3272,104
3381,103
2138,103
1500,103
2968,102
3275,102
33,102
12,102
537,102
1527,102
2758,102
1152,101
49,101
1593,101
2931,101
1730,101
3038,100
186,100
2644,100
3093,99
3074,99
2918,99
1352,99
1769,98
1998,98
2034,97
695,97
147,97
2396,97
1972,97
407,97
2075,97
2144,97
3668,96
3441,96
2177,96
2914,95
201,95
1416,95
981,95
2265,95
2223,95
736,94
2271,94
2820,94
688,94
47,94
1477,94
3084,93
11,93
27,93
423,93
622,93
1549,93
1547,93
35,92
1940,92
2539,92
