value,count
10700,1416
5800,1226
10100,955
6202,900
10200,883
999999,759
40100,699
702402,685
10800,657
10600,656
702500,643
103402,629
606707,561
480202,540
900403,540
100,527
751003,523
740102,515
103502,506
980100,490
851002,476
10300,452
7200,448
807200,433
605402,429
740702,426
507602,421
500,414
10400,414
490103,412
700901,407
5500,387
201801,387
602306,378
1001,366
5900,362
10500,352
408400,342
102500,338
400,337
700817,337
702701,335
705000,334
200,333
101603,332
505102,328
740500,324
606706,319
200702,318
101500,313
482203,312
701216,305
507601,305
201900,303
740603,296
602302,294
101403,292
876002,289
980000,287
610400,286
605102,284
701205,280
440201,279
700904,276
605602,275
901410,275
600,273
980200,272
700826,270
1100,268
751200,265
500100,262
751102,259
303501,254
700718,251
851500,249
875500,247
930302,244
102902,243
704804,241
706500,239
611501,238
801404,237
103200,235
605503,232
750801,230
901403,230
800516,229
101802,229
430400,228
440600,228
950300,226
807102,226
606905,226
611806,226
910301,224
610505,219
703800,214
1401,213
611900,212
300300,210
421002,209
901231,209
611801,208
910402,208
101702,207
700304,206
700309,206
11100,205
701218,205
701211,205
740201,204
491703,204
702601,203
60400,202
451502,201
611802,201
110200,200
801405,200
806000,200
751500,199
1302,199
805908,197
750600,197
102302,197
1200,195
202,195
960400,195
704803,195
701004,193
806400,193
706101,192
505203,192
10603,192
300200,192
850901,192
482501,192
403702,191
101801,191
5301,190
803521,189
491201,189
611006,189
500300,188
850706,188
452400,187
10900,187
740304,186
731204,186
101404,186
491702,186
611502,185
730504,184
260605,184
606803,184
850802,184
610503,184
900502,184
5600,183
40200,183
451200,183
610702,183
400400,182
430600,181
507704,181
482202,181
750702,180
752204,178
461602,178
702209,177
420100,177
611020,177
702205,176
802204,176
704806,176
2302,175
750803,175
201300,175
803514,172
801217,172
7000,170
500200,170
7301,169
772200,169
860701,169
875600,169
200900,169
800504,168
408505,168
103503,168
900300,167
701800,167
850709,167
750200,167
450100,167
802405,167
700704,167
403402,165
1002,165
10502,165
750802,165
706600,164
750504,164
100200,163
701701,163
102801,163
731203,162
910100,162
200201,162
750804,161
731103,160
705602,160
930403,160
471202,159
701007,159
730502,158
260501,158
800402,157
491701,157
401507,157
704805,157
875801,157
610601,157
440701,156
401504,155
751201,155
611015,155
807404,154
201600,154
306500,153
30200,153
120202,153
750701,153
910201,153
440502,152
731307,151
701213,151
490101,151
4702,150
6500,150
5201,149
910302,149
610603,149
750503,148
404101,148
700723,148
507500,147
306100,147
700711,147
130700,146
301702,146
606603,146
602202,145
900904,145
750900,144
740900,144
450300,144
10101,144
951000,144
201400,144
730700,143
730901,143
960300,143
900,143
103501,143
611019,143
401102,142
807000,142
700829,142
701219,142
701509,142
10702,142
440202,142
875400,142
451300,141
951100,141
701312,141
4400,141
408800,140
301107,140
420600,140
461202,140
702602,139
302802,139
30506,139
701315,139
610506,139
920200,139
440702,138
702900,138
508200,137
301602,137
700706,137
701101,136
430101,136
421500,136
731201,135
606901,135
4300,135
611002,135
875802,135
401503,134
740305,134
750101,134
404202,134
416200,134
505207,133
801003,133
860702,133
610504,133
730203,132
303400,132
730100,130
602800,130
605505,130
611025,130
490900,129
950900,129
611016,129
452501,129
807408,128
504100,128
860900,128
611022,128
300,127
220100,127
602600,127
970400,127
700,126
701102,126
740800,126
440100,126
101100,126
440800,125
460501,125
860401,125
700818,124
490301,123
740701,123
706012,123
303803,123
460400,123
470500,123
422302,122
482301,122
700722,122
20306,122
3800,122
481202,122
490605,121
602303,121
30906,121
507801,121
901209,121
491801,121
415500,121
303801,120
801104,120
460800,120
491704,120
20300,119
101401,119
806100,119
452000,118
950100,118
491100,118
201,118
702800,118
300100,118
972503,118
900802,118
701421,117
765100,117
420800,117
431600,117
807405,117
20106,117
10303,117
10207,117
513001,116
421103,116
603004,116
271400,116
601203,116
950400,116
30100,115
6600,115
491401,115
450800,115
960501,115
200405,115
806710,115
611021,115
806200,115
31202,114
481900,114
803527,113
730402,113
302902,113
701314,113
801905,113
102200,113
270802,112
461500,112
280101,111
740602,111
492500,111
960201,111
860200,111
611102,111
611023,111
404404,110
11201,110
507802,109
10204,109
480902,108
4002,108
452101,108
860600,107
505101,107
2802,107
480802,107
611207,107
280500,106
301202,106
491202,106
514202,106
604002,106
930100,106
101900,106
875100,106
461601,106
740104,105
451900,105
471100,105
300400,105
101701,105
4202,104
901508,104
490703,103
601204,103
876200,103
9504,103
930303,103
901409,103
702206,102
860102,102
601201,102
504202,102
301301,102
606606,102
100900,102
611024,102
605401,101
400100,101
411309,101
100100,101
605104,101
302,101
750505,101
705502,101
8200,101
706302,100
403701,100
102400,100
700311,100
611004,100
876001,100
901701,100
800,99
702204,99
170200,99
450601,99
700902,99
850902,99
606907,98
451701,98
508101,98
461700,98
611014,98
200801,98
415100,98
731202,97
240400,97
400701,97
505208,97
421900,97
972505,97
850600,97
700604,97
7100,97
801307,97
700824,97
30904,96
301703,96
806708,96
480300,96
491803,96
451501,96
481400,96
951700,95
404403,95
806712,95
11500,95
471301,95
900100,95
40300,95
611700,95
731102,94
271200,94
930401,94
