value,count
17:00,1915
16:00,1642
18:00,1577
17:30,1530
16:30,1470
15:00,1431
15:30,1405
08:00,1401
07:30,1382
08:30,1256
13:00,1219
12:00,1203
09:00,1192
14:00,1169
18:30,1166
14:30,1127
12:30,1092
07:00,1064
11:00,1047
19:00,1037
17:15,1030
13:30,1018
11:30,1011
10:00,971
17:45,939
09:30,909
07:45,902
1700,878
1600,875
10:30,855
08:15,832
16:45,806
1630,788
18:15,780
20:00,774
1500,770
08:45,766
07:15,761
16:15,751
1530,748
15:45,718
19:30,717
12:45,714
18:45,708
15:15,702
1730,681
1800,681
17:10,680
12:15,672
700,665
800,649
1430,648
1230,645
14:45,637
1400,629
06:30,625
730,624
11:45,613
07:50,609
1000,607
900,597
20:30,596
16:40,592
17:40,591
18:10,590
16:10,579
13:15,576
830,568
13:45,566
17:35,565
17:20,563
07:40,563
19:15,560
08:40,554
14:15,553
17:05,553
1300,548
16:20,546
18:20,546
1130,545
07:20,542
1100,540
1200,539
16:35,536
1330,525
1830,523
09:15,522
08:10,518
08:20,512
06:45,511
15:50,510
17:50,510
16:50,503
11:15,502
08:50,498
15:10,494
18:05,487
930,484
08:05,484
21:00,481
16:05,475
06:00,471
17:25,464
15:20,463
10:15,456
12:10,454
1030,453
08:25,452
15:35,452
10:45,451
09:45,450
07:10,447
08:35,443
1900,442
18:40,441
12:20,438
07:25,438
15:40,434
14:40,433
07:35,431
15:05,430
07:55,418
12:05,417
16:55,414
13:10,413
12:50,411
19:45,409
12:40,407
09:10,406
14:20,405
1645,404
13:20,403
09:05,400
15:25,398
18:35,397
11:40,397
14:10,393
11:50,392
18:25,387
630,385
845,382
14:50,381
12:35,381
1545,380
18:50,379
745,376
815,374
17:55,365
1515,360
21:30,360
20:15,358
16:25,356
15:55,356
1715,355
13:50,354
14:35,353
12:25,353
11:20,351
07:05,347
19:10,346
11:10,342
13:40,342
09:20,340
715,339
1615,336
08:55,334
1930,333
14:55,331
1145,329
19:05,329
11:55,327
1745,325
09:40,323
1445,321
19:20,320
13:35,317
06:50,313
13:05,312
2000,309
10:20,307
10:50,306
1115,305
1245,305
14:05,304
18:55,302
11:05,300
1415,295
11:35,295
10:40,294
09:50,292
22:00,288
20:20,286
1215,285
1315,285
20:45,284
10:10,283
1045,279
06:15,278
06:40,278
12:55,277
14:25,275
19:40,274
1815,272
19:50,269
1345,266
2100,265
05:30,265
915,261
1015,261
09:35,261
21:15,256
2030,254
19:35,253
19:25,253
11:25,252
06:55,252
600,250
1845,249
13:55,248
13:25,247
10:35,246
20:10,240
945,238
1710,234
1750,231
645,230
1705,225
1720,225
750,219
1510,218
1810,218
1620,215
05:45,215
1540,214
20:40,214
740,213
09:55,212
10:05,212
09:25,211
1650,210
1550,209
1520,208
05:00,207
1450,206
1610,206
20:05,203
1535,201
10:55,201
1410,200
1735,200
1605,200
1420,199
10:25,199
1210,198
1635,195
1310,193
1140,192
820,191
1220,191
1525,190
850,190
1250,190
21:10,190
06:35,189
1740,186
1915,184
1440,183
1505,183
1150,182
1640,182
840,181
21:05,181
1205,179
1725,179
20:35,179
835,178
06:20,178
920,177
710,175
1320,175
19:55,175
1240,174
720,171
810,170
1435,169
1820,168
06:25,165
650,164
20:50,164
735,163
1850,162
1555,162
1655,162
1945,161
1040,161
910,160
1050,159
22:30,159
06:05,158
530,157
825,157
1340,156
1840,153
1110,151
705,150
950,150
1755,150
1120,149
20:25,149
21:40,148
20:55,144
725,143
755,143
940,142
21:45,142
1350,139
905,139
1155,139
1625,138
06:10,138
500,136
805,136
21:20,136
23:00,136
1010,135
1020,134
22:15,134
1910,133
1425,132
2200,132
1455,132
615,131
1335,130
935,129
2015,128
1235,128
2045,128
855,128
1405,127
1105,125
1805,125
1135,125
2130,124
1835,123
1305,123
05:50,122
1325,120
1225,119
1920,119
1025,118
1825,116
1125,115
545,114
1905,112
1255,111
640,108
1035,108
925,107
2010,107
1005,106
655,105
1355,104
1935,103
2115,100
05:15,100
2020,99
05:40,99
1855,91
620,91
21:50,89
04:30,89
05:55,87
22:10,86
1055,83
1925,83
955,83
21:35,81
2005,80
1940,79
635,77
22:45,77
05:20,76
21:25,75
2300,74
22:05,74
1950,73
23:30,73
05:35,73
550,72
2230,68
2025,65
2040,65
22:20,64
1955,62
00:00,62
04:45,62
2105,61
2110,60
2050,60
04:00,60
430,57
22:40,57
605,56
515,55
21:55,53
625,52
23:15,51
2330,50
1703,50
1702,50
04:50,50
610,49
2035,49
22:35,47
05:25,46
1706,44
1533,43
1717,43
1632,43
1602,43
2120,43
05:05,43
23:10,43
05:10,43
400,41
2145,41
1636,41
540,41
2135,41
1647,40
1512,40
23:05,40
2140,39
1548,38
22:50,38
2055,37
1718,37
1804,36
1304,36
1802,36
1712,36
1643,36
732,36
520,35
1648,34
1653,34
1728,34
2245,34
1437,33
1542,33
555,33
2150,33
1709,33
1607,33
00:30,33
1622,32
1637,32
1333,32
807,32
1658,32
1511,32
1438,32
1332,32
22:55,32
1801,31
1501,31
1459,31
1432,31
1823,31
2215,31
445,31
22:25,31
03:00,31
04:40,31
1246,30
1736,30
1448,30
1832,30
1252,30
1851,30
1734,30
723,30
1744,29
1546,29
1732,29
1306,29
1618,29
1722,29
1223,29
1447,29
728,29
1628,29
1544,29
2012,28
1757,28
1531,28
1112,28
1128,28
1758,28
330,28
1513,28
1208,28
1352,28
23:35,28
803,27
1812,27
1752,27
1813,27
1232,27
535,27
1017,27
1322,27
1748,27
1834,27
2210,27
1158,27
831,27
1723,27
1716,27
1631,27
1202,27
1642,27
1226,27
1538,27
1237,27
1656,27
1147,27
1451,27
04:55,27
1412,26
1822,26
1522,26
1708,26
1634,26
1738,26
823,26
1502,26
1623,26
1659,26
1731,26
1806,26
1443,26
836,26
1711,26
1747,26
1552,26
1336,26
1704,26
1342,26
1206,26
1421,26
1537,26
934,26
1818,26
2125,26
1528,26
2205,26
1218,26
748,26
1737,26
23:45,26
1627,25
1603,25
932,25
1534,25
1507,25
1746,25
1302,25
1847,25
1118,25
1353,25
1238,25
1107,25
718,25
1102,25
1817,25
1547,25
1616,25
1148,25
707,25
1612,25
1848,25
1721,25
1433,25
806,25
1557,25
1831,25
1536,25
847,25
812,25
1543,25
1313,25
1204,24
1254,24
1613,24
702,24
1431,24
1209,24
1327,24
1436,24
1458,24
1559,24
811,24
1514,24
1418,24
838,24
1556,24
1403,24
1701,24
1517,24
1201,24
842,24
1221,24
1558,24
1638,24
1553,24
1308,24
1253,24
912,24
2002,24
1526,24
2049,24
23:20,24
04:20,24
846,23
1037,23
1157,23
1452,23
1427,23
1729,23
1328,23
1651,23
1841,23
2315,23
1646,23
1541,23
701,23
724,23
712,23
802,23
1608,23
1739,23
1601,23
1211,23
822,23
00:15,23
03:30,23
23:50,23
00:10,23
04:25,23
1707,22
1114,22
1159,22
833,22
1117,22
1207,22
1733,22
1307,22
1442,22
947,22
1311,22
1351,22
1422,22
1803,22
746,22
742,22
1122,22
1727,22
1402,22
1343,22
1516,22
717,22
737,22
856,22
1419,22
709,22
1714,22
1742,22
1724,22
1904,22
1644,22
757,22
1426,22
1824,22
832,22
918,22
1506,22
450,22
1334,21
1214,21
1754,21
1038,21
1406,21
1416,21
1808,21
837,21
1836,21
510,21
1241,21
902,21
1347,21
1411,21
1423,21
804,21
1314,21
1652,21
1756,21
1052,21
1441,21
1633,21
1523,21
738,21
1713,21
2220,21
726,21
1358,21
1348,21
1453,21
1338,21
1222,21
1043,21
1943,21
01:00,21
818,20
1257,20
300,20
1154,20
1212,20
752,20
1457,20
1121,20
1807,20
1331,20
911,20
749,20
1247,20
1108,20
1743,20
828,20
1242,20
904,20
743,20
1057,20
708,20
1621,20
1316,20
1231,20
731,20
1124,20
1428,20
704,20
1217,20
1819,20
1103,20
1719,20
1639,19
1156,19
1303,19
1256,19
716,19
1814,19
758,19
1504,19
1027,19
736,19
1417,19
1906,19
819,19
1948,19
1657,19
1521,19
1604,19
1048,19
922,19
801,19
1617,19
1829,19
1053,19
525,19
1152,19
1006,19
1233,19
1942,19
04:15,19
23:25,19
01:30,19
23:55,19
754,18
1012,18
734,18
1151,18
1901,18
1539,18
1051,18
1649,18
901,18
1056,18
916,18
1902,18
1022,18
1132,18
1446,18
1839,18
1312,18
1236,18
1741,18
1337,18
1524,18
1508,18
1323,18
1243,18
1726,18
1401,18
1928,18
1624,18
1258,18
1503,18
1321,18
1753,18
1251,18
1858,18
1153,18
1934,18
1106,18
2155,18
00:05,18
1413,17
1002,17
1228,17
1408,17
1654,17
1259,17
