value,count
0.0,143
0.29,33
1.07,29
0.247,28
0.629,27
0.182,27
1.421,27
0.294,27
1.51,26
0.115,26
2.222,26
0.492,25
0.191,25
1.497,25
0.261,24
0.326,24
1.283,23
1.268,23
0.645,23
0.088,23
0.635,23
0.854,23
1.528,23
0.459,23
0.827,23
0.947,23
0.414,23
0.822,23
0.331,22
1.577,22
0.895,22
0.653,22
0.713,22
1.315,22
2.931,22
0.825,22
0.086,22
0.104,22
6.4019876938,22
0.1727998026,22
0.906,21
1.592,21
0.91,21
0.573,21
0.458,21
0.162,21
1.546,21
0.128,21
0.52,21
0.273,21
1.013,21
0.744,21
2.368,21
0.499,21
0.028,21
0.312,20
0.037,20
1.432,20
0.571,20
0.897,20
0.302,20
1.516,20
2.289,20
0.346,20
0.264,20
0.138,20
0.896,20
0.436,20
0.39,19
0.495,19
0.396,19
0.909,19
0.367,19
0.441,19
0.164,19
0.288,19
1.014,19
0.376,19
2.58,19
0.254,19
0.257,19
0.268,19
2.44,19
3.922,19
0.657,19
0.842,19
1.494,19
2.47,19
1.265,19
0.37,19
1.364,19
0.513,19
1.399,19
0.218,19
0.382,19
0.229,19
0.93,19
0.067,19
1.91,19
0.358,19
0.915,19
0.468,19
0.139,19
0.561,19
0.546,19
1.039,19
0.318,18
1.498,18
1.21,18
0.36,18
1.419,18
0.845,18
0.222,18
1.567,18
0.246,18
0.572,18
0.27,18
0.932,18
0.399,18
1.085,18
0.7,18
0.881,18
0.173,18
0.406,18
0.48,18
1.168,18
0.496,18
0.3,18
0.069,18
0.886,18
0.19,18
0.885,18
0.084,18
0.929,18
4.88,18
0.152,18
0.491,18
0.428,18
0.514,18
0.316,18
2.7,18
0.447,18
2.189,17
0.51,17
1.517,17
2.096,17
0.283,17
2.081,17
1.104,17
0.461,17
2.667,17
1.097,17
1.245,17
0.276,17
0.317,17
0.466,17
0.442,17
0.946,17
0.712,17
0.469,17
0.558,17
0.224,17
0.372,17
3.341,17
1.152,17
0.674,17
1.349,17
0.143,17
0.112,17
0.198,17
0.341,17
1.353,17
1.145,17
0.624,17
2.154,17
0.324,17
0.652,17
0.94,17
1.751,17
2.52,17
0.245,17
0.493,17
