value,count
<NULL>,67480
462,421
2380,329
2119,271
743,270
2823,269
1285,262
1051,253
2176,250
2037,240
488,239
499,235
469,235
1055,232
2150,232
1249,231
2896,228
1057,224
2908,214
865,211
437,204
490,203
1547,193
2039,190
1904,190
400,189
554,188
535,188
332,183
2022,183
2115,182
831,181
2087,181
2084,179
2017,178
2914,177
1199,176
495,174
475,172
1556,168
384,165
1006,164
1678,161
2062,159
2918,159
1964,158
2118,158
2024,156
1552,156
1939,155
456,154
1581,153
1922,152
1023,151
947,150
512,149
391,149
1062,148
1902,147
1984,147
1565,147
738,146
994,146
2151,145
2915,145
1605,145
2622,143
1065,142
2552,142
2863,142
459,142
955,141
1813,141
1676,140
861,139
1217,139
1316,138
1448,138
142,137
1687,137
2913,137
465,136
1937,136
1555,136
2623,135
2465,134
2003,134
2363,134
1441,134
1130,133
2,133
2019,133
2016,131
1828,131
2374,131
464,130
1251,130
1550,130
1965,130
2097,130
2298,130
104,129
2023,129
1966,129
1499,129
500,128
552,128
1030,128
696,127
1372,127
1361,126
2025,126
982,126
2901,126
1915,126
532,125
364,125
1649,125
2018,125
415,125
1061,123
1689,123
1007,123
416,122
750,122
1198,122
1940,121
2136,121
1899,121
1807,121
1338,120
1820,120
911,119
1229,119
1292,119
875,118
838,118
1387,118
2159,118
1014,118
2919,117
2063,115
491,114
2488,114
4,113
1446,113
2243,113
315,112
540,111
918,111
15,111
27,111
2088,111
880,110
1126,110
1914,110
1785,110
2080,110
30,109
1585,109
2911,109
1771,108
2904,108
2916,108
2490,108
1582,108
2382,107
419,106
2089,106
2889,106
1815,106
2822,106
509,105
546,105
2077,105
945,104
26,104
498,104
1903,104
558,102
665,102
942,102
830,102
1269,102
1284,102
2064,102
1592,101
2560,101
521,100
2512,100
1288,99
265,99
151,99
969,98
1973,98
492,97
528,97
1128,97
311,97
1695,97
2038,97
1477,97
455,96
811,96
1809,96
1522,96
1888,96
1366,96
1579,95
417,95
993,94
1154,94
1987,94
1339,93
1234,93
1505,93
1971,93
383,92
2006,92
1501,92
628,91
135,91
1694,91
414,90
1392,90
2117,90
66,89
2371,89
1843,89
858,88
1004,88
1356,88
2364,88
614,87
1293,87
312,87
1590,87
2361,87
1673,87
