value,count
51_01302,5136
24_00400,4598
24_01201,4533
24_01003,4189
51_51255,4091
51_51246,3793
11_00105,3650
24_00902,3647
24_01004,3411
24_01500,3375
24_01400,3373
24_00901,3247
24_01600,3081
51_01301,2946
24_01204,2859
24_00302,2820
24_01203,2752
51_10703,2744
24_00200,2743
51_10702,2591
24_01105,2573
51_51245,2500
24_00602,2455
24_01300,2453
11_00103,2414
24_01107,2397
11_00102,2353
24_01007,2298
51_59307,2245
24_00804,2218
51_59303,2214
11_00104,2212
11_00101,2176
24_00507,2030
51_59305,2019
24_00601,1983
51_59308,1982
51_59301,1962
24_00301,1953
51_10701,1926
24_00802,1904
24_01202,1892
51_51115,1889
24_01001,1872
51_59302,1869
24_01101,1859
51_51120,1849
24_00506,1845
24_00803,1776
24_01103,1774
24_00502,1743
24_01005,1689
24_01104,1687
24_00801,1678
24_00805,1627
24_00503,1609
24_00700,1551
51_59309,1540
24_00504,1519
24_01102,1517
24_01002,1487
24_01106,1429
51_51087,1413
51_51244,1409
24_00505,1395
24_00100,1255
24_01006,1240
24_00501,1228
51_59306,1221
51_59304,1146
54_00400,1014
51_51084,422
