value,count
<NULL>,36549
2984,847
3071,661
1525,604
1492,598
3024,597
3051,565
2977,562
3019,424
1478,416
3060,411
3009,405
3270,397
3041,377
3102,365
3068,364
2986,343
980,329
3271,328
1517,328
3050,323
1490,316
2343,311
2628,304
3016,302
3241,300
3192,296
3078,294
2631,294
3269,285
1500,285
1543,284
3042,278
3089,277
3044,275
3272,273
719,271
3027,269
2838,269
2790,269
3037,264
3243,263
3101,258
776,250
3012,249
3631,243
3034,241
3079,240
637,240
3021,235
3580,233
750,232
3100,228
2911,228
1502,225
2985,224
1540,220
1415,217
1475,216
2923,214
1584,212
2278,211
2995,210
3091,208
2637,208
2272,206
1570,206
2405,206
3161,205
3096,204
1527,204
2765,204
3072,199
3082,197
3250,197
3038,196
2279,196
148,193
639,190
504,190
2269,189
3088,188
3191,187
3023,186
1473,185
1551,184
1501,184
3099,183
3107,183
622,183
3265,182
715,182
687,181
3675,180
684,179
3045,178
1638,178
617,178
3253,177
2929,177
1458,176
2638,171
3256,171
157,168
3475,167
2359,167
1938,166
3324,166
2396,165
3373,165
1555,165
3084,164
2644,163
2414,163
1414,162
1539,162
1477,161
279,161
2630,160
3307,160
662,159
2933,159
1768,158
564,158
718,158
1800,157
2677,157
3632,157
624,156
1579,156
3668,156
1947,156
153,156
539,155
1565,155
1920,155
1571,154
2979,153
182,153
2147,153
522,152
2624,149
3669,148
1532,148
3548,148
502,147
584,147
166,147
2999,146
2971,146
1499,146
2060,146
751,145
2930,145
206,145
2781,144
1222,143
2307,143
1152,142
2878,142
413,141
1590,141
3260,140
277,140
1582,140
3254,139
2965,139
1575,138
49,138
1989,138
3074,137
288,137
2928,137
537,136
1547,136
156,136
1694,136
2969,135
1223,135
1065,134
603,134
3674,134
963,134
42,134
619,133
1493,133
2063,132
616,131
428,131
1810,131
974,131
151,130
565,130
697,130
898,130
3035,129
623,129
566,129
3246,129
100,129
2982,128
2397,127
2992,126
625,126
2916,126
515,126
2276,126
250,125
618,125
1592,124
2973,123
3006,123
3656,123
1806,123
1474,123
290,123
3158,122
540,121
736,121
499,121
2303,121
407,121
420,120
2789,120
3090,119
3046,119
2952,119
759,118
1864,118
3633,118
3011,117
2934,117
2968,116
2994,116
663,115
2413,115
3252,114
1088,114
47,113
1563,113
1596,113
843,113
3236,112
1767,112
2734,112
2044,111
2668,111
688,111
514,110
386,110
680,110
186,109
2926,109
1558,109
3175,109
372,108
2919,108
2931,108
1090,108
183,108
2399,108
3275,107
2135,107
982,107
1724,107
3395,107
2726,107
1429,106
1652,106
689,106
2904,106
1412,106
415,106
2837,106
3095,105
2993,105
1858,105
677,105
2261,105
2145,105
1618,105
3255,104
503,104
2665,104
2717,104
3657,104
1515,103
3141,102
664,102
1908,102
193,101
1160,101
2125,101
2047,101
3013,100
1112,100
3076,99
1940,99
3382,99
1998,99
3412,99
1508,99
3075,98
1974,98
573,98
2049,98
2674,98
2144,98
3187,98
3182,98
296,97
638,97
78,97
3007,96
409,96
2134,96
1593,96
123,96
488,96
180,95
1968,94
587,94
2069,94
1528,94
3595,93
106,93
2753,93
2564,93
571,93
3015,92
2133,92
1734,92
606,92
1653,92
102,92
1665,91
295,91
1699,91
2038,91
3244,90
1670,90
1732,90
2364,90
717,90
2308,90
2534,90
2997,89
971,89
1960,89
443,89
2967,88
2988,88
3087,88
2645,88
3378,88
1747,88
964,88
191,87
961,87
2305,87
274,87
245,87
3381,87
51,86
2300,86
1817,86
1585,86
2940,86
129,86
3248,85
2975,85
512,85
670,85
3145,85
154,85
1578,85
342,85
1761,85
385,84
3472,84
755,84
2341,84
1911,84
1436,84
973,84
2302,84
979,84
3109,83
3242,83
2987,83
1750,83
1739,83
594,83
1549,83
352,82
305,82
2582,82
2068,82
1706,82
595,82
2128,82
1205,82
710,82
2990,81
189,81
2071,81
475,81
2304,81
3441,81
3245,80
543,80
1986,80
1647,80
104,80
3328,80
2670,80
1017,80
452,79
143,79
2775,79
1952,79
1559,79
1798,79
265,79
1978,78
511,78
3370,78
1567,78
1856,78
632,77
694,77
2917,77
84,77
2393,77
1980,77
25,76
2156,76
1637,76
1922,76
1597,76
1595,75
1480,75
1639,75
2415,75
854,75
2829,75
2666,75
3085,74
146,74
700,74
1405,74
2366,74
1535,74
530,74
981,74
3198,74
2541,74
185,73
2073,73
2889,73
3665,73
3049,73
1416,73
1156,73
778,73
2983,72
1766,72
782,72
3194,72
1553,72
2354,72
120,72
602,72
1224,72
2007,72
1929,72
3312,72
2843,72
665,71
1979,71
50,71
2942,71
2138,71
2266,71
2406,71
704,70
2690,70
707,70
2918,70
1460,70
330,70
371,69
3313,69
3438,69
3008,69
219,69
2478,69
574,69
3128,69
1659,69
2820,69
2362,69
1026,69
2089,69
425,68
347,68
178,68
1851,68
1671,68
1951,68
1242,68
1962,68
3490,68
2730,67
2909,67
410,67
3629,67
211,67
3511,67
1696,67
2177,67
2895,67
427,67
826,67
346,66
965,66
1847,66
575,66
302,66
634,66
3329,66
147,66
1646,66
1589,66
2727,66
903,66
275,66
293,66
2996,65
3054,65
1643,65
1902,65
577,65
406,65
3315,65
2281,65
627,65
673,65
3474,65
1267,65
790,65
518,65
1892,65
3575,65
149,65
3446,65
2395,65
3385,65
317,65
2468,65
3111,64
3058,64
161,64
905,64
2146,64
713,64
1674,64
787,64
666,64
1246,64
966,64
1657,64
1232,64
1984,64
2070,64
3670,63
1976,63
175,63
1218,63
2750,63
1939,63
1791,63
1816,63
2504,63
133,63
2067,63
2351,63
491,62
365,62
546,62
257,62
1632,62
1661,62
569,62
1903,62
