value,count
740500,597
10300,568
702500,510
103200,510
102500,474
103402,470
851002,450
602306,445
702402,430
10200,411
103503,408
103501,406
100,396
610400,388
10100,384
102302,384
611900,381
806400,380
1001,376
10400,369
103502,361
201801,359
605503,354
500,353
611806,352
200,343
730504,342
740702,338
605402,338
505102,335
806100,332
801404,331
901231,331
102902,328
507704,325
102801,324
740102,323
10600,307
101403,303
731203,298
731307,296
600,290
702601,288
10500,286
701004,282
420600,277
900904,276
514202,273
101802,272
606905,271
491100,270
611802,270
900802,270
750503,269
401504,268
610601,263
5500,261
930403,260
1302,259
101100,256
10900,255
701701,255
740701,254
611801,253
910402,249
750101,248
740104,246
806000,243
400,241
704803,238
951100,236
701216,236
875500,235
611016,235
301602,231
101500,231
700826,229
700902,229
860401,229
740305,226
702900,226
451300,224
505207,224
606603,221
700711,221
800504,221
201600,221
700704,221
301702,220
701312,220
201100,220
102200,220
201300,218
101702,216
270802,215
271400,215
702205,214
701213,214
750702,214
606803,213
850709,212
920200,211
702204,210
604002,208
605401,207
491703,207
5301,207
610504,206
900100,206
807408,205
506101,203
851500,203
702209,202
500300,201
802803,200
10603,199
700901,199
11500,198
876002,198
500100,195
752204,195
430101,194
30904,194
11000,194
500200,194
801905,194
910201,193
101603,193
491401,192
803519,192
910301,192
101404,192
750600,192
700706,191
730100,190
504202,190
807102,190
875600,190
30506,189
800516,189
730901,188
6700,188
702206,187
751500,186
606607,186
201400,186
421300,185
200404,184
702602,183
730203,183
452400,183
461500,183
504100,182
306400,182
803521,182
400400,181
441000,181
508101,180
1200,180
461602,180
930402,180
750801,179
900502,179
740304,178
301302,178
200702,178
7200,178
701800,178
702208,176
740900,176
301704,176
611022,176
703902,175
611021,175
700310,175
950300,174
508200,173
200900,173
440701,172
806200,172
730502,171
305100,171
461202,170
860600,170
910302,170
450100,169
505206,168
701704,168
40300,168
2701,168
507801,168
731102,167
11100,167
303605,166
471202,166
611025,166
505203,164
705602,164
4300,164
850706,164
950800,163
1600,162
706500,162
750803,162
301601,162
750804,161
900300,161
5002,161
802804,161
480300,160
505208,159
10700,159
420100,158
420401,158
200801,158
401507,157
421101,157
606704,157
700817,157
300300,157
703209,157
910202,157
850600,157
950600,156
2702,156
300,155
200107,155
300200,155
701211,155
30100,154
601203,154
302,154
30906,153
602303,153
4201,153
702701,152
402604,152
301703,152
804700,152
972201,152
421002,152
731201,151
701214,151
611024,151
605102,150
751003,150
610603,150
1100,149
700309,149
800208,149
606806,148
40100,148
120100,148
304201,147
701304,147
701503,147
850712,147
490800,146
10605,146
611004,146
303803,145
606606,145
960201,145
260202,145
700828,145
750504,145
740103,144
101701,144
450300,143
490101,143
11400,142
4202,142
701,142
700718,142
707001,141
491701,141
507602,141
876200,141
605502,140
740800,140
750802,140
461700,140
606907,140
701205,140
40400,140
901209,140
601201,139
603001,139
801707,139
431600,139
201204,138
875901,138
702800,138
606706,138
303501,137
1002,137
610800,136
461601,136
602302,135
602900,135
102600,135
610101,135
450601,135
302802,134
700823,134
901900,134
3900,134
850904,134
611020,134
20203,134
130700,133
272006,133
470900,133
875802,133
752302,133
200703,132
701201,132
804200,132
306100,131
602600,131
850802,131
491502,131
200302,131
611209,131
4001,130
972501,130
700818,130
611019,130
402509,129
440702,129
130600,129
930304,129
901221,129
802405,129
706402,128
605602,128
101900,128
2202,128
415500,128
700,127
730506,127
740203,127
481900,127
10303,127
402307,126
507500,126
910401,126
704600,126
775600,126
471100,126
611015,126
1401,125
701400,125
731004,125
100200,125
701102,125
751903,125
700205,125
930500,124
611102,124
901412,124
800511,124
901508,123
910100,123
930302,123
101703,123
751600,122
452000,122
807405,122
300100,122
2400,122
801807,122
481400,122
773500,122
31202,121
303400,121
100100,121
110200,121
280401,121
611206,121
850902,121
875201,121
700824,121
901602,121
5201,120
491702,120
610202,120
802204,120
706600,119
505101,119
10502,119
704806,119
201000,119
10204,119
860900,119
800409,119
901010,119
705100,118
740602,118
706301,117
451100,117
507601,117
606904,117
950400,117
10606,117
200701,117
700719,117
611023,117
9400,117
1402,116
601204,116
482301,116
420700,116
850713,116
901005,116
801004,116
430400,115
970702,115
950100,115
10800,115
860200,115
6500,115
901410,115
802001,115
801901,115
301401,114
700311,114
201500,114
482203,114
8100,114
851400,114
