value,count
140003618,74
140058990,55
170100443,53
170007850,48
170025744,47
140016106,45
180056429,45
140039691,44
170050695,44
170006186,43
180017814,43
180254474,43
140016742,42
180071032,42
140052915,41
180072357,41
180093381,41
170070423,40
180027185,40
180166219,40
140010127,39
140022995,39
170048812,39
180130514,39
140058296,38
180064231,38
180143194,38
180174082,38
140052722,37
170009634,37
170060933,37
180101345,37
180166908,37
180197687,37
140033585,36
170027860,36
170039566,36
170090843,36
180009320,36
180126396,36
180191594,36
140029422,35
140038820,35
170003359,35
180004278,35
180164127,35
140001818,34
140016514,34
140024870,34
140030224,34
170063409,34
170068560,34
170080180,34
170081867,34
180008743,34
180011055,34
180029668,34
180040494,34
180105467,34
180185635,34
140007310,33
140013840,33
140026954,33
140040247,33
140059743,33
170000371,33
170029084,33
170057538,33
170094831,33
170103732,33
180036352,33
180176427,33
180252243,33
140006299,32
140009376,32
140053131,32
140061168,32
170019100,32
170036768,32
180032171,32
180075674,32
180193783,32
180195727,32
180202931,32
140024547,31
140025190,31
140027471,31
140058336,31
170041981,31
170045403,31
170084002,31
170085625,31
180044897,31
180067294,31
180164431,31
140000671,30
140022074,30
140027278,30
140027443,30
140037691,30
140064282,30
170001994,30
170018456,30
170019262,30
170033133,30
170078464,30
170093611,30
180027731,30
180030273,30
180033153,30
180054296,30
180060268,30
180072096,30
180102980,30
180113804,30
180146254,30
180156615,30
180168287,30
180174283,30
140002988,29
140006271,29
140013149,29
140017031,29
140020410,29
140063169,29
170007821,29
170008944,29
170016199,29
170018904,29
170020252,29
170023024,29
170028598,29
170029033,29
170040726,29
170044989,29
170052152,29
170086123,29
170087931,29
170096644,29
170102523,29
180005762,29
180123331,29
180138941,29
180172816,29
180173909,29
180250971,29
140000646,28
140007486,28
140010995,28
140023551,28
140024632,28
140036097,28
140036762,28
140039919,28
140061751,28
170002940,28
170003779,28
170008092,28
170017004,28
170023113,28
170030612,28
170034069,28
170043890,28
170069818,28
170095440,28
170100576,28
170106444,28
170106965,28
180003195,28
180005276,28
180007664,28
180066936,28
180069851,28
180095955,28
180137494,28
180200053,28
180232739,28
180236932,28
180247546,28
180247587,28
140013213,27
140013982,27
140018845,27
140029279,27
140033263,27
140035537,27
140035685,27
140040487,27
140051670,27
140056134,27
140061237,27
140063551,27
140065262,27
140065865,27
140074745,27
170002232,27
170008423,27
170014881,27
170036428,27
170093318,27
170098803,27
180009220,27
180009522,27
180011703,27
180016590,27
180034539,27
180045124,27
180057194,27
180089193,27
180145893,27
180151116,27
180157887,27
180228708,27
180233615,27
180240067,27
140000393,26
140010292,26
140012584,26
140012740,26
140012842,26
140013516,26
140014043,26
140014295,26
140015695,26
140020860,26
140024166,26
140026396,26
140030997,26
140033598,26
140035315,26
140040309,26
140051710,26
140064884,26
170014721,26
170017226,26
170020350,26
170031714,26
170053161,26
170069457,26
170073752,26
170090445,26
170110400,26
180014346,26
180015604,26
180048687,26
180056357,26
180057734,26
180059015,26
180069816,26
180104446,26
180115326,26
180129591,26
180141189,26
180164614,26
180173946,26
180181131,26
180194869,26
180195339,26
180223805,26
180224786,26
140000071,25
140006473,25
140012793,25
140012987,25
140014008,25
140025671,25
140026010,25
140028398,25
140028421,25
140041813,25
140050856,25
140050886,25
140056221,25
140060981,25
140062432,25
170003449,25
170012491,25
170030926,25
170031231,25
170033489,25
170074369,25
170089654,25
170091086,25
170100858,25
170109659,25
180031786,25
180039514,25
180047014,25
180047348,25
180054762,25
180057676,25
180067400,25
180075200,25
180109903,25
180119363,25
180127153,25
180149613,25
180160526,25
180172391,25
180181555,25
180187088,25
180187627,25
180224273,25
180244784,25
140004558,24
140008061,24
140008840,24
140014000,24
140014439,24
140015815,24
140016768,24
140025531,24
140027775,24
140032026,24
140033374,24
140035195,24
140037140,24
140039547,24
140050575,24
140052328,24
140052419,24
140055431,24
140063613,24
170003477,24
170005694,24
170010825,24
170012507,24
170024129,24
170034268,24
170039165,24
170041063,24
170043276,24
170046222,24
170046312,24
170046551,24
170053726,24
170058391,24
170061566,24
170069554,24
170072896,24
170088756,24
170091111,24
170110592,24
180012633,24
180019799,24
180020803,24
180024428,24
180029501,24
180029655,24
180044941,24
180049713,24
180051271,24
180051504,24
180063813,24
180067157,24
180073403,24
180075956,24
180102817,24
180105357,24
180108776,24
180116426,24
180142905,24
180160900,24
180190863,24
180203300,24
180206121,24
180206707,24
180206919,24
180210038,24
180211278,24
180218481,24
180222715,24
180223589,24
140000326,23
140002459,23
140008282,23
140009207,23
140014145,23
140014254,23
140024155,23
140024512,23
140028584,23
140031437,23
140050896,23
170003665,23
170006726,23
170008386,23
170016683,23
170037797,23
170046237,23
170047698,23
170054133,23
170060283,23
170087240,23
170089238,23
170100113,23
170104761,23
170110780,23
180000740,23
180005066,23
180006492,23
180019357,23
180020035,23
180026302,23
180039583,23
180040468,23
180071754,23
180105838,23
180109909,23
180116386,23
180123533,23
180143948,23
180149749,23
180153944,23
180156439,23
180169856,23
180182216,23
180182339,23
180183349,23
180185779,23
180194793,23
180195479,23
180201718,23
180203209,23
180213174,23
180222798,23
180225416,23
140000966,22
140001111,22
140002035,22
140002062,22
140005885,22
140006039,22
140007073,22
140009253,22
140012021,22
140025798,22
140026031,22
140026701,22
140027288,22
140029206,22
140032822,22
140033345,22
140036783,22
140037878,22
140038156,22
140039396,22
140063445,22
140065404,22
170002565,22
170003045,22
170004038,22
170010609,22
170010846,22
170018844,22
170028483,22
170031603,22
170031805,22
170031877,22
170035949,22
170036912,22
170038836,22
170046029,22
170050285,22
170053685,22
170053901,22
170057039,22
170063518,22
170064743,22
170068395,22
170077814,22
170095372,22
170104735,22
170108711,22
180012906,22
180014315,22
180022294,22
180022579,22
180055084,22
180055158,22
180062685,22
180064557,22
180064974,22
180071390,22
180075847,22
180075930,22
180085057,22
180091849,22
180092533,22
180097028,22
180103929,22
180111744,22
180116685,22
180118018,22
180120128,22
180121384,22
180128154,22
180147000,22
180151829,22
180152191,22
180162197,22
180166639,22
180167388,22
180169527,22
180214104,22
180220524,22
180222534,22
180223885,22
180224641,22
180231032,22
180236993,22
180248049,22
140001331,21
140001490,21
140002885,21
140010827,21
140012113,21
140013901,21
140015408,21
140015982,21
140018066,21
140018120,21
140018829,21
140022833,21
140023503,21
140025360,21
140025811,21
140026145,21
140027033,21
140028073,21
140028966,21
140029163,21
140035474,21
140040167,21
140054897,21
140056790,21
140058051,21
140061905,21
140063544,21
140063567,21
140064771,21
140074127,21
170002624,21
170005679,21
170006658,21
170009153,21
170021906,21
170026425,21
170026822,21
170031710,21
170035891,21
170036652,21
170040204,21
170045309,21
170045367,21
170048395,21
170051950,21
170051980,21
170053886,21
170062038,21
170062551,21
170065704,21
170068331,21
170070904,21
170072366,21
170081206,21
170084709,21
170090944,21
170091992,21
170094190,21
170095591,21
170101263,21
170106759,21
170107386,21
180001835,21
180007395,21
180037044,21
180042497,21
180043180,21
180052457,21
180067553,21
180067880,21
180072067,21
180073553,21
180080454,21
180087820,21
180087867,21
180091506,21
180092791,21
180100724,21
180103844,21
180105593,21
180123506,21
180136943,21
180139013,21
180139581,21
180153002,21
180174412,21
180181917,21
180190995,21
180193108,21
180203133,21
180206188,21
180211333,21
180228005,21
180228137,21
180232056,21
180247435,21
180248309,21
140000692,20
