value,count
<NULL>,39847
Toyota,23173
Honda,19886
Ford,11928
Chevrolet,8078
Subaru,6742
Nissan,6655
Hyundai,6124
Mazda,3592
Dodge,3316
Volkswagen,3265
Jeep,3211
Lexus,3164
Kia,2664
Acura,2530
BMW,2219
Chrysler,2113
GMC,1754
Audi,1347
Mercedes-Benz,1307
Buick,1302
Volvo,1292
Infiniti,976
Cadillac,942
Mercedes Benz,622
Mitsubishi,566
Saturn,503
Lincoln,477
Mini,473
Mercury,459
Pontiac,446
Scion,427
Land Rover,258
Ram,210
Saab,173
Porsche,164
Jaguar,155
Fiat,149
Tesla,138
Oldsmobile,131
Suzuki,95
Unknown,52
Harley Davidson,40
Plymouth,31
smart,31
Isuzu,28
AM General,25
White/Autocar-White/GMC,23
Kawasaki,20
Aston Martin,20
Alfa Romeo,20
Yamaha,17
Hummer,15
American Motors,14
Genesis,10
Roadtrek,7
AMC,7
Renault,6
International Harvester/Navistar,6
Geo,6
GEM,6
Smart,4
Ducati,4
Winnebago,4
MBG,4
Lance,4
Piaggio,4
Indian,3
MB,2
Bentley,2
Ferrari,2
