value,count
<NULL>,39943
Camry,4517
Accord,4453
CR-V,4400
Odyssey,3615
Prius,3044
Corolla,2997
Sienna,2574
RAV4,2525
Forester,2508
Highlander,2503
Civic,2377
Escape,2001
Sonata,1761
Pilot,1717
Elantra,1695
Altima,1656
Fusion,1441
Outback,1358
Focus,1294
"Civic/CRX, del Sol",1270
Mazda3,1149
Fit,1091
Santa Fe,1074
Legacy/Outback,1039
Silverado,1028
Equinox,1019
Jetta,1003
Rogue,997
F-150,931
Grand Cherokee,912
F-Series pickup,909
Tacoma,868
Explorer,846
Malibu,812
CX-5,772
Avalon,730
MDX,724
3 series,711
4Runner,690
Sentra,689
Edge,687
Impreza,685
Cherokee,681
Impala,656
Cruze,645
Town & Country,632
Versa,625
Passat,580
Sorento,570
Ram Pickup,568
RDX,518
Caravan/Grand Caravan,507
Optima,496
Grand Caravan,490
Soul,489
Murano,475
TL,469
RX 350,464
Tucson,463
Acadia,446
E-Class,443
Mazda6,429
Ranger,424
Legacy,417
Taurus,412
Mustang,411
Pathfinder,411
Tundra,403
C-Class,395
Explorer Sport Trac,393
Town and Country,387
Accent,374
Matrix,367
Pacifica,361
A4,360
Tiguan,357
Frontier,356
ES 350,350
Liberty,343
XV Crosstrek,339
TSX,339
Enclave,334
Suburban,317
Terrain,316
ES-250/300/300h/330/350,310
Expedition,309
Maxima,301
Mazda5,300
Sierra,297
X3,293
Colorado,278
Yaris,273
Prius v,272
Sportage,270
Cooper,266
Journey,265
YJ series/Wrangler,265
RX300/350,252
SRX,252
Volt,251
"Medium/Heavy Pickup (pickup-style only - over 10,000 lbs.)",249
Sedona,249
Durango,248
LaCrosse,245
Q5,239
Sequoia,239
Wrangler,238
Venza,226
Forte,224
5 series,224
Traverse,224
Fiesta,222
GTI,222
3-series,215
Element,214
Compass,208
Patriot,208
Xterra,207
Fullsize Blazer/Tahoe,205
XC90,200
CX-9,195
S60,194
Golf,193
Genesis,192
1500,191
Ridgeline,186
Outlander,186
XC60,185
200,182
Crosstrek,181
F-250,181
Cobalt,179
Flex,177
A6,176
Sonic,174
Prius c,174
