value,count
<NULL>,64910
469,443
2062,375
490,366
1682,326
2024,325
1437,302
1436,288
2037,282
399,277
1003,277
2150,272
2920,268
513,257
2117,235
1320,233
519,230
354,227
1292,226
1439,226
1455,224
1128,224
1322,217
1419,211
1435,211
2087,207
2102,200
462,199
2316,195
2090,195
2064,194
1054,193
1285,192
1427,191
1421,189
499,185
2039,183
1438,182
1324,181
1422,177
2908,177
1253,176
2380,176
1301,171
1062,171
2902,171
712,170
2119,169
2913,167
1443,166
2023,165
2091,165
1960,165
2915,165
1899,164
2063,164
2025,161
1622,161
2176,158
2374,158
1454,153
2914,152
1424,150
2911,149
535,147
2823,146
1418,146
1425,146
238,145
1002,145
1780,142
2086,142
1429,141
465,141
1423,141
2896,140
1939,139
1687,139
506,138
2560,138
1250,138
2141,135
1057,134
1777,133
1011,132
2623,132
1274,131
512,129
1249,129
1220,128
472,127
2919,127
1773,127
2069,127
1428,126
2018,126
430,125
404,123
384,123
1442,123
733,122
2244,122
1449,122
658,120
2103,120
743,120
2918,120
1914,119
2905,119
1771,118
1605,118
1986,117
1765,117
703,117
1465,117
1456,116
442,115
2511,115
1372,115
1866,115
2118,115
332,114
2378,114
1326,113
1903,113
540,112
1461,112
2618,111
488,111
492,110
1251,110
1400,110
2189,110
77,109
286,109
2742,109
1284,108
2906,108
1441,107
740,107
1013,107
2921,107
2122,107
1688,106
1598,106
910,106
1500,106
2622,105
1186,105
1579,105
1245,104
1904,104
1336,102
1432,102
1411,102
2916,102
1937,102
398,101
1252,101
656,101
1807,101
415,100
106,100
745,100
2552,99
2903,99
1448,99
522,98
1600,98
1585,98
2752,98
1272,97
546,97
312,97
880,97
2095,97
868,96
2136,95
1446,95
475,94
1410,94
2899,94
1023,94
1051,94
1678,94
2084,94
542,93
738,93
918,93
1426,93
1823,93
2381,93
2088,93
1159,92
1434,92
1416,92
1546,92
2022,92
1339,91
1114,91
1325,90
2805,90
2361,90
1042,89
2293,89
865,89
655,89
2114,89
1811,89
244,88
911,88
1055,88
216,87
892,87
883,87
104,87
1199,87
400,86
1554,86
1417,85
531,85
459,85
1599,85
875,85
2317,85
882,85
1108,85
950,85
1684,85
1659,85
1649,85
276,84
2614,84
2907,84
1783,84
1583,84
1503,84
437,83
854,83
1268,83
994,83
2300,83
1593,82
864,82
711,82
11,82
1053,82
2,82
1541,82
1827,82
1966,82
1552,82
365,81
1420,81
834,81
839,81
1177,81
1995,81
1584,81
1686,81
2502,80
536,80
816,80
364,80
2146,80
2301,80
861,79
1902,79
2132,79
2017,79
2159,79
1619,79
481,78
1984,78
1293,78
942,78
1992,78
1565,78
2003,78
539,77
266,76
378,76
1940,76
1588,76
2484,76
653,75
2822,75
1774,75
1550,75
1440,75
2863,75
208,74
101,74
1061,74
2894,74
2583,74
1915,74
2190,74
1578,74
2115,74
478,73
559,73
1388,73
214,73
463,73
628,73
1174,73
1207,73
1279,73
1560,73
521,72
309,72
2697,72
484,72
872,72
26,72
706,72
292,72
25,72
1958,72
2826,72
1556,72
1547,72
495,71
558,71
220,71
119,71
1356,71
1007,71
2241,71
1553,71
2889,71
2085,70
379,70
96,70
1361,70
1126,70
235,70
1318,70
1581,70
419,69
885,69
995,69
189,69
831,69
1481,69
1549,69
1499,69
2151,69
510,68
554,68
367,68
1130,68
2019,68
2038,68
1806,68
2744,68
456,67
262,67
335,67
617,67
211,67
842,67
938,67
1310,67
1597,67
547,66
420,66
444,66
1259,66
832,66
1270,66
835,66
1813,66
1582,66
1930,66
574,65
1390,65
855,65
358,65
2499,65
360,65
1683,65
203,65
737,65
1987,65
2304,65
1767,65
1778,65
1450,65
2155,65
1505,65
1922,65
1944,65
562,64
464,64
2089,64
256,64
633,64
667,64
1162,64
1985,64
2864,64
1751,64
2478,64
2072,64
1644,64
1590,63
202,63
1157,63
1790,63
1459,63
2372,63
1665,63
1548,63
1555,63
368,62
383,62
524,62
1462,62
1120,62
1828,62
1617,62
2016,62
1494,62
1964,62
520,61
501,61
377,61
1782,61
239,61
1697,61
391,61
766,61
1065,61
1681,61
1413,60
340,60
2382,60
1788,60
1867,60
1043,60
671,60
921,60
1346,60
2042,60
2077,60
1897,59
1389,59
545,59
876,59
1335,59
433,59
1394,59
1006,59
1198,59
1333,59
2006,59
1789,59
1523,59
1689,59
361,58
1121,58
947,58
32,58
729,58
1304,58
1012,58
1469,58
1387,58
315,58
1457,58
1943,58
2002,58
1480,58
2605,58
1381,57
1316,57
830,57
1216,57
1269,57
1779,57
2923,57
2099,57
1453,57
874,56
2079,56
641,56
770,56
212,56
1146,56
2283,56
2825,56
2107,56
2065,56
1676,56
2094,56
2491,56
2619,55
544,55
1763,55
2395,55
625,55
1587,55
704,55
23,55
1217,55
241,55
1596,55
1976,55
2814,55
1496,55
2116,55
1965,55
2143,55
427,54
666,54
945,54
1050,54
2315,54
2093,54
1674,54
1672,54
2181,54
1764,54
1885,54
1445,54
2028,54
1522,54
2097,54
2134,53
1330,53
126,53
432,53
346,53
859,53
700,53
281,53
764,53
760,53
142,53
41,53
1010,53
2020,53
2080,53
2216,53
2303,53
504,52
1262,52
853,52
1122,52
30,52
1812,52
1018,52
1014,52
1932,52
1973,52
1467,52
2901,52
2379,52
2298,52
2535,51
509,51
222,51
165,51
630,51
1891,51
2551,51
498,51
1478,51
2026,51
1679,51
1945,51
2512,51
1473,51
2030,51
204,50
537,50
552,50
529,50
804,50
1392,50
295,50
2124,50
115,50
35,50
1234,50
660,50
969,50
1323,50
310,50
1366,50
311,50
1817,50
2100,50
2104,50
1612,50
267,49
2513,49
532,49
877,49
856,49
613,49
757,49
4,49
1257,49
15,49
1135,49
1630,49
1365,49
