value,count
<NULL>,36930
2984,689
2986,517
2977,466
3071,450
3021,440
3050,413
3254,412
3091,402
3027,399
1492,390
3089,383
662,375
3096,366
3051,365
1501,360
1478,338
3024,329
283,326
624,325
3037,317
3269,316
3244,305
38,302
2754,301
2969,294
37,288
3271,288
637,282
3060,280
3102,278
3019,276
1525,276
3034,275
750,272
2935,268
3633,268
2982,266
3068,257
2269,253
3241,249
2637,247
1517,245
3009,242
3013,241
3077,241
1493,237
717,235
2991,234
3036,231
2994,230
3270,228
3078,226
40,226
56,224
3016,224
2995,217
2388,212
20,211
36,211
3045,209
1415,207
1475,207
687,207
1490,205
1480,205
1496,203
3012,202
2630,201
702,200
1511,198
3101,197
916,195
3023,195
690,195
664,194
3382,194
1800,194
1973,192
28,191
3184,190
22,189
3675,188
2631,188
1472,187
1920,187
3035,183
639,183
1579,183
3087,182
39,182
2628,182
3090,180
23,177
2923,177
980,176
1592,174
2917,171
3041,169
719,169
2928,167
44,166
623,165
691,165
560,165
2930,165
499,164
663,164
2357,162
625,161
223,161
3042,160
3192,160
2343,160
3376,160
1739,159
776,158
974,158
3475,155
55,153
3072,152
2975,152
2929,152
1473,151
25,150
1843,149
2926,149
3250,148
2838,146
19,146
26,146
3044,145
3088,145
1638,145
3287,144
3025,143
381,142
686,142
30,141
24,141
3631,140
2911,140
539,139
288,139
3040,138
1160,138
3094,136
3152,136
741,135
2790,135
3082,134
2272,134
1798,134
2089,134
3265,133
378,133
1584,133
2753,133
3580,133
1223,132
1532,132
2985,130
2279,128
2934,127
374,127
669,127
3243,127
1499,127
1938,127
29,126
618,126
3100,125
3107,125
1821,125
1555,125
3062,124
3256,124
3296,124
3161,124
43,123
3185,123
3674,123
1652,123
844,122
50,122
1628,122
3665,121
3158,120
703,120
2933,120
1502,119
514,119
2920,119
2405,119
3423,118
372,118
206,118
586,117
3070,117
2989,117
366,117
2979,117
66,117
3079,116
2973,116
1543,116
57,116
1111,115
466,115
718,115
1567,115
978,114
1590,114
503,113
1458,113
1734,113
1540,113
2278,113
3099,112
62,112
1858,112
1414,112
1600,111
1218,111
2270,111
3657,111
3324,110
1,110
1665,110
789,110
2999,109
1342,109
1573,109
2921,108
1817,108
42,107
2936,107
722,107
289,106
199,106
101,106
1649,106
1222,105
3030,105
180,105
1457,105
3435,105
504,104
3272,103
2624,103
1500,103
1593,102
33,102
12,102
2931,102
537,102
2758,102
2138,102
3038,101
2968,101
3275,101
1730,101
407,101
3381,100
1527,100
2396,100
1152,99
2918,99
3668,99
1769,99
49,99
2644,99
3093,98
3074,98
201,98
186,98
1998,98
1352,98
695,97
3084,96
2034,96
3441,96
2177,96
2075,96
736,95
47,95
2265,95
2223,95
1569,95
2144,95
11,94
2914,94
2271,94
1416,94
279,94
1940,94
684,94
1972,94
1477,94
2145,94
27,93
423,93
981,93
688,93
1549,93
1547,93
3004,92
35,92
17,92
2820,92
147,92
622,92
2539,92
2069,92
3477,91
1767,91
961,90
2062,90
893,89
2997,89
714,89
411,89
1750,89
1901,89
1412,89
2302,89
1539,89
3378,89
1989,89
2304,89
2307,89
3255,88
1601,88
2765,88
3191,88
1570,88
2988,87
1508,87
1514,87
3302,86
3028,86
1731,86
155,86
1694,86
18,85
200,85
917,85
2971,85
3253,85
285,85
260,85
250,85
3111,84
