value,count
10700,1412
5800,1230
10100,945
6202,902
10200,880
999999,813
40100,695
702402,684
10600,655
10800,654
702500,647
103402,635
606707,566
480202,541
900403,540
100,530
751003,521
740102,519
103502,509
980100,494
851002,477
10300,449
7200,447
807200,434
740702,429
605402,427
507602,421
500,418
490103,414
700901,409
10400,408
5500,389
201801,389
602306,377
5900,363
1001,362
10500,353
408400,343
400,340
102500,338
700817,337
101603,336
702701,335
705000,335
200,334
505102,328
740500,328
606706,321
101500,319
200702,316
482203,312
507601,306
201900,306
701216,305
740603,296
602302,294
101403,292
876002,290
610400,286
605102,282
701205,282
440201,277
700904,276
901410,276
605602,275
600,274
980200,271
700826,270
1100,268
751200,261
751102,260
500100,260
980000,255
303501,253
700718,252
851500,249
875500,247
102902,245
930302,242
801404,240
704804,239
611501,238
706500,237
103200,237
605503,231
750801,231
901403,231
101802,229
800516,228
807102,228
611806,226
440600,225
606905,224
430400,223
910301,223
950300,220
610505,217
1401,214
703800,214
910402,213
611900,213
700309,212
421002,212
901231,210
701211,209
101702,207
300300,206
11100,205
700304,205
701218,205
611801,205
740201,204
702601,204
491703,204
611802,204
806000,203
451502,201
60400,200
805908,200
102302,200
751500,198
110200,198
801405,198
10603,197
202,196
960400,196
750600,196
704803,196
850901,195
1302,195
505203,193
482501,193
1200,192
701004,192
5301,192
806400,192
101801,192
706101,191
403702,191
300200,191
803521,190
491201,190
452400,189
500300,189
5600,188
611006,188
611502,188
740304,187
260605,187
491702,187
850706,186
731204,185
400400,185
101404,185
610702,185
900502,185
606803,184
730504,183
40200,183
610503,183
10900,183
850802,182
430600,181
482202,181
420100,180
451200,179
611020,177
507704,177
752204,177
750702,177
702209,176
750803,175
802204,175
201300,175
461602,175
704806,174
2302,173
500200,173
200900,173
702205,172
803514,172
772200,171
1002,171
801217,171
7301,170
7000,169
750200,169
860701,169
900300,168
450100,168
701800,167
103503,167
850709,166
802405,166
700704,166
706600,165
408505,165
750504,165
875600,165
403402,164
800504,163
10502,163
750802,163
731203,162
730502,162
100200,162
910100,162
200201,161
731103,160
471202,160
750804,160
701701,160
807404,159
701007,159
704805,159
930403,159
102801,159
201600,159
491701,158
260501,158
800402,157
705602,157
440701,157
875801,157
610601,157
751201,156
701213,156
910201,155
611015,155
401507,154
30200,154
750701,154
731307,153
120202,153
4702,153
490101,153
401504,151
306500,151
606603,150
440502,150
6500,150
602202,149
610603,149
404101,148
700711,148
5201,148
201400,148
730901,147
301702,147
507500,147
700723,147
910302,147
750503,146
750900,146
900,146
306100,146
440202,146
807000,145
900904,145
730700,144
401102,144
740900,144
130700,144
10101,144
951000,144
611019,144
700829,143
701219,143
450300,143
701509,143
960300,142
951100,142
875400,142
408800,141
10702,141
301107,140
451300,140
302802,140
30506,140
610506,140
461202,140
4400,140
103501,140
508200,139
702602,139
740305,139
701315,139
701312,139
421500,138
430101,137
750101,137
440702,137
301602,137
700706,137
702900,137
920200,137
606901,136
875802,136
701101,135
401503,135
731201,135
420600,135
4300,135
611002,135
505207,134
610504,134
404202,133
504100,133
801003,132
860702,132
611016,132
611025,132
416200,132
730203,131
602800,131
490900,131
303400,131
730100,130
860900,130
701102,129
950900,129
807408,128
970400,128
605505,128
101100,128
452501,128
611022,128
440100,127
860401,127
220100,126
490605,126
460501,126
300,125
740800,125
602600,125
440800,124
470500,124
700,123
490301,123
602303,123
303803,123
422302,123
460400,123
482301,123
20306,123
3800,123
415500,123
740701,122
491801,122
700722,122
491704,122
900802,122
481202,122
706012,121
30906,121
460800,121
901209,121
806100,121
303801,120
452000,120
201,120
271400,119
601203,119
491100,119
507801,119
807405,119
702800,119
421103,118
20300,118
420800,118
801104,118
101401,118
972503,118
701421,117
801905,117
765100,117
30100,117
950400,117
431600,117
700818,117
513001,116
6600,116
300100,116
20106,116
10303,116
10207,116
481900,116
806200,116
200405,115
461500,115
611021,115
603004,114
302902,114
960501,114
803527,113
31202,113
860200,113
701314,113
806710,113
102200,113
492500,112
950100,112
270802,112
611102,112
730402,111
280101,111
740602,111
611023,111
960201,110
604002,110
480902,110
10204,110
404404,109
450800,109
507802,109
101701,109
491401,108
491202,108
606606,108
11201,108
452101,108
611207,108
471100,107
480802,107
702206,106
860600,106
505101,106
451900,106
930100,106
876200,106
300400,106
461601,106
514202,105
101900,105
4002,105
2802,105
611024,105
875100,105
280500,104
740104,104
400100,104
490703,104
301202,104
411309,104
4202,104
9504,104
415100,104
901508,104
901409,103
860102,102
601204,102
301301,102
100100,102
302,102
750505,102
100900,102
850902,102
702204,101
606907,101
508101,101
605104,101
450601,101
611004,101
876001,101
700824,101
601201,100
102400,100
700311,100
705502,100
930303,100
8200,100
800,99
706302,99
504202,99
611014,99
700902,99
240400,98
403701,98
170200,98
301703,98
421900,98
850600,98
491803,98
451501,98
901701,98
611700,98
731102,97
605401,97
400701,97
451701,97
606704,97
806708,97
480300,97
700604,97
900100,97
200801,97
481400,97
801307,97
271200,96
731202,96
701503,96
7100,96
800203,95
504201,95
505208,95
30904,95
972201,95
972505,95
3900,95
40300,95
901507,95
1702,95
800507,94
404102,94
404403,94
40400,94
930401,94
702700,94
471301,94
482601,94
461700,94
421400,94
910202,94
730604,93
490800,93
806712,93
602,93
201100,93
610604,93
606701,92
801904,92
271501,92
11400,92
11500,92
901602,92
430901,92
2502,92
101300,92
20108,92
301302,91
200600,91
2702,91
703201,91
611804,91
101402,91
9400,90
800103,90
200701,90
951500,90
11000,90
701214,90
482602,90
452801,90
421300,89
601104,89
951700,89
8803,89
10211,89
481101,89
700717,89
850904,89
802804,89
1600,88
803608,88
800605,88
303102,88
303603,88
700310,88
306400,88
752601,88
701206,88
701505,88
704700,88
703209,88
5002,88
130600,87
301704,87
305100,87
970702,87
30400,87
102301,87
802103,87
701005,87
103800,87
611005,87
702702,86
701400,86
707002,86
741000,86
