value,count
14005291501,41
14000298802,24
14001581501,24
17000569401,24
17004198102,23
18014589301,23
18018563501,23
14002086001,20
18017408201,20
14002114101,19
14003773401,19
14003954701,19
14006098101,18
17003642801,18
18007103202,18
14000748602,17
14001578801,17
14001610603,17
14003120801,17
14005272202,17
14006540401,17
18006423101,17
14000937602,16
14001141901,16
14001303801,16
14001601001,16
14002396601,16
14005543102,16
14006165601,16
17000963401,16
17003956601,16
17004122102,16
18000155701,16
18000527601,16
18013901301,16
14000181801,15
14000361801,15
14000361803,15
14000806101,15
14001029202,15
14001610602,15
14002722501,15
14003064402,15
14004190301,15
14004193301,15
14005035702,15
14006053601,15
14006344301,15
17004072601,15
17008562501,15
17009831501,15
17010738602,15
18002229401,15
18004049401,15
18006497401,15
18006981602,15
18011296701,15
18014307301,15
18014319402,15
18015788701,15
18019533901,15
18023727301,15
18025447402,15
14000149001,14
14000305001,14
14000502201,14
14000629901,14
14001126702,14
14001140001,14
14001298701,14
14001398202,14
14001945101,14
14002299502,14
14002663502,14
14003568501,14
14003609702,14
14004024702,14
14006116802,14
14006243203,14
14006290001,14
14006315901,14
14006474601,14
14007296501,14
17000256501,14
17001082502,14
17001084601,14
17003676801,14
17006839501,14
17007530801,14
17008186701,14
17009805202,14
18004393601,14
18004620701,14
18006319401,14
18008828802,14
18009253301,14
18010071701,14
18010384401,14
18010693701,14
18015661502,14
18017281601,14
18021036101,14
18021848102,14
18025224302,14
14000650601,13
14000916401,13
14001000201,13
14001090201,13
14001351601,13
14001351602,13
14001398201,13
14001410101,13
14001496701,13
14001610601,13
14001882901,13
14002283301,13
14002525201,13
14003022401,13
14003519501,13
14003825202,13
14004152703,13
14004173201,13
14005167002,13
14006528602,13
14007390001,13
14007417401,13
17000083201,13
17001249103,13
17001542001,13
17002786001,13
17004389001,13
17004828101,13
17005215201,13
17005839101,13
17007375202,13
17007781401,13
17007856501,13
17008186702,13
17008923802,13
17009361101,13
18000353901,13
18001338301,13
18002442801,13
18002718502,13
18004494101,13
18006714001,13
18007593002,13
18010877602,13
18012230302,13
18012893901,13
18013051402,13
18013957701,13
18016412701,13
18016461401,13
18016461402,13
18017642702,13
18018601902,13
18020145001,13
18022478601,13
18022541602,13
18024478401,13
18024743501,13
18025261402,13
14000030901,12
14000392701,12
14000415901,12
14000450401,12
14000796901,12
14000828201,12
14000853702,12
14000889802,12
14000920301,12
14000920701,12
14000937603,12
14000963801,12
14001160001,12
14001232702,12
14001475201,12
14001685201,12
14001703501,12
14001879501,12
14002041601,12
14002207402,12
14002305501,12
14002581101,12
14002656201,12
14002728702,12
14002776301,12
14002781102,12
14002920601,12
14002999601,12
14003099701,12
14003143702,12
14003615102,12
14003696102,12
14004153401,12
14004187001,12
14005088602,12
14005391001,12
14005613402,12
14005622102,12
14005829606,12
14006116801,12
